## 1
## 이어 최씨의 변호인은 “피해자들에게 빌린 돈을 일부 변제했고, 변제할 예정이라는 점도 고려해달라”고 덧붙였다.
## 이어 <최:PER>씨의 변호인은 “피해자들에게 빌린 돈을 일부 변제했고, 변제할 예정이라는 점도 고려해달라”고 덧붙였다.
이어	이어	MAG	O
_	_	_	O
최	최	NNP	B-PER
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
변호인	변호인	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
피해자	피해자	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
빌린	빌리+ㄴ	VV+ETM	O
_	_	_	O
돈	돈	NNG	O
을	을	JKO	O
_	_	_	O
일부	일부	NNG	O
_	_	_	O
변제	변제하	VV	O
했	였	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
변제할	변제하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
점	점	NNG	O
도	도	JX	O
_	_	_	O
고려해	고려하+여	VV+EC	O
달	달	VX	O
라	라	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
덧붙	덧붙이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 법정에 선 최홍만 또한 “본의 아니게 이런 일이 일어나게 해 죄송하다.
## 법정에 선 <최홍만:PER> 또한 “본의 아니게 이런 일이 일어나게 해 죄송하다.
법정	법정	NNG	O
에	에	JKB	O
_	_	_	O
선	서+ㄴ	VV+ETM	O
_	_	_	O
최홍만	최홍만	NNP	B-PER
_	_	_	O
또한	또한	MAG	O
_	_	_	O
“	“	SS	O
본의	본의	NNG	O
_	_	_	O
아니	아니	VCN	O
게	게	EC	O
_	_	_	O
이런	이런	MM	O
_	_	_	O
일	일	NNG	O
이	이	JKS	O
_	_	_	O
일어나	일어나	VV	O
게	게	EC	O
_	_	_	O
해	해	NNG	O
_	_	_	O
죄송하	죄송하	VA	O
다	다	EF	O
.	.	SF	O

## 3
## [인천/경기]서운산단 시행사, 정관 무시하고 도급약정서 체결
## [<인천:LOC>/<경기:LOC>]<서운산단:POH> 시행사, 정관 무시하고 도급약정서 체결
[	[	SS	O
인천	인천	NNP	B-LOC
/	/	SP	O
경기	경기	NNG	B-LOC
]	]	SS	O
서운산	서운산	NNP	B-POH
단	단	MAG	I-POH
_	_	_	O
시행	시행	NNG	O
사	사	XSN	O
,	,	SP	O
_	_	_	O
정관	정관	NNG	O
_	_	_	O
무시하	무시하	VV	O
고	고	EC	O
_	_	_	O
도급	도급	NNG	O
약정서	약정서	NNG	O
_	_	_	O
체결	체결	NNG	O

## 4
## 한국 외교 수장이 인권이사회에서 군 위안부 문제를 제기한 것은 처음이었다.
## <한국:ORG> 외교 수장이 인권이사회에서 군 위안부 문제를 제기한 것은 처음이었다.
한국	한국	NNP	B-ORG
_	_	_	O
외교	외교	NNG	O
_	_	_	O
수장	수장	NNG	O
이	이	JKC	O
