## 1
## ‘통일플랫폼’은 도라산역 1번 승강장 남쪽 240㎡(73평) 공간에 통일을 기원하는 다양한 테마를 체험할 수 있도록 만들어진다.
## ‘통일플랫폼’은 <도라산역:LOC> <1번:NOH> 승강장 남쪽 <240㎡:NOH>(<73평:NOH>) 공간에 통일을 기원하는 다양한 테마를 체험할 수 있도록 만들어진다.
‘	‘	SS	O
통일	통일	NNG	O
플랫폼	플랫폼	NNG	O
’	’	SS	O
은	은	JX	O
_	_	_	O
도라산역	도라산역	NNP	B-LOC
_	_	_	O
1	1	SN	B-NOH
번	번	NNB	I-NOH
_	_	_	O
승강장	승강장	NNG	O
_	_	_	O
남쪽	남쪽	NNG	O
_	_	_	O
240	240	SN	B-NOH
㎡	㎡	SW	I-NOH
(	(	SS	O
73	73	SN	B-NOH
평	평	NNB	I-NOH
)	)	SS	O
_	_	_	O
공간	공간	NNG	O
에	에	JKB	O
_	_	_	O
통일	통일	NNG	O
을	을	JKO	O
_	_	_	O
기원하	기원하	VV	O
는	는	ETM	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
테마	테마	NNG	O
를	를	JKO	O
_	_	_	O
체험할	체험하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
진다	지+ㄴ다	VX+EF	O
.	.	SF	O

## 2
## 최 대표와 김명현(21) 김혜진(20·여) 김종수(20) 김산하 씨(20) 등 5명은 올 2월 창업휴학을 하고 서울 강남 한복판에 오피스텔을 얻어 올라왔다.
## <최:PER> 대표와 <김명현:PER>(<21:NOH>) <김혜진:PER>(<20:NOH>·여) <김종수:PER>(<20:NOH>) <김산하:PER> 씨(<20:NOH>) 등 <5명:NOH>은 올 <2월:DAT> 창업휴학을 하고 <서울 강남:LOC> 한복판에 오피스텔을 얻어 올라왔다.
최	최	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
와	와	JC	O
_	_	_	O
김명현	김명현	NNP	B-PER
(	(	SS	O
21	21	SN	B-NOH
)	)	SS	O
_	_	_	O
김혜진	김혜진	NNP	B-PER
(	(	SS	O
20	20	SN	B-NOH
·	·	SP	O
여	여	NNG	O
)	)	SS	O
_	_	_	O
김종수	김종수	NNP	B-PER
(	(	SS	O
20	20	SN	B-NOH
)	)	SS	O
_	_	_	O
김산하	김산하	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
(	(	SS	O
20	20	SN	B-NOH
)	)	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
5	5	SN	B-NOH
명	명	NNB	I-NOH
은	은	JX	O
_	_	_	O
올	올	NNG	O
_	_	_	O
2	2	SN	B-DAT
