## 1
## 최근 우승 2회, 준우승 1회의 눈부신 성적을 내며 현기증이 날 정도로 고공비행을 하고 있는 정현에게는 이번 참패가 쓴 약이 돼야 한다.
## 최근 우승 <2회:NOH>, 준우승 <1회:NOH>의 눈부신 성적을 내며 현기증이 날 정도로 고공비행을 하고 있는 <정현:PER>에게는 이번 참패가 쓴 약이 돼야 한다.
최근	최근	NNG	O
_	_	_	O
우승	우승	NNG	O
_	_	_	O
2	2	SN	B-NOH
회	회	NNB	I-NOH
,	,	SP	O
_	_	_	O
준우승	준우승	NNG	O
_	_	_	O
1	1	SN	B-NOH
회	회	NNB	I-NOH
의	의	JKG	O
_	_	_	O
눈부신	눈부시+ㄴ	VA+ETM	O
_	_	_	O
성적	성적	NNG	O
을	을	JKO	O
_	_	_	O
내	내	VV	O
며	며	EC	O
_	_	_	O
현기증	현기증	NNG	O
이	이	JKS	O
_	_	_	O
날	나+ㄹ	VV+ETM	O
_	_	_	O
정도	정도	NNG	O
로	로	JKB	O
_	_	_	O
고공비행	고공비행	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
정현	정현	NNG	B-PER
에게	에게	JKB	O
는	는	JX	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
참패	참패	NNG	O
가	가	JKC	O
_	_	_	O
쓴	쓰+ㄴ	VV+ETM	O
_	_	_	O
약	약	NNG	O
이	이	JKC	O
_	_	_	O
돼야	되+어야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 2
## 사진제공=H.O.T 이재원 갑상선암/동아닷컴DB동아닷컴 디지털뉴스팀 기사제보 dnews@donga.com
## 사진제공=<H.O.T:ORG> <이재원:PER> 갑상선암/<동아닷컴DB동아닷컴 디지털뉴스팀:ORG> 기사제보 dnews@donga.com
사진	사진	NNG	O
제공	제공	NNG	O
=	=	SW	O
H	H	SL	B-ORG
.	.	SF	I-ORG
O	O	SL	I-ORG
.	.	SF	I-ORG
T	T	SL	I-ORG
_	_	_	O
이재원	이재원	NNP	B-PER
_	_	_	O
갑상선암	갑상선암	NNG	O
/	/	SP	O
동아닷컴	동아닷컴	NNP	B-ORG
DB	DB	SL	I-ORG
동아닷컴	동아닷컴	NNP	I-ORG
_	_	_	I-ORG
디지털	디지털	NNG	I-ORG
뉴스	뉴스	NNG	I-ORG
팀	팀	NNG	I-ORG
_	_	_	O
기사	기사	NNG	O
제보	제보	NNG	O
_	_	_	O
dnews	dnews	SL	O
@	@	SW	O
donga	donga	SL	O
.	.	SF	O
com	com	SL	O

## 3
## ‘그리스 협상 타결’국제 신용평가사인 스탠다드앤푸어스(S&P)가 지난 13일(현지시각) 그리스의 구제금융 협상이 최종 타결될 경우 그리스의 신용등급이 신속하게 상향조정될 것이라고 밝혔다.
## ‘<그리스:ORG> 협상 타결’국제 신용평가사인 <스탠다드앤푸어스:ORG>(<S&P:ORG>)가 지난 <13일:DAT>(현지시각) <그리스:ORG>의 구제금융 협상이 최종 타결될 경우 <그리스:ORG>의 신용등급이 신속하게 상향조정될 것이라고 밝혔다.
‘	‘	SS	O
그리스	그리스	NNP	B-ORG
_	_	_	O
협상	협상	NNG	O
_	_	_	O
타결	타결	NNG	O
’	’	SS	O
국제	국제	NNG	O
_	_	_	O
신용	신용	NNG	O
평가	평가	NNG	O
사	사	XSN	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
스탠다드	스탠다드	NNG	B-ORG
앤	앤	NNP	I-ORG
푸어스	푸어스	NNG	I-ORG
(	(	SS	O
S	S	SL	B-ORG
&	&	SW	I-ORG
P	P	SL	I-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
13	13	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
현지	현지	NNG	O
시각	시각	NNG	O
)	)	SS	O
_	_	_	O
그리스	그리스	NNP	B-ORG
의	의	JKG	O
_	_	_	O
구제금융	구제금융	NNG	O
_	_	_	O
협상	협상	NNG	O
이	이	JKS	O
_	_	_	O
최종	최종	NNG	O
_	_	_	O
타결될	타결되+ㄹ	VV+ETM	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
그리스	그리스	NNP	B-ORG
의	의	JKG	O
_	_	_	O
신용	신용	NNG	O
등급	등급	NNG	O
이	이	JKS	O
_	_	_	O
신속하	신속하	VA	O
게	게	EC	O
_	_	_	O
상향	상향	NNG	O
조정될	조정되+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## S&P의 모리츠 크래머 유럽 소버린 애널리스트는 그리스 협상이 완전하게 타결되면 현재 ‘CCC-’(투자부적격)인 신용등급이 1~2주 내 상향조정될 가능성이 있다고 말했다.
