## 1
## 현대건설은 예선A조 첫 경기서 GS칼텍스를 3-2(25-23 24-26 22-25 25-20 15-13)로 제압했다 ．
## <현대건설:ORG>은 예선<A조:ORG> 첫 경기서 <GS칼텍스:ORG>를 <3-2:NOH>(<25-23:NOH> <24-26:NOH> <22-25:NOH> <25-20:NOH> <15-13:NOH>)로 제압했다 ．
현대건설	현대건설	NNP	B-ORG
은	은	JX	O
_	_	_	O
예선	예선	NNG	O
A	A	SL	B-ORG
조	조	NNG	I-ORG
_	_	_	O
첫	첫	MM	O
_	_	_	O
경기	경기	NNG	O
서	서	JKB	O
_	_	_	O
GS	GS	SL	B-ORG
칼텍스	칼텍스	NNP	I-ORG
를	를	JKO	O
_	_	_	O
3	3	SN	B-NOH
-	-	SO	I-NOH
2	2	SN	I-NOH
(	(	SS	O
25	25	SN	B-NOH
-	-	SO	I-NOH
23	23	SN	I-NOH
_	_	_	O
24	24	SN	B-NOH
-	-	SO	I-NOH
26	26	SN	I-NOH
_	_	_	O
22	22	SN	B-NOH
-	-	SO	I-NOH
25	25	SN	I-NOH
_	_	_	O
25	25	SN	B-NOH
-	-	SO	I-NOH
20	20	SN	I-NOH
_	_	_	O
15	15	SN	B-NOH
-	-	SO	I-NOH
13	13	SN	I-NOH
)	)	SS	O
로	로	JKB	O
_	_	_	O
제압	제압하	VV	O
했	였	EP	O
다	다	EC	O
_	_	_	O
．	．	SF	O

## 2
## 대한항공 “한전 꿇어”
## <대한항공:ORG> “<한전:ORG> 꿇어”
대한항공	대한항공	NNP	B-ORG
_	_	_	O
“	“	SS	O
한전	한전	NNP	B-ORG
_	_	_	O
꿇	꿇	VV	O
어	어	EF	O
”	”	SS	O

## 3
## 한전은 경기가 시작되자마자 강력한 서브로 대한항공 수비진을 흔든 뒤 이병주, 최귀동의 공격을 앞세워 첫 세트를 따내며 불의의 일격을 가했다 .
## <한전:ORG>은 경기가 시작되자마자 강력한 서브로 <대한항공:ORG> 수비진을 흔든 뒤 <이병주:PER>, <최귀동:PER>의 공격을 앞세워 첫 세트를 따내며 불의의 일격을 가했다 .
한전	한전	NNP	B-ORG
은	은	JX	O
_	_	_	O
경기	경기	NNG	O
가	가	JKS	O
_	_	_	O
시작되	시작되	VV	O
자마자	자마자	EC	O
_	_	_	O
강력한	강력하+ㄴ	VA+ETM	O
_	_	_	O
서브	서브	NNG	O
로	로	JKB	O
_	_	_	O
대한항공	대한항공	NNP	B-ORG
_	_	_	O
수비진	수비진	NNG	O
을	을	JKO	O
_	_	_	O
흔든	흔들+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
이병주	이병주	NNP	B-PER
,	,	SP	O
_	_	_	O
최귀동	최귀동	NNP	B-PER
의	의	JKG	O
_	_	_	O
공격	공격	NNG	O
을	을	JKO	O
_	_	_	O
앞세	앞세우	VV	O
워	어	EC	O
_	_	_	O
