## 1
## 정두언 전 새누리당 의원(사진)이 ‘최순실 게이트’가 박근혜 대통령에게 앙심을 품은 일종의 복수전이라고 주장해 논란이 일고 있다.
## <정두언:PER> 전 <새누리당:ORG> 의원(사진)이 ‘<최순실 게이트:POH>’가 <박근혜:PER> 대통령에게 앙심을 품은 일종의 복수전이라고 주장해 논란이 일고 있다.
정두언	정두언	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
새누리당	새누리당	NNP	B-ORG
_	_	_	O
의원	의원	NNG	O
(	(	SS	O
사진	사진	NNG	O
)	)	SS	O
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
최순실	최순실	NNP	B-POH
_	_	_	I-POH
게이트	게이트	NNG	I-POH
’	’	SS	O
가	가	JKS	O
_	_	_	O
박근혜	박근혜	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
에게	에게	JKB	O
_	_	_	O
앙심	앙심	NNG	O
을	을	JKO	O
_	_	_	O
품	품	VV	O
은	은	ETM	O
_	_	_	O
일종	일종	NNG	O
의	의	JKG	O
_	_	_	O
복수전	복수전	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
주장해	주장하+여	VV+EC	O
_	_	_	O
논란	논란	NNG	O
이	이	JKS	O
_	_	_	O
일	일	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 그렇다 한들 남편이 그 마음을 모르기야 했을까. 차씨는 “지금도 그때를 생각하면 아내에게 미안하고 고마운 마음이 든다”고 했다.
## 그렇다 한들 남편이 그 마음을 모르기야 했을까. <차:PER>씨는 “지금도 그때를 생각하면 아내에게 미안하고 고마운 마음이 든다”고 했다.
그렇	그렇	VA	O
다	다	EC	O
_	_	_	O
한들	하+ㄴ들	VV+EC	O
_	_	_	O
남편	남편	NNG	O
이	이	JKS	O
_	_	_	O
그	그	MM	O
_	_	_	O
마음	마음	NNG	O
을	을	JKO	O
_	_	_	O
모르	모르	VV	O
기	기	ETN	O
야	야	JX	O
_	_	_	O
했	+였	+EP	O
을까	을까	EF	O
.	.	SF	O
_	_	_	O
차	차	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
지금	지금	NNG	O
도	도	JX	O
_	_	_	O
그때	그때	NNG	O
를	를	JKO	O
_	_	_	O
생각하	생각하	VV	O
면	면	EC	O
_	_	_	O
아내	아내	NNG	O
에게	에게	JKB	O
_	_	_	O
미안하	미안하	VA	O
고	고	EC	O
_	_	_	O
고마	고맙	VA	O
운	ㄴ	ETM	O
_	_	_	O
마음	마음	NNG	O
이	이	JKS	O
_	_	_	O
든다	들+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
