## 1
## 18일 밤9시에 함흥에서 혜산으로 가는 기차를 타 19일 저녁 5시에 혜산에 도착했다.
## <18일:DAT> <밤9시:TIM>에 <함흥:LOC>에서 <혜산:LOC>으로 가는 기차를 타 <19일:DAT> <저녁 5시:TIM>에 <혜산:LOC>에 도착했다.
18	18	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밤	밤	NNG	B-TIM
9	9	SN	I-TIM
시	시	NNB	I-TIM
에	에	JKB	O
_	_	_	O
함흥	함흥	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
혜산	혜산	NNP	B-LOC
으로	으로	JKB	O
_	_	_	O
가	가	VV	O
는	는	ETM	O
_	_	_	O
기차	기차	NNG	O
를	를	JKO	O
_	_	_	O
타	타+아	VV+EC	O
_	_	_	O
19	19	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
저녁	저녁	NNG	B-TIM
_	_	_	I-TIM
5	5	SN	I-TIM
시	시	NNB	I-TIM
에	에	JKB	O
_	_	_	O
혜산	혜산	NNP	B-LOC
에	에	JKB	O
_	_	_	O
도착	도착하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## (서울=뉴스1)
## (<서울:LOC>=<뉴스1:ORG>)
(	(	SS	O
서울	서울	NNP	B-LOC
=	=	SW	O
뉴스	뉴스	NNG	B-ORG
1	1	SN	I-ORG
)	)	SS	O

## 3
## 세계적인 석학 등 국내외 유명 지식인 21명의 강연을 직접 듣고 2016년 새해를 남다르게 출발해보자. ‘그랜드 마스터 클래스: 빅 퀘스천 2016(GRAND MASTER CLASS: BIG QUESTION 2016)’이 2016년 1월 29일(금)∼31일(일) 매일 낮 12시∼오후 8시 서울 동대문구 경희대 평화의 전당에서 열린다.
