## 1
## 신경이 눌리는 부위에 따라 양쪽 다리가 저리기도 한다.
## 신경이 눌리는 부위에 따라 <양:NOH>쪽 다리가 저리기도 한다.
신경	신경	NNG	O
이	이	JKS	O
_	_	_	O
눌리	눌리	VV	O
는	는	ETM	O
_	_	_	O
부위	부위	NNG	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
양쪽	양쪽	NNG	O
_	_	_	O
다리	다리	NNG	O
가	가	JKS	O
_	_	_	O
저리	저리	VA	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 2
## 그는 특히 영국의 사회지도층 인사로 의회 의원과 변호사로 일하고 있다.
## 그는 특히 <영국:ORG>의 사회지도층 인사로 의회 의원과 변호사로 일하고 있다.
그	그	NP	O
는	는	JX	O
_	_	_	O
특히	특히	MAG	O
_	_	_	O
영국	영국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
사회	사회	NNG	O
지도층	지도층	NNG	O
_	_	_	O
인사	인사	NNG	O
로	로	JKB	O
_	_	_	O
의회	의회	NNG	O
_	_	_	O
의원	의원	NNG	O
과	과	JC	O
_	_	_	O
변호사	변호사	NNG	O
로	로	JKB	O
_	_	_	O
일하	일하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## KBL은 6월 말 일찌감치 전 전 감독의 등록보류 기자회견을 하면서 “규약 17조 ‘최강의 선수 기용’과 70조 ‘성실 의무’를 위반하면 엄격히 규제하겠다”고 밝혔다.
## <KBL:ORG>은 <6월:DAT> 말 일찌감치 <전:PER> 전 감독의 등록보류 기자회견을 하면서 “규약 <17조:NOH> ‘최강의 선수 기용’과 <70조:NOH> ‘성실 의무’를 위반하면 엄격히 규제하겠다”고 밝혔다.
KBL	KBL	SL	B-ORG
은	은	JX	O
_	_	_	O
6	6	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
말	말	NNB	O
_	_	_	O
일찌감치	일찌감치	MAG	O
_	_	_	O
전	전	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
감독	감독	NNG	O
의	의	JKG	O
_	_	_	O
등록	등록	NNG	O
보류	보류	NNG	O
_	_	_	O
기자	기자	NNG	O
회견	회견	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
규약	규약	NNG	O
_	_	_	O
17	17	SN	B-NOH
조	조	NNG	I-NOH
_	_	_	O
‘	‘	SS	O
최강	최강	NNG	O
의	의	JKG	O
_	_	_	O
선수	선수	NNG	O
