## 1
## 다음 날 행사 참석을 위해 대전에서 막 올라온 길이라고 했다.
## 다음 날 행사 참석을 위해 <대전:LOC>에서 막 올라온 길이라고 했다.
다음	다음	NNG	O
_	_	_	O
날	날	NNG	O
_	_	_	O
행사	행사	NNG	O
_	_	_	O
참석	참석	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
대전	대전	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
막	막	MAG	O
_	_	_	O
올라온	올라오+ㄴ	VV+ETM	O
_	_	_	O
길	길	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 2
## “브렉시트(영국의 유럽연합·EU 탈퇴) 협상의 시작을 의미하는 리스본조약 50조를 올해 말에 발동하고 2019년까지는 브렉시트가 이뤄질 것으로 예상한다.
## “<브렉시트:POH>(<영국:ORG>의 <유럽연합:ORG>·<EU:ORG> 탈퇴) 협상의 시작을 의미하는 <리스본조약:POH> <50조:NOH>를 올해 말에 발동하고 <2019년:DAT>까지는 <브렉시트:POH>가 이뤄질 것으로 예상한다.
“	“	SS	O
브렉시트	브렉시트	NNG	B-POH
(	(	SS	O
영국	영국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
유럽	유럽	NNP	B-ORG
연합	연합	NNG	I-ORG
·	·	SP	O
EU	EU	SL	B-ORG
_	_	_	O
탈퇴	탈퇴	NNG	O
)	)	SS	O
_	_	_	O
협상	협상	NNG	O
의	의	JKG	O
_	_	_	O
시작	시작	NNG	O
을	을	JKO	O
_	_	_	O
의미하	의미하	VV	O
는	는	ETM	O
_	_	_	O
리스본	리스본	NNP	B-POH
조약	조약	NNG	I-POH
_	_	_	O
50	50	SN	B-NOH
조	조	NNB	I-NOH
를	를	JKO	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
말	말	NNB	O
에	에	JKB	O
_	_	_	O
발동하	발동하	VV	O
고	고	EC	O
_	_	_	O
