## 1
## 전원책 변호사가 미국 공화당 대선후보였던 도널드 트럼프가 대선에서 승리한다는 미리 점치며 ‘전스트라다무스’로 등극했다.
## <전원책:PER> 변호사가 <미국 공화당:ORG> 대선후보였던 <도널드 트럼프:PER>가 대선에서 승리한다는 미리 점치며 ‘<전스트라다무스:PER>’로 등극했다.
전원책	전원책	NNP	B-PER
_	_	_	O
변호사	변호사	NNG	O
가	가	JKS	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	I-ORG
공화당	공화당	NNP	I-ORG
_	_	_	O
대선	대선	NNG	O
후보	후보+이	NNG+VCP	O
였	었	EP	O
던	던	ETM	O
_	_	_	O
도널드	도널드	NNP	B-PER
_	_	_	I-PER
트럼프	트럼프	NNP	I-PER
가	가	JKS	O
_	_	_	O
대선	대선	NNG	O
에서	에서	JKB	O
_	_	_	O
승리한다는	승리하+ㄴ다는	VV+ETM	O
_	_	_	O
미리	미리	MAG	O
_	_	_	O
점치	점치	VV	O
며	며	EC	O
_	_	_	O
‘	‘	SS	O
전	전	NNP	B-PER
스트라다	스트라다	NNG	I-PER
무스	무스	NNG	I-PER
’	’	SS	O
로	로	JKB	O
_	_	_	O
등극	등극하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 4500여 업체에 5만여 명이 일하고 있다.
## <4500여 업체:NOH>에 <5만여 명:NOH>이 일하고 있다.
4500	4500	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
업체	업체	NNG	I-NOH
에	에	JKB	O
_	_	_	O
5	5	SN	B-NOH
만	만	NR	I-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
일하	일하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 국내에선 2012년 3월 출범한 한국국토정보공사 공간정보연구원에서 수십 건의 공간정보 산업 프로젝트를 진행하고 있다.
## 국내에선 <2012년 3월:DAT> 출범한 <한국국토정보공사:ORG> 공간정보연구원에서 수십 건의 공간정보 산업 프로젝트를 진행하고 있다.
국내	국내	NNG	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
3	3	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
출범한	출범하+ㄴ	VV+ETM	O
_	_	_	O
한국	한국	NNP	B-ORG
국토	국토	NNG	I-ORG
정보	정보	NNG	I-ORG
공사	공사	NNG	I-ORG
_	_	_	O
공간	공간	NNG	O
정보	정보	NNG	O
연구원	연구원	NNG	O
에서	에서	JKB	O
_	_	_	O
수십	수십	NR	O
_	_	_	O
건	건	NNB	O
의	의	JKG	O
_	_	_	O
공간	공간	NNG	O
정보	정보	NNG	O
_	_	_	O
산업	산업	NNG	O
_	_	_	O
프로젝트	프로젝트	NNG	O
를	를	JKO	O
_	_	_	O
진행하	진행하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 이들은 또 공정위가 지난해 5월 일감 몰아주기 관련 조사를 벌이자 6개월 뒤인 11월 주식 전량을 대한항공에 팔면서 49억 원의 매매차익도 봤다.
## 이들은 또 <공정위:ORG>가 지난해 <5월:DAT> 일감 몰아주기 관련 조사를 벌이자 <6개월:DUR> 뒤인 <11월:DAT> 주식 전량을 <대한항공:ORG>에 팔면서 <49억 원:MNY>의 매매차익도 봤다.
이	이	NP	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
또	또	MAG	O
_	_	_	O
공정	공정	NNG	B-ORG
위	위	NNG	I-ORG
