## 1
## 줄리엔강, 3살 연하 모델 장성희와 열애설 소속사 "조모상 당해 부산에 있다"
## <줄리엔강:PER>, <3살:NOH> 연하 모델 <장성희:PER>와 열애설 소속사 "조모상 당해 <부산:LOC>에 있다"
줄리	줄리	NNP	B-PER
엔강	엔강	NNP	I-PER
,	,	SP	O
_	_	_	O
3	3	SN	B-NOH
살	살	NNB	I-NOH
_	_	_	O
연하	연하	NNG	O
_	_	_	O
모델	모델	NNG	O
_	_	_	O
장성희	장성희	NNP	B-PER
와	와	JKB	O
_	_	_	O
열애	열애	NNG	O
설	설	XSN	O
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
"	"	SS	O
조모	조모	NNG	O
상	상	NNG	O
_	_	_	O
당해	당하+여	VV+EC	O
_	_	_	O
부산	부산	NNP	B-LOC
에	에	JKB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
"	"	SS	O

## 2
## 4·13총선 새누리당 지역구 초선 당선자 중 유일한 여성인 김정재 당선자(50·경북 포항북·사진)의 ‘이것만은 반드시 지키겠다’는 대국민 약속이다.
## <4·13총선:POH> <새누리당:ORG> 지역구 초선 당선자 중 유일한 여성인 <김정재:PER> 당선자(<50:NOH>·<경북 포항:LOC>북·사진)의 ‘이것만은 반드시 지키겠다’는 대국민 약속이다.
4	4	SN	B-POH
·	·	SP	I-POH
13	13	SN	I-POH
총선	총선	NNG	I-POH
_	_	_	O
새누리당	새누리당	NNP	B-ORG
_	_	_	O
지역구	지역구	NNG	O
_	_	_	O
초선	초선	NNG	O
_	_	_	O
당선자	당선자	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
유일한	유일하+ㄴ	VA+ETM	O
_	_	_	O
여성	여성	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
김정재	김정재	NNP	B-PER
_	_	_	O
당선자	당선자	NNG	O
(	(	SS	O
50	50	SN	B-NOH
·	·	SP	O
경북	경북	NNP	B-LOC
_	_	_	I-LOC
포항	포항	NNP	I-LOC
북	북	NNG	O
·	·	SP	O
사진	사진	NNG	O
)	)	SS	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
이것	이것	NP	O
만	만	JX	O
은	은	JX	O
_	_	_	O
반드시	반드시	MAG	O
_	_	_	O
지키	지키	VV	O
겠	겠	EP	O
다	다	EF	O
’	’	SS	O
는	는	JX	O
_	_	_	O
대	대	XPN	O
국민	국민	NNG	O
_	_	_	O
약속	약속	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 브룬싱의 영상 앞에 놓여 있는 양현정 씨의 서울 벤치 리서치 메모는 이 ‘징 벤치’가 먼 나라 얘기가 아님을 보여준다.
## <브룬싱:PER>의 영상 앞에 놓여 있는 <양현정:PER> 씨의 <서울:LOC> 벤치 리서치 메모는 이 ‘<징 벤치:POH>’가 먼 나라 얘기가 아님을 보여준다.
브룬싱	브룬싱	NNG	B-PER
의	의	JKG	O
_	_	_	O
영상	영상	NNG	O
_	_	_	O
앞	앞	NNG	O
에	에	JKB	O
_	_	_	O
놓	놓이	VV	O
여	어	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
양현정	양현정	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
벤치	벤치	NNG	O
_	_	_	O
리서치	리서치	NNG	O
_	_	_	O
메모	메모	NNG	O
는	는	JX	O
_	_	_	O
이	이	MM	O
_	_	_	O
‘	‘	SS	O
징	징	NNG	B-POH
_	_	_	I-POH
벤치	벤치	NNG	I-POH
’	’	SS	O
가	가	JKS	O
_	_	_	O
먼	멀+ㄴ	VA+ETM	O
_	_	_	O
나라	나라	NNG	O
_	_	_	O
얘기	얘기	NNG	O
가	가	JKC	O
_	_	_	O
아님	아니+ㅁ	VCN+ETN	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
준다	주+ㄴ다	VX+EF	O
.	.	SF	O

## 4
