## 1
## 법인카드 고객은 한식과 치킨 업종에서 파주LCD산업단지나 평택진위산업단지 인근 등 산업단지가 매출이 가장 많은 것으로 조사됐다.
## 법인카드 고객은 한식과 치킨 업종에서 <파주LCD산업단지:LOC>나 <평택진위산업단지:LOC> 인근 등 산업단지가 매출이 가장 많은 것으로 조사됐다.
법인	법인	NNG	O
카드	카드	NNG	O
_	_	_	O
고객	고객	NNG	O
은	은	JX	O
_	_	_	O
한식	한식	NNG	O
과	과	JC	O
_	_	_	O
치킨	치킨	NNG	O
_	_	_	O
업종	업종	NNG	O
에서	에서	JKB	O
_	_	_	O
파주	파주	NNP	B-LOC
LCD	LCD	SL	I-LOC
산업	산업	NNG	I-LOC
단지	단지	NNG	I-LOC
나	나	JC	O
_	_	_	O
평택	평택	NNP	B-LOC
진위	진위	NNP	I-LOC
산업	산업	NNG	I-LOC
단지	단지	NNG	I-LOC
_	_	_	O
인근	인근	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
산업	산업	NNG	O
단지	단지	NNG	O
가	가	JKS	O
_	_	_	O
매출	매출	NNG	O
이	이	JKS	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
조사	조사되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## [오늘의 채널A] 안영미, 반려견과 좌충우돌
## [<오늘의 채널A:POH>] <안영미:PER>, 반려견과 좌충우돌
[	[	SS	O
오늘	오늘	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
채널	채널	NNG	I-POH
A	A	SL	I-POH
]	]	SS	O
_	_	_	O
안영미	안영미	NNP	B-PER
,	,	SP	O
_	_	_	O
반려	반려	NNG	O
견	견	NNG	O
과	과	JC	O
_	_	_	O
좌충우돌	좌충우돌	NNG	O

## 3
## 산학협력을 맺고 있는 600여 개 기업과 가족회사를 꾸려 그들의 애로 사항을 해결해주고 취업으로 연결시키고 있다.
## 산학협력을 맺고 있는 <600여 개:NOH> 기업과 가족회사를 꾸려 그들의 애로 사항을 해결해주고 취업으로 연결시키고 있다.
산학	산학	NNG	O
협력	협력	NNG	O
을	을	JKO	O
_	_	_	O
맺	맺	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
600	600	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
개	개	NNB	I-NOH
_	_	_	O
기업	기업	NNG	O
과	과	JC	O
_	_	_	O
가족	가족	NNG	O
회사	회사	NNG	O
를	를	JKO	O
_	_	_	O
꾸려	꾸리+어	VV+EC	O
_	_	_	O
그	그	NP	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
애로	애로	NNG	O
_	_	_	O
사항	사항	NNG	O
을	을	JKO	O
_	_	_	O
해결해	해결하+여	VV+EC	O
주	주	VX	O
고	고	EC	O
_	_	_	O
취업	취업	NNG	O
으로	으로	JKB	O
_	_	_	O
연결	연결	NNG	O
시키	시키	XSV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 래퍼 비와이의 외모가 화제다.
## 래퍼 <비와이:PER>의 외모가 화제다.
래퍼	래퍼	NNG	O
_	_	_	O
비	비	XPN	B-PER
와이	와이	NNG	I-PER
의	의	JKG	O
_	_	_	O
외모	외모	NNG	O
가	가	JKS	O
_	_	_	O
화제	화제+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 대북제재 맞은 북한 무역기관들 남한 업자에 손뻗쳐
## 대북제재 맞은 <북한:ORG> 무역기관들 <남한:ORG> 업자에 손뻗쳐
대북	대북	NNG	O
제재	제재	NNG	O
_	_	_	O
맞	맞	VV	O
은	은	ETM	O
_	_	_	O
북한	북한	NNP	B-ORG
_	_	_	O
무역	무역	NNG	O
기관	기관	NNG	O
들	들	XSN	O
_	_	_	O
남한	남한	NNP	B-ORG
_	_	_	O
업자	업자	NNG	O
에	에	JKB	O
_	_	_	O
손	손	NNG	O
뻗쳐	뻗치+어	VV+EC	O

## 6
## 한편 왕지혜는 6일 방송된 SBS '정글의 법칙-보물섬 in 사모아'(이하 '정글의 법칙')에서 색다른 모습을 드러냈다.
## 한편 <왕지혜:PER>는 <6일:DAT> 방송된 <SBS:POH> '<정글의 법칙-보물섬 in 사모아:POH>'(이하 '<정글의 법칙:POH>')에서 색다른 모습을 드러냈다.
한편	한편	MAG	O
_	_	_	O
왕지혜	왕지혜	NNP	B-PER
는	는	JX	O
_	_	_	O
6	6	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
방송된	방송되+ㄴ	VV+ETM	O
_	_	_	O
SBS	SBS	SL	B-POH
_	_	_	O
'	'	SS	O
정글	정글	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
법칙	법칙	NNG	I-POH
-	-	SO	I-POH
보물섬	보물섬	NNG	I-POH
_	_	_	I-POH
in	in	SL	I-POH
_	_	_	I-POH
사모아	사모아	NNP	I-POH
'	'	SS	O
(	(	SS	O
이하	이하	NNG	O
_	_	_	O
'	'	SS	O
정글	정글	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
법칙	법칙	NNG	I-POH
'	'	SS	O
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
색다른	색다르+ㄴ	VA+ETM	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
드러냈	드러내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 7
