## 1
## 메르스에 얽힌 병원 명단이 뒤늦게 발표됐다.
## <메르스:POH>에 얽힌 병원 명단이 뒤늦게 발표됐다.
메르스	메르스	NNG	B-POH
에	에	JKB	O
_	_	_	O
얽힌	얽히+ㄴ	VV+ETM	O
_	_	_	O
병원	병원	NNG	O
_	_	_	O
명단	명단	NNG	O
이	이	JKS	O
_	_	_	O
뒤늦	뒤늦	VA	O
게	게	EC	O
_	_	_	O
발표	발표되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 과학과 예술의 시각이 근본을 탐구한다는 점에서 일맥상통한다는 사실을 깨달았죠.” 릴릴 씨가 꼭 해외로만 눈을 돌리는 건 아니다.
## 과학과 예술의 시각이 근본을 탐구한다는 점에서 일맥상통한다는 사실을 깨달았죠.” <릴릴:PER> 씨가 꼭 해외로만 눈을 돌리는 건 아니다.
과학	과학	NNG	O
과	과	JC	O
_	_	_	O
예술	예술	NNG	O
의	의	JKG	O
_	_	_	O
시각	시각	NNG	O
이	이	JKS	O
_	_	_	O
근본	근본	NNG	O
을	을	JKO	O
_	_	_	O
탐구한다는	탐구하+ㄴ다는	VV+ETM	O
_	_	_	O
점	점	NNG	O
에서	에서	JKB	O
_	_	_	O
일맥상통한다는	일맥상통하+ㄴ다는	VV+ETM	O
_	_	_	O
사실	사실	NNG	O
을	을	JKO	O
_	_	_	O
깨달	깨닫	VV	O
았	았	EP	O
죠	죠	EF	O
.	.	SF	O
”	”	SS	O
_	_	_	O
릴	릴	NNG	B-PER
릴	릴	NNG	I-PER
_	_	_	O
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
꼭	꼭	MAG	O
_	_	_	O
해외	해외	NNG	O
로	로	JKB	O
만	만	JX	O
_	_	_	O
눈	눈	NNG	O
을	을	JKO	O
_	_	_	O
돌리	돌리	VV	O
는	는	ETM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
아니	아니	VCN	O
다	다	EF	O
.	.	SF	O

## 3
## 주택도시보증공사는 지난해 7월 주택도시기금법이 시행되며 주택도시기금을 운용하게 됐다.
## <주택도시보증공사:ORG>는 지난해 <7월:DAT> 주택도시기금법이 시행되며 주택도시기금을 운용하게 됐다.
주택도시	주택도시	NNG	B-ORG
보증	보증	NNG	I-ORG
공사	공사	NNG	I-ORG
는	는	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
7	7	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
주택	주택	NNG	O
도시	도시	NNG	O
기금	기금	NNG	O
법	법	NNG	O
이	이	JKS	O
_	_	_	O
시행되	시행되	VV	O
며	며	EC	O
_	_	_	O
주택	주택	NNG	O
도시	도시	NNG	O
기금	기금	NNG	O
을	을	JKO	O
_	_	_	O
운용하	운용하	VV	O
게	게	EC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 가산보너스에 고소득 ‘감액’도 피해신청 급증 … 작년 1만2471명이 늦춰 연기연금의 또 다른 장점은 감액을 피하는 수단이라는 점이다.
## 가산보너스에 고소득 ‘감액’도 피해신청 급증 … 작년 <1만2471명:NOH>이 늦춰 연기연금의 또 다른 장점은 감액을 피하는 수단이라는 점이다.
가산	가산	NNG	O
보너스	보너스	NNG	O
에	에	JKB	O
_	_	_	O
고소득	고소득	NNG	O
_	_	_	O
‘	‘	SS	O
감액	감액	NNG	O
’	’	SS	O
도	도	JX	O
_	_	_	O
피해	피해	NNG	O
신청	신청	NNG	O
_	_	_	O
급증	급증	NNG	O
_	_	_	O
…	…	SE	O
_	_	_	O
작년	작년	NNG	O
_	_	_	O
1	1	SN	B-NOH
만	만	NR	I-NOH
2471	2471	SN	I-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
늦춰	늦추+어	VV+EC	O
_	_	_	O
연기	연기	NNG	O
연금	연금	NNG	O
의	의	JKG	O
_	_	_	O
또	또	MAG	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
장점	장점	NNG	O
은	은	JX	O
_	_	_	O
감액	감액	NNG	O
을	을	JKO	O
_	_	_	O
피하	피하	VV	O
는	는	ETM	O
_	_	_	O
수단	수단	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
점	점	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 취임한 지 1년도 안 됐던 노 전 대통령은 “대통령이 재신임을 받고 그 결과에 책임을 지고 물러나겠다.
## 취임한 지 <1년:NOH>도 안 됐던 <노:PER> 전 대통령은 “대통령이 재신임을 받고 그 결과에 책임을 지고 물러나겠다.
취임한	취임하+ㄴ	VV+ETM	O
_	_	_	O
지	지	NNB	O
_	_	_	O
1	1	SN	B-NOH
년	년	NNB	I-NOH
도	도	JX	O
_	_	_	O
안	안	MAG	O
_	_	_	O
