## 1
## 에커맨은 19득점으로 첫 경기보다 나아진 모습을 보인 것이 GS에게는 위안이었다.
## <에커맨:PER>은 <19:NOH>득점으로 첫 경기보다 나아진 모습을 보인 것이 <GS:ORG>에게는 위안이었다.
에커맨	에커맨	NNG	B-PER
은	은	JX	O
_	_	_	O
19	19	SN	B-NOH
득점	득점	NNG	O
으로	으로	JKB	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
경기	경기	NNG	O
보다	보다	JKB	O
_	_	_	O
나아진	나아지+ㄴ	VV+ETM	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
보인	보이+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
GS	GS	SL	B-ORG
에게	에게	JKB	O
는	는	JX	O
_	_	_	O
위안	위안	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 아예 ‘#bestbeard(최고 수염)’이라는 해시태그(#)도 등장했다.
## 아예 ‘#bestbeard(최고 수염)’이라는 <해시태그:POH>(#)도 등장했다.
아예	아예	MAG	O
_	_	_	O
‘	‘	SS	O
#	#	SW	O
bestbeard	bestbeard	SL	O
(	(	SS	O
최고	최고	NNG	O
_	_	_	O
수염	수염	NNG	O
)	)	SS	O
’	’	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
해시태그	해시태그	NNG	B-POH
(	(	SS	O
#	#	SW	O
)	)	SS	O
도	도	JX	O
_	_	_	O
등장	등장하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 재판부는 “B씨가 처음에는 상급자와 원청업체 노조관계자의 요구도 있었고 A씨를 용서할 마음으로 ‘멱살을 잡히고 주먹으로 맞았다’고만 축소해 진술했다”면서 “하지만 B씨는 A씨가 반성하는 태도를 보이지 않자 나중에 ‘쇠파이프를 들고 위협했다’고 사실대로 진술했다”며 양형의 이유를 설명했다.
## <재판부:ORG>는 “<B:PER>씨가 처음에는 상급자와 원청업체 노조관계자의 요구도 있었고 <A:PER>씨를 용서할 마음으로 ‘멱살을 잡히고 주먹으로 맞았다’고만 축소해 진술했다”면서 “하지만 <B:PER>씨는 <A:PER>씨가 반성하는 태도를 보이지 않자 나중에 ‘쇠파이프를 들고 위협했다’고 사실대로 진술했다”며 양형의 이유를 설명했다.
재판부	재판부	NNG	B-ORG
는	는	JX	O
_	_	_	O
“	“	SS	O
B	B	SL	B-PER
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
처음	처음	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
상급자	상급자	NNG	O
와	와	JC	O
_	_	_	O
원청	원청	NNG	O
업체	업체	NNG	O
_	_	_	O
노조	노조	NNG	O
관계자	관계자	NNG	O
의	의	JKG	O
_	_	_	O
요구	요구	NNG	O
도	도	JX	O
_	_	_	O
있	있	VA	O
