## 1
## 런던에 본부를 둔 IMB는 연례보고서에서 동북아해역에서의 불법 선박포획행위가 가장 큰 우려사항이라고 지적했다.
## <런던:LOC>에 본부를 둔 <IMB:ORG>는 연례보고서에서 <동북아:LOC>해역에서의 불법 선박포획행위가 가장 큰 우려사항이라고 지적했다.
런던	런던	NNP	B-LOC
에	에	JKB	O
_	_	_	O
본부	본부	NNG	O
를	를	JKO	O
_	_	_	O
둔	두+ㄴ	VV+ETM	O
_	_	_	O
IMB	IMB	SL	B-ORG
는	는	JX	O
_	_	_	O
연례	연례	NNG	O
보고서	보고서	NNG	O
에서	에서	JKB	O
_	_	_	O
동북아	동북아	NNP	B-LOC
해역	해역	NNG	O
에서	에서	JKB	O
의	의	JKG	O
_	_	_	O
불법	불법	NNG	O
_	_	_	O
선박	선박	NNG	O
포획	포획	NNG	O
행위	행위	NNG	O
가	가	JKS	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
우려	우려	NNG	O
사항	사항	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
지적	지적하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 음주운전 셀프디스?노홍철이 ‘내방의 품격’으로 방송 복귀를 신고했다.
## 음주운전 셀프디스?<노홍철:PER>이 ‘<내방의 품격:POH>’으로 방송 복귀를 신고했다.
음주	음주	NNG	O
운전	운전	NNG	O
_	_	_	O
셀프	셀프	NNG	O
디스	디스	NNG	O
?	?	SF	O
노홍철	노홍철	NNP	B-PER
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
내방	내방	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
품격	품격	NNG	I-POH
’	’	SS	O
으로	으로	JKB	O
_	_	_	O
방송	방송	NNG	O
_	_	_	O
복귀	복귀	NNG	O
를	를	JKO	O
_	_	_	O
신고	신고하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 23일 첫 방송된 tvN ‘내방의 품격’에서는 노홍철, 오상진, 박건형, 김준현이 출연했다.
## <23일:DAT> 첫 방송된 <tvN:POH> ‘<내방의 품격:POH>’에서는 <노홍철:PER>, <오상진:PER>, <박건형:PER>, <김준현:PER>이 출연했다.
23	23	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
첫	첫	MM	O
_	_	_	O
방송된	방송되+ㄴ	VV+ETM	O
_	_	_	O
tvN	tvN	SL	B-POH
_	_	_	O
‘	‘	SS	O
내방	내방	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
품격	품격	NNG	I-POH
’	’	SS	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
노홍철	노홍철	NNP	B-PER
,	,	SP	O
_	_	_	O
오상진	오상진	NNP	B-PER
,	,	SP	O
_	_	_	O
박건형	박건형	NNP	B-PER
,	,	SP	O
_	_	_	O
김준현	김준현	NNP	B-PER
이	이	JKS	O
_	_	_	O
출연	출연하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 노홍철은 이날 방송에서 전동드릴을 사용했다.
## <노홍철:PER>은 이날 방송에서 전동드릴을 사용했다.
노홍철	노홍철	NNP	B-PER
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
방송	방송	NNG	O
에서	에서	JKB	O
_	_	_	O
전동	전동	NNG	O
드릴	드릴	NNG	O
을	을	JKO	O
_	_	_	O
사용	사용하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 입시전문 교육기업 진학사(대표 신원근)는 2017학년도 전문대학 수시모집에 대비해 8월 3일(수)부터 8월 5일(금)까지 서울 삼성동 코엑스 3층 C홀에서 ‘2017학년도 수시 전문대학 입학정보 박람회’를 개최한다.
## 입시전문 교육기업 <진학사:ORG>(대표 <신원근:PER>)는 <2017학년도:NOH> 전문대학 수시모집에 대비해 <8월 3일:DAT>(<수:DAT>)부터 <8월 5일:DAT>(<금:DAT>)까지 <서울 삼성동 코엑스 3층 C홀:LOC>에서 ‘<2017학년도:NOH> 수시 전문대학 입학정보 박람회’를 개최한다.
입시	입시	NNG	O
전문	전문	NNG	O
_	_	_	O
교육	교육	NNG	O
기업	기업	NNG	O
_	_	_	O
진학사	진학사	NNP	B-ORG
(	(	SS	O
대표	대표	NNG	O
_	_	_	O
신원근	신원근	NNP	B-PER
)	)	SS	O
는	는	JX	O
_	_	_	O
2017	2017	SN	B-NOH
학년도	학년도	NNG	I-NOH
_	_	_	O
전문대학	전문대학	NNG	O
_	_	_	O
수시	수시	NNG	O
모집	모집	NNG	O
에	에	JKB	O
_	_	_	O
대비해	대비하+여	VV+EC	O
_	_	_	O
8	8	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
3	3	SN	I-DAT
일	일	NNB	I-DAT
