## 1
## 10일 나온 ‘갤럭시S6’와 ‘갤럭시S6 엣지’가 그 결과물이다.
## <10일:DAT> 나온 ‘<갤럭시S6:POH>’와 ‘<갤럭시S6 엣지:POH>’가 그 결과물이다.
10	10	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
나온	나오+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
갤럭시	갤럭시	NNP	B-POH
S	S	SL	I-POH
6	6	SN	I-POH
’	’	SS	O
와	와	JC	O
_	_	_	O
‘	‘	SS	O
갤럭시	갤럭시	NNP	B-POH
S	S	SL	I-POH
6	6	SN	I-POH
_	_	_	I-POH
엣지	엣지	NNG	I-POH
’	’	SS	O
가	가	JKS	O
_	_	_	O
그	그	MM	O
_	_	_	O
결과물	결과물	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 이에 시진은 “살려요. 당신은 의사로서 당신의 일을 해요”라며 “죽여야 할 상황이 생기면 죽이는 건 내가 할 테니까”라고 말해 두 사람이 이 고비를 어떻게 넘길지에 대해 기대가 높아지고 있다.
## 이에 <시진:PER>은 “살려요. 당신은 의사로서 당신의 일을 해요”라며 “죽여야 할 상황이 생기면 죽이는 건 내가 할 테니까”라고 말해 <두 사람:NOH>이 이 고비를 어떻게 넘길지에 대해 기대가 높아지고 있다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
시진	시진	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
살려요	살리+어요	VV+EF	O
.	.	SF	O
_	_	_	O
당신	당신	NP	O
은	은	JX	O
_	_	_	O
의사	의사	NNG	O
로서	로서	JKB	O
_	_	_	O
당신	당신	NP	O
의	의	JKG	O
_	_	_	O
일	일	NNG	O
을	을	JKO	O
_	_	_	O
해요	하+여요	VV+EF	O
”	”+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
죽	죽이	VV	O
여야	어야	EC	O
_	_	_	O
할	하+ㄹ	VX+ETM	O
_	_	_	O
상황	상황	NNG	O
이	이	JKS	O
_	_	_	O
생기	생기	VV	O
면	면	EC	O
_	_	_	O
죽이	죽이	VV	O
