## 1
## 올 시즌 마무리로 낙점된 안지만에 대해서는 “세이브 상황에서 무조건 나간다.
## 올 시즌 마무리로 낙점된 <안지만:PER>에 대해서는 “세이브 상황에서 무조건 나간다.
올	올	NNG	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
마무리	마무리	NNG	O
로	로	JKB	O
_	_	_	O
낙점된	낙점되+ㄴ	VV+ETM	O
_	_	_	O
안지만	안지만	NNP	B-PER
에	에	JKB	O
_	_	_	O
대해서	대하+여서	VV+EC	O
는	는	JX	O
_	_	_	O
“	“	SS	O
세이브	세이브	NNG	O
_	_	_	O
상황	상황	NNG	O
에서	에서	JKB	O
_	_	_	O
무조건	무조건	MAG	O
_	_	_	O
나간다	나가+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 조환익(65·사진) 한국전력 사장이 한국품질경영학회가 수여하는 ‘2015 글로벌 품질경영인 대상’ 수상자로 선정됐다.
## <조환익:PER>(<65:NOH>·사진) <한국전력:ORG> 사장이 <한국품질경영학회:ORG>가 수여하는 ‘<2015:DAT> <글로벌 품질경영인 대상:POH>’ 수상자로 선정됐다.
조환익	조환익	NNP	B-PER
(	(	SS	O
65	65	SN	B-NOH
·	·	SP	O
사진	사진	NNG	O
)	)	SS	O
_	_	_	O
한국전력	한국전력	NNP	B-ORG
_	_	_	O
사장	사장	NNG	O
이	이	JKS	O
_	_	_	O
한국	한국	NNP	B-ORG
품질	품질	NNG	I-ORG
경영	경영	NNG	I-ORG
학회	학회	NNG	I-ORG
가	가	JKS	O
_	_	_	O
수여하	수여하	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
2015	2015	SN	B-DAT
_	_	_	O
글로벌	글로벌	NNG	B-POH
_	_	_	I-POH
품질	품질	NNG	I-POH
경영	경영	NNG	I-POH
인	이+ㄴ	VCP+ETM	I-POH
_	_	_	I-POH
대상	대상	NNG	I-POH
’	’	SS	O
_	_	_	O
수상자	수상자	NNG	O
로	로	JKB	O
_	_	_	O
선정	선정되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## [경제계 인사]KB캐피탈 대표에 박지우 사장 추천
## [경제계 인사]<KB캐피탈:ORG> 대표에 <박지우:PER> 사장 추천
[	[	SS	O
경제계	경제계	NNG	O
_	_	_	O
인사	인사	NNG	O
]	]	SS	O
KB	KB	SL	B-ORG
캐피탈	캐피탈	NNG	I-ORG
_	_	_	O
대표	대표	NNG	O
에	에	JKB	O
_	_	_	O
박지우	박지우	NNP	B-PER
_	_	_	O
사장	사장	NNG	O
_	_	_	O
추천	추천	NNG	O

## 4
## 한국과 중국, 일본, 대만 4개국 선수들이 참여해 블소 비무 최강자를 가린다.
## <한국:ORG>과 <중국:ORG>, <일본:ORG>, <대만:ORG> <4개국:NOH> 선수들이 참여해 블소 비무 최강자를 가린다.
한국	한국	NNP	B-ORG
과	과	JC	O
_	_	_	O
중국	중국	NNP	B-ORG
,	,	SP	O
_	_	_	O
일본	일본	NNP	B-ORG
,	,	SP	O
_	_	_	O
대만	대만	NNP	B-ORG
_	_	_	O
4	4	SN	B-NOH
개국	개국	NNB	I-NOH
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
참여해	참여하+여	VV+EC	O
_	_	_	O
블	블	VV	O
소	소	EC	O
_	_	_	O
비무	비무	NNG	O
_	_	_	O
최	최	XPN	O
강자	강자	NNG	O
를	를	JKO	O
_	_	_	O
가린다	가리+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 출연 중.29일 방송되는 ‘슈퍼맨이 돌아왔다’
## 출연 중.<29일:DAT> 방송되는 ‘<슈퍼맨이 돌아왔다:POH>’
출연	출연	NNG	O
_	_	_	O
중	중	NNP	O
.	.	SF	O
29	29	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
방송되	방송되	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
슈퍼맨	슈퍼맨	NNG	B-POH
이	이	JKS	I-POH
_	_	_	I-POH
돌아	돌아오	VV	I-POH
왔	았	EP	I-POH
다	다	EF	I-POH
’	’	SS	O

## 6
## 4호선 서울역 에스컬레이터에서 연기가… 승객 100여 명 대피 소동, 인명피해는?4호선 서울역서울 지하철 4호선 서울역 승강장 내부 에스컬레이터에서 연기가 발생해 승객들이 대피하는 소동이 벌어졌다.소방 당국과 서울 메트로에 따르면 11일 오후 1시45분께 서울역 4호선 승강장에서 1호선 환승통로로 향하는 에스컬레이터에 연기가 발생, 오후 2시께 불이 완전히 꺼졌다.
## <4호선:NOH> <서울역:LOC> 에스컬레이터에서 연기가… 승객 <100여 명:NOH> 대피 소동, 인명피해는?<4호선:NOH> <서울역서울:LOC> 지하철 <4호선:NOH> <서울역:LOC> 승강장 내부 에스컬레이터에서 연기가 발생해 승객들이 대피하는 소동이 벌어졌다.소방 당국과 <서울 메트로:ORG>에 따르면 <11일:DAT> <오후 1시45분:TIM>께 <서울역:LOC> <4호선:NOH> 승강장에서 <1호선:NOH> 환승통로로 향하는 에스컬레이터에 연기가 발생, <오후 2시:TIM>께 불이 완전히 꺼졌다.
4	4	SN	B-NOH
호	호	NNB	I-NOH
선	선	XSN	I-NOH
_	_	_	O
서울역	서울역	NNP	B-LOC
_	_	_	O
에스컬레이터	에스컬레이터	NNG	O
에서	에서	JKB	O
_	_	_	O
연기	연기	NNG	O
가	가	JKS	O
…	…	SE	O
_	_	_	O
승객	승객	NNG	O
_	_	_	O
100	100	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
_	_	_	O
대피	대피	NNG	O
_	_	_	O
소동	소동	NNG	O
,	,	SP	O
_	_	_	O
인명	인명	NNG	O
피해	피해	NNG	O
는	는	JX	O
?	?	SF	O
4	4	SN	B-NOH
호	호	NNB	I-NOH
선	선	XSN	I-NOH
_	_	_	O
서울역	서울역	NNP	B-LOC
서울	서울	NNP	I-LOC
_	_	_	O
지하철	지하철	NNG	O
_	_	_	O
4	4	SN	B-NOH
호	호	NNB	I-NOH
선	선	XSN	I-NOH
_	_	_	O
서울역	서울역	NNP	B-LOC
_	_	_	O
승강장	승강장	NNG	O
_	_	_	O
내부	내부	NNG	O
_	_	_	O
에스컬레이터	에스컬레이터	NNG	O
에서	에서	JKB	O
_	_	_	O
연기	연기	NNG	O
가	가	JKS	O
_	_	_	O
발생해	발생하+여	VV+EC	O
_	_	_	O
승객	승객	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
대피하	대피하	VV	O
는	는	ETM	O
_	_	_	O
소동	소동	NNG	O
이	이	JKS	O
_	_	_	O
벌어	벌어지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O
소방	소방	NNG	O
_	_	_	O
당국	당국	NNG	O
과	과	JC	O
_	_	_	O
서울	서울	NNP	B-ORG
_	_	_	I-ORG
메트로	메트로	NNG	I-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
11	11	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
1	1	SN	I-TIM
시	시	NNB	I-TIM
45	45	SN	I-TIM
분	분	NNB	I-TIM
께	께	XSN	O
_	_	_	O
서울	서울	NNP	B-LOC
역	역	NNG	I-LOC
_	_	_	O
4	4	SN	B-NOH
호	호	NNB	I-NOH
선	선	XSN	I-NOH
_	_	_	O
승강장	승강장	NNG	O
에서	에서	JKB	O
_	_	_	O
1	1	SN	B-NOH
호	호	NNB	I-NOH
선	선	XSN	I-NOH
_	_	_	O
환승	환승	NNG	O
통로	통로	NNG	O
로	로	JKB	O
_	_	_	O
향하	향하	VV	O
는	는	ETM	O
_	_	_	O
에스컬레이터	에스컬레이터	NNG	O
에	에	JKB	O
_	_	_	O
연기	연기	NNG	O
가	가	JKS	O
_	_	_	O
발생	발생	NNG	O
,	,	SP	O
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
2	2	SN	I-TIM
시	시	NNB	I-TIM
께	께	XSN	O
_	_	_	O
불	불	NNG	O
이	이	JKS	O
_	_	_	O
완전히	완전히	MAG	O
_	_	_	O
꺼	꺼지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 나비의 머리카락은 하나둘 떨어지고 있었다.
## <나비:PER>의 머리카락은 <하나:NOH><둘:NOH> 떨어지고 있었다.
나비	나비	NNG	B-PER
의	의	JKG	O
_	_	_	O
머리카락	머리카락	NNG	O
은	은	JX	O
_	_	_	O
하나	하나	NR	B-NOH
둘	둘	NR	B-NOH
_	_	_	O
떨어지	떨어지	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 실제로 최단 소요시간을 기준으로 한 용산역∼광주송정역 운행시간은 1시간 33분이고, 서울역∼동대구역은 1시간 41분이다.
## 실제로 최단 소요시간을 기준으로 한 <용산역:LOC>∼<광주송정역:LOC> 운행시간은 <1시간 33분:DUR>이고, <서울역:LOC>∼<동대구역:LOC>은 <1시간 41분:DUR>이다.
실제로	실제로	MAG	O
_	_	_	O
최단	최단	NNG	O
_	_	_	O
소요	소요	NNG	O
시간	시간	NNG	O
을	을	JKO	O
_	_	_	O
기준	기준	NNG	O
으로	으로	JKB	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
용산역	용산역	NNP	B-LOC
∼	∼	SO	O
광주	광주	NNP	B-LOC
송정역	송정역	NNP	I-LOC
_	_	_	O
운행	운행	NNG	O
시간	시간	NNG	O
은	은	JX	O
_	_	_	O
1	1	SN	B-DUR
시간	시간	NNB	I-DUR
_	_	_	I-DUR
33	33	SN	I-DUR
분	분	NNB	I-DUR
이	이	VCP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
서울역	서울역	NNP	B-LOC
∼	∼	SO	O
동대구역	동대구역	NNP	B-LOC
은	은	JX	O
_	_	_	O
