## 1
## 일곱 번째 초우더리는 영국에서 옥살이를 한다.
## <일곱 번째:NOH> <초우더리:PER>는 <영국:ORG>에서 옥살이를 한다.
일곱	일곱	NR	B-NOH
_	_	_	I-NOH
번째	번째	NNB	I-NOH
_	_	_	O
초우	초우	NNG	B-PER
더	더	NNP	I-PER
리	리	NNB	I-PER
는	는	JX	O
_	_	_	O
영국	영국	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
옥살이	옥살이	NNG	O
를	를	JKO	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 이항수 SK이노베이션 홍보실장은 “벤츠 프로젝트 참여를 계기로 한국, 중국, 유럽 자동차 회사들과 글로벌 마케팅 네트워크를 구축했다”며 “기존 파트너와의 협력관계를 강화하면서 글로벌 시장 공략에 더욱 박차를 가할 계획”이라고 말했다.
## <이항수:PER> <SK이노베이션:ORG> 홍보실장은 “<벤츠:ORG> 프로젝트 참여를 계기로 <한국:ORG>, <중국:ORG>, <유럽:ORG> 자동차 회사들과 글로벌 마케팅 네트워크를 구축했다”며 “기존 파트너와의 협력관계를 강화하면서 글로벌 시장 공략에 더욱 박차를 가할 계획”이라고 말했다.
이항수	이항수	NNP	B-PER
_	_	_	O
SK	SK	SL	B-ORG
이노베이션	이노베이션	NNG	I-ORG
_	_	_	O
홍보	홍보	NNG	O
실장	실장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
벤츠	벤츠	NNP	B-ORG
_	_	_	O
프로젝트	프로젝트	NNG	O
_	_	_	O
참여	참여	NNG	O
를	를	JKO	O
_	_	_	O
계기	계기	NNG	O
로	로	JKB	O
_	_	_	O
한국	한국	NNP	B-ORG
,	,	SP	O
_	_	_	O
중국	중국	NNP	B-ORG
,	,	SP	O
_	_	_	O
유럽	유럽	NNP	B-ORG
_	_	_	O
자동차	자동차	NNG	O
_	_	_	O
회사	회사	NNG	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
글로벌	글로벌	NNG	O
_	_	_	O
마케팅	마케팅	NNG	O
_	_	_	O
네트워크	네트워크	NNG	O
를	를	JKO	O
_	_	_	O
구축	구축하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
기존	기존	NNG	O
_	_	_	O
파트너	파트너	NNG	O
와	와	JKB	O
의	의	JKG	O
_	_	_	O
협력	협력	NNG	O
관계	관계	NNG	O
를	를	JKO	O
_	_	_	O
강화하	강화하	VV	O
면서	면서	EC	O
_	_	_	O
글로벌	글로벌	NNG	O
_	_	_	O
시장	시장	NNG	O
_	_	_	O
공략	공략	NNG	O
에	에	JKB	O
_	_	_	O
더욱	더욱	MAG	O
_	_	_	O
박차	박차	NNG	O
를	를	JKO	O
_	_	_	O
가할	가하+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 1단계 사업은 지하 2~지상 최고 49층, 16개동, 총 4283가구 규모다.
## <1단계:NOH> 사업은 <지하 2:NOH>~지상 최고 <49층:NOH>, <16개:NOH>동, 총 <4283가구:NOH> 규모다.
1	1	SN	B-NOH
단계	단계	NNG	I-NOH
_	_	_	O
사업	사업	NNG	O
은	은	JX	O
_	_	_	O
지하	지하	NNG	B-NOH
_	_	_	I-NOH
2	2	SN	I-NOH
~	~	SO	O
지상	지상	NNG	O
_	_	_	O
최고	최고	NNG	O
_	_	_	O
49	49	SN	B-NOH
층	층	NNG	I-NOH
,	,	SP	O
_	_	_	O
16	16	SN	B-NOH
개	개	NNB	I-NOH
동	동	NNG	O
,	,	SP	O
_	_	_	O
총	총	MM	O
_	_	_	O
4283	4283	SN	B-NOH
가구	가구	NNG	I-NOH
_	_	_	O
규모	규모+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 평소에도 많은 사람들이 붐비는 이 곳은 크리스마스를 맞아 문전성시를 이뤘다.
## 평소에도 많은 사람들이 붐비는 이 곳은 <크리스마스:DAT>를 맞아 문전성시를 이뤘다.
평소	평소	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
붐비	붐비	VV	O
는	는	ETM	O
_	_	_	O
이	이	MM	O
_	_	_	O
곳	곳	NNG	O
은	은	JX	O
_	_	_	O
크리스마스	크리스마스	NNG	B-DAT
를	를	JKO	O
_	_	_	O
맞	맞	VV	O
아	고	EC	O
_	_	_	O
문전성시	문전성시	NNG	O
를	를	JKO	O
_	_	_	O
이	이루	VV	O
뤘	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 서울시 관계자는 “올해 11월까지 최종 실시계획을 완료·승인할 계획이며 2021년 준공이 목표”라고 말했다.
## <서울시:ORG> 관계자는 “올해 <11월:DAT>까지 최종 실시계획을 완료·승인할 계획이며 <2021년:DAT> 준공이 목표”라고 말했다.
서울시	서울시	NNP	B-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
올해	올해	NNG	O
_	_	_	O
11	11	SN	B-DAT
월	월	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
최종	최종	NNG	O
_	_	_	O
실시	실시	NNG	O
계획	계획	NNG	O
을	을	JKO	O
_	_	_	O
완료	완료	NNG	O
·	·	SP	O
