## 1
## 민주당의원들 모두도 그렇게 얘기한다.
## <민주당:ORG>의원들 모두도 그렇게 얘기한다.
민주당	민주당	NNP	B-ORG
의원	의원	NNG	O
들	들	XSN	O
_	_	_	O
모두	모두	NNG	O
도	도	JX	O
_	_	_	O
그렇	그렇	VA	O
게	게	EC	O
_	_	_	O
얘기한다	얘기하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 박상진 사장-황성수 전무도 소환… ‘삼성 순환출자 해소’ 특혜 의혹 관련
## <박상진:PER> 사장-<황성수:PER> 전무도 소환… ‘삼성 순환출자 해소’ 특혜 의혹 관련
박상진	박상진	NNP	B-PER
_	_	_	O
사장	사장	NNG	O
-	-	SO	O
황성수	황성수	NNP	B-PER
_	_	_	O
전무	전무	NNG	O
도	도	JX	O
_	_	_	O
소환	소환	NNG	O
…	…	SE	O
_	_	_	O
‘	‘	SS	O
삼성	삼성	NNP	O
_	_	_	O
순환	순환	NNG	O
출자	출자	NNG	O
_	_	_	O
해소	해소	NNG	O
’	’	SS	O
_	_	_	O
특혜	특혜	NNG	O
_	_	_	O
의혹	의혹	NNG	O
_	_	_	O
관련	관련	NNG	O

## 3
## ‘에이스’ 니퍼트도 “지난 시즌처럼만 하면 2017시즌에도 좋은 모습을 보일 수 있다”고 자신감을 드러냈다.
## ‘에이스’ <니퍼트:PER>도 “지난 시즌처럼만 하면 <2017시즌:DAT>에도 좋은 모습을 보일 수 있다”고 자신감을 드러냈다.
‘	‘	SS	O
에이스	에이스	NNG	O
’	’	SS	O
_	_	_	O
니퍼트	니퍼트	NNP	B-PER
도	도	JX	O
_	_	_	O
“	“	SS	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
시즌	시즌	NNG	O
처럼	처럼	JKB	O
만	만	JX	O
_	_	_	O
하	하	VV	O
면	면	EC	O
_	_	_	O
2017	2017	SN	B-DAT
시즌	시즌	NNG	I-DAT
에	에	JKB	O
도	도	JX	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
보일	보이+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
자신감	자신감	NNG	O
을	을	JKO	O
_	_	_	O
드러냈	드러내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 장동민 고소, KBS 쿨 FM 하차…조정치 도희 임시 DJ 맡아 최근 여성 비하성 발언으로 논란이 되며 무한도전 ‘식스맨’을 자진 하차한 장동민이 고소를 당한 것으로 알려졌다.
## <장동민:PER> 고소, <KBS 쿨 FM:POH> 하차…<조정치:PER> <도희:PER> 임시 DJ 맡아 최근 여성 비하성 발언으로 논란이 되며 <무한도전 ‘식스맨’:POH>을 자진 하차한 <장동민:PER>이 고소를 당한 것으로 알려졌다.
장동민	장동민	NNP	B-PER
_	_	_	O
고소	고소	NNG	O
,	,	SP	O
_	_	_	O
KBS	KBS	SL	B-POH
_	_	_	I-POH
쿨	쿨	NNP	I-POH
_	_	_	I-POH
FM	FM	SL	I-POH
_	_	_	O
하차	하차	NNG	O
…	…	SE	O
조정	조정	NNG	B-PER
치	치	XSN	I-PER
_	_	_	O
도희	도희	NNP	B-PER
_	_	_	O
임시	임시	NNG	O
_	_	_	O
DJ	DJ	SL	O
_	_	_	O
맡	맡	VV	O
아	아	EC	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
여성	여성	NNG	O
_	_	_	O
비하	비하	NNG	O
성	성	XSN	O
_	_	_	O
발언	발언	NNG	O
으로	으로	JKB	O
_	_	_	O
논란	논란	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
며	며	EC	O
_	_	_	O
무한도전	무한도전	NNP	B-POH
_	_	_	I-POH
‘	‘	SS	I-POH
식스	식스	NNG	I-POH
맨	맨	NNG	I-POH
’	’	SS	I-POH
을	을	JKO	O
_	_	_	O
자진	자진	NNG	O
_	_	_	O
하차한	하차하+ㄴ	VV+ETM	O
_	_	_	O
장동민	장동민	NNP	B-PER
이	이	JKS	O
_	_	_	O
고소	고소	NNG	O
를	를	JKO	O
_	_	_	O
당한	당하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 장동민이 고소를 당한 이유는 과거 인터넷 방송 팟캐스트 ‘꿈꾸는 라디오’에서 삼풍백화점 사고 생존자와 관련 언급을 했고, 당시 피해자인 A씨가 모욕감을 느꼈다며 장동민을 지난 17일 명예 훼손 등의 혐의로 동부지검에 형사고소한 것이다.
## <장동민:PER>이 고소를 당한 이유는 과거 인터넷 방송 팟캐스트 ‘<꿈꾸는 라디오:POH>’에서 <삼풍백화점 사고:POH> 생존자와 관련 언급을 했고, 당시 피해자인 <A:PER>씨가 모욕감을 느꼈다며 <장동민:PER>을 지난 <17일:DAT> 명예 훼손 등의 혐의로 <동부지검:ORG>에 형사고소한 것이다.
장동민	장동민	NNP	B-PER
이	이	JKS	O
_	_	_	O
고소	고소	NNG	O
를	를	JKO	O
_	_	_	O
당한	당하+ㄴ	VV+ETM	O
_	_	_	O
이유	이유	NNG	O
는	는	JX	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
인터넷	인터넷	NNG	O
_	_	_	O
방송	방송	NNG	O
_	_	_	O
팟캐스트	팟캐스트	NNG	O
_	_	_	O
‘	‘	SS	O
꿈꾸	꿈꾸	VV	B-POH
는	는	ETM	I-POH
_	_	_	I-POH
라디오	라디오	NNG	I-POH
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
삼풍백화점	삼풍백화점	NNP	B-POH
_	_	_	I-POH
사고	사고	NNG	I-POH
_	_	_	O
생존자	생존자	NNG	O
와	와	JKB	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
언급	언급	NNG	O
을	을	JKO	O
_	_	_	O
했	+었	+EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
피해자	피해자	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
A	A	SL	B-PER
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
모욕감	모욕감	NNG	O
을	을	JKO	O
_	_	_	O
느	느끼	VV	O
꼈	었	EP	O
다며	다며	EC	O
_	_	_	O
장동민	장동민	NNP	B-PER
을	을	JKO	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
17	17	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
명예	명예	NNG	O
_	_	_	O
훼손	훼손	NNG	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
혐의	혐의	NNG	O
로	로	JKB	O
_	_	_	O
동부	동부	NNP	B-ORG
지검	지검	NNG	I-ORG
에	에	JKB	O
_	_	_	O
형사	형사	NNG	O
고소	고소	NNG	O
한	한	NNP	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 앞서 장동민은 ‘꿈꾸는 라디오’를 통해 오줌을 먹는 동호회를 언급하던 가운데 “삼풍백화점이 무너졌을 때 뭐 21일 만에 구출된 여자도 다 오줌 먹고 살았다”며 “창시자야”라는 발언을 했었던 것으로 알려졌다.
## 앞서 <장동민:PER>은 ‘<꿈꾸는 라디오:POH>’를 통해 오줌을 먹는 동호회를 언급하던 가운데 “<삼풍백화점:LOC>이 무너졌을 때 뭐 <21일:DAT> 만에 구출된 여자도 다 오줌 먹고 살았다”며 “창시자야”라는 발언을 했었던 것으로 알려졌다.
앞서	앞서	MAG	O
_	_	_	O
장동민	장동민	NNP	B-PER
은	은	JX	O
_	_	_	O
‘	‘	SS	O
꿈꾸	꿈꾸	VV	B-POH
는	는	ETM	I-POH
_	_	_	I-POH
라디오	라디오	NNG	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
오줌	오줌	NNG	O
을	을	JKO	O
_	_	_	O
먹	먹	VV	O
는	는	ETM	O
_	_	_	O
동호회	동호회	NNG	O
를	를	JKO	O
_	_	_	O
언급하	언급하	VV	O
던	던	ETM	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
“	“	SS	O
삼풍백화점	삼풍백화점	NNP	B-LOC
이	이	JKS	O
_	_	_	O
무너	무너지	VV	O
졌	었	EP	O
을	을	ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
뭐	뭐	NP	O
_	_	_	O
21	21	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
구출된	구출되+ㄴ	VV+ETM	O
_	_	_	O
여자	여자	NNG	O
도	도	JX	O
_	_	_	O
다	다	MAG	O
_	_	_	O
오줌	오줌	NNG	O
_	_	_	O
먹	먹	VV	O
고	고	EC	O
_	_	_	O
살	살	VV	O
았	았	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
창시자	창시자	NNG	O
야	야	JX	O
”	”+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
발언	발언	NNG	O
을	을	JKO	O
_	_	_	O
했었	+였었	+EP	O
던	던	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
