## 1
## 20명의 인질이 숨진 1일 저녁 방글라데시 수도 다카 고급 식당 ‘홀리 아티잔 베이커리’. 7명의 테러범은 침착하게 인질 중에 무슬림과 비무슬림을 솎아내기 시작했다.
## <20명:NOH>의 인질이 숨진 <1일:DAT> 저녁 <방글라데시:LOC> 수도 <다카:LOC> 고급 식당 ‘<홀리 아티잔 베이커리:LOC>’. <7명:NOH>의 테러범은 침착하게 인질 중에 무슬림과 비무슬림을 솎아내기 시작했다.
20	20	SN	B-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
인질	인질	NNG	O
이	이	JKC	O
_	_	_	O
숨진	숨지+ㄴ	VV+ETM	O
_	_	_	O
1	1	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
저녁	저녁	NNG	O
_	_	_	O
방글라데시	방글라데시	NNP	B-LOC
_	_	_	O
수도	수도	NNG	O
_	_	_	O
다카	다카	NNP	B-LOC
_	_	_	O
고급	고급	NNG	O
_	_	_	O
식당	식당	NNG	O
_	_	_	O
‘	‘	SS	O
홀리	홀리	NNG	B-LOC
_	_	_	I-LOC
아티잔	아티잔	NNP	I-LOC
_	_	_	I-LOC
베이커리	베이커리	NNG	I-LOC
’	’	SS	O
.	.	SF	O
_	_	_	O
7	7	SN	B-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
테러	테러	NNG	O
범	범	XSN	O
은	은	JX	O
_	_	_	O
침착하	침착하	VA	O
게	게	EC	O
_	_	_	O
인질	인질	NNG	O
_	_	_	O
중	중	NNB	O
에	에	JKB	O
_	_	_	O
무슬림	무슬림	NNG	O
과	과	JC	O
_	_	_	O
비	비	XPN	O
무슬림	무슬림	NNG	O
을	을	JKO	O
_	_	_	O
솎	솎	VV	O
아	아	EC	O
내	내	VX	O
기	기	ETN	O
_	_	_	O
시작	시작하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 더불어민주당은 △지방재정 및 분권특별위원장 김진표 의원 △민생경제특별위원장 김상희 의원 △남북관계개선특별위원장 이춘석 의원으로 정해졌다.
## <더불어민주당:ORG>은 △지방재정 및 분권특별위원장 <김진표:PER> 의원 △민생경제특별위원장 <김상희:PER> 의원 △남북관계개선특별위원장 <이춘석:PER> 의원으로 정해졌다.
더불	더불	VV	B-ORG
어	어	EC	I-ORG
민주당	민주당	NNP	I-ORG
은	은	JX	O
_	_	_	O
△	△	SW	O
지방	지방	NNG	O
재정	재정	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
분권	분권	NNG	O
특별	특별	NNG	O
위원장	위원장	NNG	O
_	_	_	O
김진표	김진표	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
_	_	_	O
△	△	SW	O
민생	민생	NNG	O
경제	경제	NNG	O
특별	특별	NNG	O
위원장	위원장	NNG	O
_	_	_	O
김상희	김상희	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
_	_	_	O
△	△	SW	O
남북	남북	NNP	O
관계	관계	NNG	O
개선	개선	NNG	O
특별	특별	NNG	O
위원장	위원장	NNG	O
_	_	_	O
이춘석	이춘석	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
으로	으로	JKB	O
_	_	_	O
정해	정하	VV	O
졌	여+지+었	EC+VX+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이는 피트 마이클(은퇴)이 뛰었던 2006~2007시즌의 오리온스(현 오리온)를 연상케 한다.
