## 1
## 공정거래위원회는 한국가스공사가 2005~2012년 발주한 경남 통영, 경기 평택, 강원 삼척 LNG 생산기지 저장탱크 공사 입찰 과정에서 담합한 13개 건설사에 과징금 3516억 원을 부과하고 검찰에 고발하기로 했다고 26일 밝혔다.
## <공정거래위원회:ORG>는 <한국가스공사:ORG>가 <2005~2012년:DUR> 발주한 <경남 통영:LOC>, <경기 평택:LOC>, <강원 삼척:LOC> LNG 생산기지 저장탱크 공사 입찰 과정에서 담합한 <13개:NOH> 건설사에 과징금 <3516억 원:MNY>을 부과하고 검찰에 고발하기로 했다고 <26일:DAT> 밝혔다.
공정	공정	NNG	B-ORG
거래	거래	NNG	I-ORG
위원회	위원회	NNG	I-ORG
는	는	JX	O
_	_	_	O
한국가스공사	한국가스공사	NNP	B-ORG
가	가	JKS	O
_	_	_	O
2005	2005	SN	B-DUR
~	~	SO	I-DUR
2012	2012	SN	I-DUR
년	년	NNB	I-DUR
_	_	_	O
발주한	발주하+ㄴ	VV+ETM	O
_	_	_	O
경남	경남	NNP	B-LOC
_	_	_	I-LOC
통영	통영	NNP	I-LOC
,	,	SP	O
_	_	_	O
경기	경기	NNP	B-LOC
_	_	_	I-LOC
평택	평택	NNP	I-LOC
,	,	SP	O
_	_	_	O
강원	강원	NNP	B-LOC
_	_	_	I-LOC
삼척	삼척	NNP	I-LOC
_	_	_	O
LNG	LNG	SL	O
_	_	_	O
생산	생산	NNG	O
기지	기지	NNG	O
_	_	_	O
저장	저장	NNG	O
탱크	탱크	NNG	O
_	_	_	O
공사	공사	NNG	O
_	_	_	O
입찰	입찰	NNG	O
_	_	_	O
과정	과정	NNG	O
에서	에서	JKB	O
_	_	_	O
담합한	담합하+ㄴ	VV+ETM	O
_	_	_	O
13	13	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
건설	건설	NNG	O
사	사	XSN	O
에	에	JKB	O
_	_	_	O
과징금	과징금	NNG	O
_	_	_	O
3516	3516	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
부과하	부과하	VV	O
고	고	EC	O
_	_	_	O
검찰	검찰	NNG	O
에	에	JKB	O
_	_	_	O
고발하	고발하	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
했	+였	+EP	O
다고	다고	EC	O
_	_	_	O
26	26	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 홋카이도는 삿포로·하코다테 지역의 라멘이 유명하다.
## <홋카이도:LOC>는 <삿포로:LOC>·<하코다테:LOC> 지역의 라멘이 유명하다.
홋카이도	홋카이도	NNP	B-LOC
는	는	JX	O
_	_	_	O
삿포로	삿포로	NNP	B-LOC
·	·	SP	O
하코다테	하코다테	NNP	B-LOC
_	_	_	O
지역	지역	NNG	O
의	의	JKG	O
_	_	_	O
라멘	라멘	NNG	O
이	이	JKS	O
_	_	_	O
유명하	유명하	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 가수 해리 벨러폰테, 작곡가 거슈윈, 작가 잭런던, 화가 모딜리아니, 작가 사로얀도 모두 고등학교 중퇴자이다.
## 가수 <해리 벨러폰테:PER>, 작곡가 <거슈윈:PER>, 작가 <잭런던:PER>, 화가 <모딜리아니:PER>, 작가 <사로얀:PER>도 모두 고등학교 중퇴자이다.
가수	가수	NNG	O
_	_	_	O
해리	해리	NNP	B-PER
_	_	_	I-PER
벨러폰테	벨러폰테	NNP	I-PER
,	,	SP	O
_	_	_	O
작곡가	작곡가	NNG	O
_	_	_	O
거슈윈	거슈윈	NNP	B-PER
,	,	SP	O
_	_	_	O
작가	작가	NNG	O
_	_	_	O
잭	잭	NNP	B-PER
런던	런던	NNP	I-PER
,	,	SP	O
_	_	_	O
화	화	NNG	O
가	가	JKS	O
_	_	_	O
모딜리아니	모딜리아니	NNP	B-PER
,	,	SP	O
_	_	_	O
작가	작가	NNG	O
_	_	_	O
사로얀	사로얀	NNP	B-PER
도	도	JX	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
고등학교	고등학교	NNG	O
_	_	_	O
중퇴	중퇴	NNG	O
자	자	XSN	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
