## 1
## 같은 날 여자부 매스스타트에서 8분 17초 66으로 은메달을 딴 김보름(23·강원도청)도 쇼트트랙에서 전향한 선수다.
## 같은 날 여자부 매스스타트에서 <8분:NOH> <17초:NOH> <66:NOH>으로 은메달을 딴 <김보름:PER>(<23:NOH>·<강원도청:ORG>)도 쇼트트랙에서 전향한 선수다.
같	같	VA	O
은	은	ETM	O
_	_	_	O
날	날	NNG	O
_	_	_	O
여자	여자	NNG	O
부	부	XSN	O
_	_	_	O
매스	매스	NNG	O
스타트	스타트	NNG	O
에서	에서	JKB	O
_	_	_	O
8	8	SN	B-NOH
분	분	NNB	I-NOH
_	_	_	O
17	17	SN	B-NOH
초	초	NNB	I-NOH
_	_	_	O
66	66	SN	B-NOH
으로	으로	JKB	O
_	_	_	O
은메달	은메달	NNG	O
을	을	JKO	O
_	_	_	O
딴	따+ㄴ	VV+ETM	O
_	_	_	O
김보름	김보름	NNP	B-PER
(	(	SS	O
23	23	SN	B-NOH
·	·	SP	O
강원도청	강원도청	NNP	B-ORG
)	)	SS	O
도	도	JX	O
_	_	_	O
쇼트트랙	쇼트트랙	NNG	O
에서	에서	JKB	O
_	_	_	O
전향한	전향하+ㄴ	VV+ETM	O
_	_	_	O
선수	선수+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 그는 또 '출소하고 나서도 박 대통령이 퇴임을 해도 모실 것이냐'고 묻자 "운명이라고 생각하고 모실 것"이라고 답했다.
## 그는 또 '출소하고 나서도 <박:PER> 대통령이 퇴임을 해도 모실 것이냐'고 묻자 "운명이라고 생각하고 모실 것"이라고 답했다.
그	그	NP	O
는	는	JX	O
_	_	_	O
또	또	MAG	O
_	_	_	O
'	'	SS	O
출소하	출소하	VV	O
고	고	EC	O
_	_	_	O
나서	나+아서	VX+EC	O
도	도	JX	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
퇴임	퇴임	NNG	O
을	을	JKO	O
_	_	_	O
해도	하+여도	VV+EC	O
_	_	_	O
모실	모시+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
냐	냐	EF	O
'	'	SS	O
고	고	JKQ	O
_	_	_	O
묻	묻	VV	O
자	자	EC	O
_	_	_	O
"	"	SS	O
운명	운명	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
생각하	생각하	VV	O
고	고	EC	O
_	_	_	O
모실	모시+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
"	"	SS	O
이라고	이라고	JKQ	O
_	_	_	O
답	답하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 그는 또 박 대통령의 세월호 참사 전후 미용시술 의혹에 대해서는 "말할 수 없다"고 답변을 거부했다.
## 그는 또 <박:PER> 대통령의 <세월호 참사:POH> 전후 미용시술 의혹에 대해서는 "말할 수 없다"고 답변을 거부했다.
그	그	NP	O
는	는	JX	O
_	_	_	O
또	또	MAG	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
세월호	세월호	NNP	B-POH
_	_	_	I-POH
참사	참사	NNG	I-POH
_	_	_	O
전후	전후	NNG	O
_	_	_	O
미용	미용	NNG	O
시술	시술	NNG	O
_	_	_	O
의혹	의혹	NNG	O
에	에	JKB	O
_	_	_	O
대해서	대하+여서	VV+EC	O
는	는	JX	O
_	_	_	O
"	"	SS	O
말할	말하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
답변	답변	NNG	O
을	을	JKO	O
_	_	_	O
거부	거부하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 이용주 국민의당 의원은 " "정 전 비서관은 억울해하는 부분에 대해서는 적극적으로 말하면서도 멍자국의 존재, 미용 시술의 존재 등에 대해 그런 사실이 있었는지, 알고 있었는지에 대해 '대답할 수 없다'는 취지로 말해 소극적으로 시인했다"고 전했다.
## <이용주:PER> <국민의당:ORG> 의원은 " "<정:PER> 전 비서관은 억울해하는 부분에 대해서는 적극적으로 말하면서도 멍자국의 존재, 미용 시술의 존재 등에 대해 그런 사실이 있었는지, 알고 있었는지에 대해 '대답할 수 없다'는 취지로 말해 소극적으로 시인했다"고 전했다.
이용주	이용주	NNP	B-PER
_	_	_	O
국민	국민	NNG	B-ORG
의당	의당	MAG	I-ORG
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
"	"	SS	O
_	_	_	O
