## 1
## 방송인 김기수가 과거 지인에게 배신 당한 전말을 털어놓는다.
## 방송인 <김기수:PER>가 과거 지인에게 배신 당한 전말을 털어놓는다.
방송인	방송인	NNG	O
_	_	_	O
김기수	김기수	NNP	B-PER
가	가	JKS	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
지인	지인	NNG	O
에게	에게	JKB	O
_	_	_	O
배신	배신	NNG	O
_	_	_	O
당한	당하+ㄴ	VV+ETM	O
_	_	_	O
전말	전말	NNG	O
을	을	JKO	O
_	_	_	O
털어놓	털어놓	VV	O
는다	는다	EF	O
.	.	SF	O

## 2
## 4일 방송되는 SBS플러스 ‘내 말 좀 들어줘’에는 최근 뷰티크리에이터로 거듭나며 제2의 전성기를 펼치고 있는 김기수가 출연해 굴곡진 인생사를 밝힌다.
## <4일:DAT> 방송되는 <SBS플러스:POH> ‘<내 말 좀 들어줘:POH>’에는 최근 뷰티크리에이터로 거듭나며 <제2:NOH>의 전성기를 펼치고 있는 <김기수:PER>가 출연해 굴곡진 인생사를 밝힌다.
4	4	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
방송되	방송되	VV	O
는	는	ETM	O
_	_	_	O
SBS	SBS	SL	B-POH
플러스	플러스	NNG	I-POH
_	_	_	O
‘	‘	SS	O
내	나+의	NP+JKG	B-POH
_	_	_	I-POH
말	말	NNG	I-POH
_	_	_	I-POH
좀	좀	MAG	I-POH
_	_	_	I-POH
들	듣	VV	I-POH
어	어	EC	I-POH
줘	주+어	VX+EF	I-POH
’	’	SS	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
뷰티	뷰티	NNG	O
크리에이터	크리에이터	NNG	O
로	로	JKB	O
_	_	_	O
거듭나	거듭나	VV	O
며	며	EC	O
_	_	_	O
제	제	XPN	B-NOH
2	2	SN	I-NOH
의	의	JKG	O
_	_	_	O
전성기	전성기	NNG	O
를	를	JKO	O
_	_	_	O
펼치	펼치	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
김기수	김기수	NNP	B-PER
가	가	JKS	O
_	_	_	O
출연해	출연하+여	VV+EC	O
_	_	_	O
굴곡진	굴곡지+ㄴ	VA+ETM	O
_	_	_	O
인생	인생	NNG	O
사	사	XSN	O
를	를	JKO	O
_	_	_	O
밝힌다	밝히+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 김기수는 “이런 얘기를 여기서 하는 게 더러웠던 과거를 들춰내는 것 같아 기분이 좋지 않지만 내가 시원해지려고 얘기를 꺼낼까 한다”고 말문을 연다.
## <김기수:PER>는 “이런 얘기를 여기서 하는 게 더러웠던 과거를 들춰내는 것 같아 기분이 좋지 않지만 내가 시원해지려고 얘기를 꺼낼까 한다”고 말문을 연다.
김기수	김기수	NNP	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
이런	이런	MM	O
_	_	_	O
얘기	얘기	NNG	O
를	를	JKO	O
_	_	_	O
여기	여기	NP	O
서	서	JKB	O
_	_	_	O
하	하	VV	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
더러	더럽	VA	O
웠	었	EP	O
던	던	ETM	O
_	_	_	O
과거	과거	NNG	O
를	를	JKO	O
_	_	_	O
들춰내	들춰내	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
같	같	VA	O
아	아	EC	O
_	_	_	O
기분	기분	NNG	O
이	이	JKS	O
_	_	_	O
좋	좋	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
지만	지만	EC	O
_	_	_	O
내	내	NP	O
가	가	JKS	O
_	_	_	O
시원해	시원하+여	VA+EC	O
지	지	VX	O
려고	려고	EC	O
_	_	_	O
얘기	얘기	NNG	O
를	를	JKO	O
_	_	_	O
꺼낼까	꺼내+ㄹ까	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말문	말문	NNG	O
을	을	JKO	O
_	_	_	O
연다	열+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 전 교수는 “우리나라는 명절에 친가에 모이는 문화가 있다”면서 “외가보다 친가 친척과 오랜 시간을 보내는 문화가 영향을 미친 것”이라고 말했다.
## <전:PER> 교수는 “우리나라는 명절에 친가에 모이는 문화가 있다”면서 “외가보다 친가 친척과 오랜 시간을 보내는 문화가 영향을 미친 것”이라고 말했다.
전	전	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
우리나라	우리나라	NNG	O
는	는	JX	O
_	_	_	O
명절	명절	NNG	O
에	에	JKB	O
_	_	_	O
친가	친가	NNG	O
에	에	JKB	O
_	_	_	O
모이	모이	VV	O
는	는	ETM	O
_	_	_	O
문화	문화	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
외가	외가	NNG	O
보다	보다	JKB	O
_	_	_	O
친가	친가	NNG	O
_	_	_	O
친척	친척	NNG	O
과	과	JC	O
_	_	_	O
오랜	오랜	MM	O
_	_	_	O
시간	시간	NNG	O
을	을	JKO	O
_	_	_	O
보내	보내	VV	O
는	는	ETM	O
_	_	_	O
문화	문화	NNG	O
가	가	JKS	O
_	_	_	O
영향	영향	NNG	O
을	을	JKO	O
_	_	_	O
미친	미치+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 21일 열린 ‘2017년 과학ㆍ정보통신의 날 기념식’에서 미래창조과학부 최양희 장관이 1965년 이정문(76) 화백이 발표한 ‘서기 2000년대 생활의 이모저모’를 언급했다.
## <21일:DAT> 열린 <‘2017년 과학ㆍ정보통신의 날 기념식:POH>’에서 <미래창조과학부:ORG> <최양희:PER> 장관이 <1965년:DAT> <이정문:PER>(<76):NOH> 화백이 발표한 ‘<서기 2000년대 생활의 이모저모:POH>’를 언급했다.
21	21	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	B-POH
2017	2017	SN	I-POH
년	년	NNB	I-POH
_	_	_	I-POH
과학	과학	NNG	I-POH
ㆍ	ㆍ	SP	I-POH
정보	정보	NNG	I-POH
통신	통신	NNG	I-POH
의	의	JKG	I-POH
_	_	_	I-POH
날	날	NNG	I-POH
_	_	_	I-POH
기념식	기념식	NNG	I-POH
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
미래	미래	NNG	B-ORG
창조	창조	NNG	I-ORG
과학	과학	NNG	I-ORG
부	부	XSN	I-ORG
_	_	_	O
최양희	최양희	NNP	B-PER
_	_	_	O
장관	장관	NNG	O
이	이	JKS	O
_	_	_	O
1965	1965	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
이정문	이정문	NNP	B-PER
(	(	SS	O
76	76	SN	B-NOH
)	)	SS	I-NOH
_	_	_	O
화백	화백	NNG	O
이	이	JKS	O
_	_	_	O
발표한	발표하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
서기	서기	NNG	B-POH
_	_	_	I-POH
2000	2000	SN	I-POH
년대	년대	NNB	I-POH
_	_	_	I-POH
생활	생활	NNG	I-POH
의	의	JKG	I-POH
_	_	_	I-POH
이모저모	이모저모	NNG	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
언급	언급하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 가톨릭대가 전국 고교생을 대상으로 진행하는 전공 체험 행사가 큰 호응을 얻고 있다.
## <가톨릭대:ORG>가 전국 고교생을 대상으로 진행하는 전공 체험 행사가 큰 호응을 얻고 있다.
가톨릭대	가톨릭대	NNP	B-ORG
가	가	JKS	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
고교생	고교생	NNG	O
을	을	JKO	O
_	_	_	O
대상	대상	NNG	O
으로	으로	JKB	O
_	_	_	O
진행하	진행하	VV	O
는	는	ETM	O
_	_	_	O
전공	전공	NNG	O
_	_	_	O
체험	체험	NNG	O
_	_	_	O
행사	행사	NNG	O
가	가	JKS	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
호응	호응	NNG	O
을	을	JKO	O
_	_	_	O
얻	얻	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 7
## 영국 가디언은 “5000여 명의 이재민이 발생했다”고 전했다.
## <영국:ORG> <가디언:POH>은 “<5000여 명:NOH>의 이재민이 발생했다”고 전했다.
영국	영국	NNP	B-ORG
_	_	_	O
가디언	가디언	NNP	B-POH
은	은	JX	O
_	_	_	O
“	“	SS	O
5000	5000	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
이재민	이재민	NNG	O
이	이	JKS	O
_	_	_	O
발생	발생하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 보아의 SNS를 종종 방문했던 팬이라면 그의 취미가 골프라는 사실은 알고 있을 터. 박인비의 깜짝 초대에 보아는 “실제로 만나니 너무나 매력적이고 아름다운 그녀”라며 “영광이다”고 인사를 남겼다.
## <보아:PER>의 SNS를 종종 방문했던 팬이라면 그의 취미가 골프라는 사실은 알고 있을 터. <박인비:PER>의 깜짝 초대에 <보아:PER>는 “실제로 만나니 너무나 매력적이고 아름다운 그녀”라며 “영광이다”고 인사를 남겼다.
보아	보아	NNP	B-PER
의	의	JKG	O
_	_	_	O
SNS	SNS	SL	O
를	를	JKO	O
_	_	_	O
종종	종종	MAG	O
