## 1
## 물론 이들 모두가 리우로 향하는 것은 아니다.
## 물론 이들 모두가 <리우:LOC>로 향하는 것은 아니다.
물론	물론	MAG	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
_	_	_	O
모두	모두	NNG	O
가	가	JKS	O
_	_	_	O
리우	리우	NNP	B-LOC
로	로	JKB	O
_	_	_	O
향하	향하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
아니	아니	VCN	O
다	다	EF	O
.	.	SF	O

## 2
## 첨단 건축 공법 총망라 수직 도시를 향한 인간의 도전은 언제까지 지속될까. 하늘을 찌르며 스카이라인을 바꾸는 초고층 빌딩 건설에 한국 기업의 발걸음이 당차다.
## 첨단 건축 공법 총망라 수직 도시를 향한 인간의 도전은 언제까지 지속될까. 하늘을 찌르며 스카이라인을 바꾸는 초고층 빌딩 건설에 <한국:ORG> 기업의 발걸음이 당차다.
첨단	첨단	NNG	O
_	_	_	O
건축	건축	NNG	O
_	_	_	O
공법	공법	NNG	O
_	_	_	O
총망라	총망라	NNG	O
_	_	_	O
수직	수직	NNG	O
_	_	_	O
도시	도시	NNG	O
를	를	JKO	O
_	_	_	O
향한	향하+ㄴ	VV+ETM	O
_	_	_	O
인간	인간	NNG	O
의	의	JKG	O
_	_	_	O
도전	도전	NNG	O
은	은	JX	O
_	_	_	O
언제	언제	NP	O
까지	까지	JX	O
_	_	_	O
지속될까	지속되+ㄹ까	VV+EF	O
.	.	SF	O
_	_	_	O
하늘	하늘	NNG	O
을	을	JKO	O
_	_	_	O
찌르	찌르	VV	O
며	며	EC	O
_	_	_	O
스카이라인	스카이라인	NNG	O
을	을	JKO	O
_	_	_	O
바꾸	바꾸	VV	O
는	는	ETM	O
_	_	_	O
초고층	초고층	NNG	O
_	_	_	O
빌딩	빌딩	NNG	O
_	_	_	O
건설	건설	NNG	O
에	에	JKB	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
기업	기업	NNG	O
의	의	JKG	O
_	_	_	O
발걸음	발걸음	NNG	O
이	이	JKS	O
_	_	_	O
당차	당차	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 현역 시절 신 감독도 뛰어난 리더십을 갖춘 주장으로 활약한 바 있어 연제민이 올림픽대표팀에서도 많은 사랑을 받고 있음을 알 수 있다.
## 현역 시절 <신:PER> 감독도 뛰어난 리더십을 갖춘 주장으로 활약한 바 있어 <연제민:PER>이 올림픽대표팀에서도 많은 사랑을 받고 있음을 알 수 있다.
현역	현역	NNG	O
_	_	_	O
시절	시절	NNG	O
_	_	_	O
신	신	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
도	도	JX	O
_	_	_	O
뛰어난	뛰어나+ㄴ	VA+ETM	O
_	_	_	O
리더십	리더십	NNG	O
을	을	JKO	O
_	_	_	O
갖춘	갖추+ㄴ	VV+ETM	O
_	_	_	O
주장	주장	NNG	O
으로	으로	JKB	O
_	_	_	O
활약한	활약하+ㄴ	VV+ETM	O
_	_	_	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
어	어	EC	O
_	_	_	O
연제민	연제민	NNP	B-PER
이	이	JKS	O
_	_	_	O
올림픽	올림픽	NNG	O
대표	대표	NNG	O
팀	팀	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
사랑	사랑	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
음	음	ETN	O
을	을	JKO	O
_	_	_	O
알	알+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 4
