## 1
## 김수한 고려대 사회학과 교수는 “현대사회는 사람에게 ‘완벽’을 요구한다.
## <김수한:PER> <고려대:ORG> 사회학과 교수는 “현대사회는 사람에게 ‘완벽’을 요구한다.
김수한	김수한	NNP	B-PER
_	_	_	O
고려대	고려대	NNP	B-ORG
_	_	_	O
사회학	사회학	NNG	O
과	과	NNG	O
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
현대	현대	NNG	O
사회	사회	NNG	O
는	는	JX	O
_	_	_	O
사람	사람	NNG	O
에게	에게	JKB	O
_	_	_	O
‘	‘	SS	O
완벽	완벽	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
요구한다	요구하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## ▷트럼프가 강력한 미국의 부활을 기대하는 공화당 유권자들과 백인 주류 계층을 노린 정책을 내세워 인기를 얻고 있다는 분석이 있기는 하다.
## ▷<트럼프:PER>가 강력한 <미국:ORG>의 부활을 기대하는 <공화당:ORG> 유권자들과 백인 주류 계층을 노린 정책을 내세워 인기를 얻고 있다는 분석이 있기는 하다.
▷	▷	SW	O
트럼프	트럼프	NNP	B-PER
가	가	JKS	O
_	_	_	O
강력한	강력하+ㄴ	VA+ETM	O
_	_	_	O
미국	미국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
부활	부활	NNG	O
을	을	JKO	O
_	_	_	O
기대하	기대하	VV	O
는	는	ETM	O
_	_	_	O
공화당	공화당	NNP	B-ORG
_	_	_	O
유권자	유권자	NNG	O
들	들	XSN	O
과	과	JC	O
_	_	_	O
백인	백인	NNG	O
_	_	_	O
주류	주류	NNG	O
_	_	_	O
계층	계층	NNG	O
을	을	JKO	O
_	_	_	O
노린	노리+ㄴ	VV+ETM	O
_	_	_	O
정책	정책	NNG	O
을	을	JKO	O
_	_	_	O
내세	내세우	VV	O
워	어	EC	O
_	_	_	O
인기	인기	NNG	O
를	를	JKO	O
_	_	_	O
얻	얻	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다는	다는	ETM	O
_	_	_	O
분석	분석	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
기	기	ETN	O
는	는	JX	O
_	_	_	O
하	하	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 그 이후로도 두어 번 더 점심을 먹을 기회가 있었는데 뵐 때마다 기합소리의 음량은 줄고 있었지만 대신 마음의 여유가 커지는 모습이 ‘참 멋진 노후’라는 생각을 갖게 했다.
## 그 이후로도 <두어 번:NOH> 더 점심을 먹을 기회가 있었는데 뵐 때마다 기합소리의 음량은 줄고 있었지만 대신 마음의 여유가 커지는 모습이 ‘참 멋진 노후’라는 생각을 갖게 했다.
그	그	MM	O
_	_	_	O
이후	이후	NNG	O
로	로	JKB	O
도	도	JX	O
_	_	_	O
두어	두어	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
_	_	_	O
더	더	MAG	O
_	_	_	O
점심	점심	NNG	O
을	을	JKO	O
_	_	_	O
먹	먹	VV	O
을	을	ETM	O
_	_	_	O
기회	기회	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
었	었	EP	O
는데	는데	EC	O
_	_	_	O
뵐	뵈+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
마다	마다	JX	O
_	_	_	O
기합	기합	NNG	O
소리	소리	NNG	O
의	의	JKG	O
_	_	_	O
음량	음량	NNG	O
은	은	JX	O
_	_	_	O
줄	줄	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
지만	지만	EC	O
_	_	_	O
대신	대신	NNG	O
_	_	_	O
마음	마음	NNG	O
