## 1
## 『앞으로 닥칠 미래가 있는데 인간이 이미 기계 같은 삶을 살고 있다면, 기계한테 100% 집니다.
## 『앞으로 닥칠 미래가 있는데 인간이 이미 기계 같은 삶을 살고 있다면, 기계한테 <100%:PNT> 집니다.
『	『	SS	O
앞	앞	NNG	O
으로	으로	JKB	O
_	_	_	O
닥칠	닥치+ㄹ	VV+ETM	O
_	_	_	O
미래	미래	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
는데	는데	EC	O
_	_	_	O
인간	인간	NNG	O
이	이	JKS	O
_	_	_	O
이미	이미	MAG	O
_	_	_	O
기계	기계	NNG	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
삶	삶	NNG	O
을	을	JKO	O
_	_	_	O
살	살	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다면	다면	EC	O
,	,	SP	O
_	_	_	O
기계	기계	NNG	O
한테	한테	JKB	O
_	_	_	O
100	100	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
집니다	지+ㅂ니다	VV+EF	O
.	.	SF	O

## 2
## 재건축 아파트 역시 호가가 오르며 매매 가격이 0.18% 상승했다.
## 재건축 아파트 역시 호가가 오르며 매매 가격이 <0.18%:PNT> 상승했다.
재건축	재건축	NNG	O
_	_	_	O
아파트	아파트	NNG	O
_	_	_	O
역시	역시	MAG	O
_	_	_	O
호가	호가	NNG	O
가	가	JKS	O
_	_	_	O
오르	오르	VV	O
며	며	EC	O
_	_	_	O
매매	매매	NNG	O
_	_	_	O
가격	가격	NNG	O
이	이	JKS	O
_	_	_	O
0.18	0.18	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
상승	상승하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 회사 관계자는 “몬테소리 수학 원리와 최신 초등 수학 교과 과정이 반영된 초등 수학이 조합돼 감각적이고 체계적인 수학 프로그램을 완성했다”면서 “41년의 노하우로 전문화된 홈스쿨 교사의 수업으로 아이들의 수학 능력을 키워 줄 것”이라고 말했다.
## 회사 관계자는 “<몬테소리:PER> 수학 원리와 최신 초등 수학 교과 과정이 반영된 초등 수학이 조합돼 감각적이고 체계적인 수학 프로그램을 완성했다”면서 “<41년:NOH>의 노하우로 전문화된 홈스쿨 교사의 수업으로 아이들의 수학 능력을 키워 줄 것”이라고 말했다.
회사	회사	NNG	O
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
몬테소리	몬테소리	NNP	B-PER
_	_	_	O
수학	수학	NNG	O
_	_	_	O
원리	원리	NNG	O
와	와	JC	O
_	_	_	O
최신	최신	NNG	O
_	_	_	O
초등	초등	NNG	O
_	_	_	O
수학	수학	NNG	O
_	_	_	O
교과	교과	NNG	O
_	_	_	O
과정	과정	NNG	O
이	이	JKS	O
_	_	_	O
반영된	반영되+ㄴ	VV+ETM	O
_	_	_	O
초등	초등	NNG	O
_	_	_	O
수학	수학	NNG	O
이	이	JKS	O
_	_	_	O
조합돼	조합되+어	VV+EC	O
_	_	_	O
감각적	감각적	NNG	O
이	이	VCP	O
고	고	EC	O
_	_	_	O
체계적	체계적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
수학	수학	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
을	을	JKO	O
_	_	_	O
완성	완성하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
41	41	SN	B-NOH
년	년	NNB	I-NOH
의	의	JKG	O
_	_	_	O
노하우	노하우	NNG	O
로	로	JKB	O
_	_	_	O
전문화된	전문화되+ㄴ	VV+ETM	O
_	_	_	O
홈스쿨	홈스쿨	NNG	O
_	_	_	O
교사	교사	NNG	O
의	의	JKG	O
_	_	_	O
수업	수업	NNG	O
으로	으로	JKB	O
_	_	_	O
아이	아이	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
수학	수학	NNG	O
_	_	_	O
능력	능력	NNG	O
을	을	JKO	O
_	_	_	O
키	키우	VV	O
워	어	EC	O
_	_	_	O
줄	주+ㄹ	VX+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## ‘신축 10년 이내+소형+중저가’ 조건을 맞출 경우 공실을 최소화할 수 있다.
## ‘신축 <10년:NOH> 이내+소형+중저가’ 조건을 맞출 경우 공실을 최소화할 수 있다.
‘	‘	SS	O
신축	신축	NNG	O
_	_	_	O
10	10	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
이내+	이내++	NNG+SW	O
소형+	소형++	NNG+SW	O
중저가	중저가	NNG	O
’	’	SS	O
_	_	_	O
조건	조건	NNG	O
을	을	JKO	O
_	_	_	O
맞출	맞추+ㄹ	VV+ETM	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
공실	공실	NNG	O
을	을	JKO	O
_	_	_	O
최소화할	최소화하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 아이빌스튜디오(대표 이선재)는 중요한 기념일을 챙겨주는 애플 아이폰용 어플리케이션 '더데이 비포(The Day Before)'를 출시한다고 12일 밝혔다.
## <아이빌스튜디오:ORG>(대표 <이선재:PER>)는 중요한 기념일을 챙겨주는 애플 아이폰용 어플리케이션 '<더데이 비포:POH>(<The Day Before:POH>)'를 출시한다고 <12일:DAT> 밝혔다.
아이빌	아이빌	NNP	B-ORG
스튜디오	스튜디오	NNG	I-ORG
(	(	SS	O
대표	대표	NNG	O
_	_	_	O
이선재	이선재	NNP	B-PER
)	)	SS	O
는	는	JX	O
_	_	_	O
중요한	중요하+ㄴ	VA+ETM	O
_	_	_	O
기념일	기념일	NNG	O
을	을	JKO	O
_	_	_	O
챙겨	챙기+어	VV+EC	O
주	주	VX	O
는	는	ETM	O
_	_	_	O
애플	애플	NNP	O
_	_	_	O
아이폰	아이폰	NNG	O
용	용	XSN	O
_	_	_	O
어플리케이션	어플리케이션	NNG	O
_	_	_	O
'	'	SS	O
더데이	더데이	NNP	B-POH
_	_	_	I-POH
비포	비포	NNG	I-POH
(	(	SS	O
The	The	SL	B-POH
_	_	_	I-POH
Day	Day	SL	I-POH
_	_	_	I-POH
Before	Before	SL	I-POH
)	)	SS	O
'	'	SS	O
를	를	JKO	O
_	_	_	O
출시한다고	출시하+ㄴ다고	VV+EC	O
_	_	_	O
12	12	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## KOTRA는 1일 “지난달 30일 경기 고양시 킨텍스에서 열린 붐업코리아에 정보통신기술, 소재부품, 서비스 등 다양한 분야의 국내 기업 940여 곳과 해외 바이어 350여 업체가 참여했다”며 이같이 밝혔다.
## <KOTRA:ORG>는 <1일:DAT> “지난달 <30일:DAT> <경기:LOC> <고양시 킨텍스:LOC>에서 열린 <붐업코리아:POH>에 정보통신기술, 소재부품, 서비스 등 다양한 분야의 국내 기업 <940여 곳:NOH>과 해외 바이어 <350여 업체:NOH>가 참여했다”며 이같이 밝혔다.
KOTRA	KOTRA	SL	B-ORG
는	는	JX	O
_	_	_	O
1	1	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
지난달	지난달	NNG	O
_	_	_	O
30	30	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
경기	경기	NNP	B-LOC
_	_	_	O
고양시	고양시	NNP	B-LOC
_	_	_	I-LOC
킨	킨	NNP	I-LOC
텍스	텍스	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
붐	붐	NNG	B-POH
업	업	XSN	I-POH
코리아	코리아	NNP	I-POH
