## 1
## 이어 “적들이 48시간 안에 심리모략방송을 중단하지 않는 경우 심리전 수단들을 격파 사격하기 위한 군사적 행동과 있을 수 있는 적들의 반작용을 진압하기 위한 지역의 군사작전을 지휘할 지휘관들이 임명돼 해당전선으로 급파됐다”고 전했다.
## 이어 “적들이 <48시간:DUR> 안에 심리모략방송을 중단하지 않는 경우 심리전 수단들을 격파 사격하기 위한 군사적 행동과 있을 수 있는 적들의 반작용을 진압하기 위한 지역의 군사작전을 지휘할 지휘관들이 임명돼 해당전선으로 급파됐다”고 전했다.
이어	이어	MAG	O
_	_	_	O
“	“	SS	O
적	적	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
48	48	SN	B-DUR
시간	시간	NNB	I-DUR
_	_	_	O
안	안	NNG	O
에	에	JKB	O
_	_	_	O
심리	심리	NNG	O
모략	모략	NNG	O
방송	방송	NNG	O
을	을	JKO	O
_	_	_	O
중단하	중단하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
심리전	심리전	NNG	O
_	_	_	O
수단	수단	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
격파	격파	NNG	O
_	_	_	O
사격하	사격하	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
군사적	군사적	NNG	O
_	_	_	O
행동	행동	NNG	O
과	과	JC	O
_	_	_	O
있	있	VA	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
적	적	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
반작용	반작용	NNG	O
을	을	JKO	O
_	_	_	O
진압하	진압하	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
지역	지역	NNG	O
의	의	JKG	O
_	_	_	O
군사작전	군사작전	NNG	O
을	을	JKO	O
_	_	_	O
지휘할	지휘하+ㄹ	VV+ETM	O
_	_	_	O
지휘관	지휘관	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
임명돼	임명되+어	VV+EC	O
_	_	_	O
해당	해당	NNG	O
전선	전선	NNG	O
으로	으로	JKB	O
_	_	_	O
급파	급파되	VV	O
됐	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 카타르의 홈 텃세 극복할까? 카타르 내에선 자국의 우승을 기대하는 목소리가 크다.
## <카타르:ORG>의 홈 텃세 극복할까? <카타르:ORG> 내에선 자국의 우승을 기대하는 목소리가 크다.
카타르	카타르	NNP	B-ORG
의	의	JKG	O
_	_	_	O
홈	홈	NNG	O
_	_	_	O
텃세	텃세	NNG	O
_	_	_	O
극복할까	극복하+ㄹ까	VV+EF	O
?	?	SF	O
_	_	_	O
카타르	카타르	NNP	B-ORG
_	_	_	O
내	내	NNB	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
자국	자국	NNG	O
의	의	JKG	O
_	_	_	O
우승	우승	NNG	O
을	을	JKO	O
_	_	_	O
기대하	기대하	VV	O
는	는	ETM	O
_	_	_	O
목소리	목소리	NNG	O
가	가	JKS	O
_	_	_	O
크	크	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 3 밀리터리를 상징하는 카키 컬러가 여자 슈트와 만나 우아해졌다.
## <3:NOH> 밀리터리를 상징하는 카키 컬러가 여자 슈트와 만나 우아해졌다.
3	3	SN	B-NOH
_	_	_	O
밀리터리	밀리터리	NNG	O
를	를	JKO	O
_	_	_	O
상징하	상징하	VV	O
는	는	ETM	O
_	_	_	O
카키	카키	NNG	O
_	_	_	O
컬러	컬러	NNG	O
가	가	JKS	O
_	_	_	O
여자	여자	NNG	O
_	_	_	O
슈트	슈트	NNG	O
와	와	JC	O
_	_	_	O
만나	만나+아	VV+EC	O
_	_	_	O
우아해	우아하	VA	O
졌	여+지+었	EC+VX+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 요즘 물리학 분야에서 위력을 발휘하고 있는 카오스이론.
## 요즘 물리학 분야에서 위력을 발휘하고 있는 <카오스이론:POH>.
요즘	요즘	NNG	O
_	_	_	O
물리학	물리학	NNG	O
_	_	_	O
분야	분야	NNG	O
에서	에서	JKB	O
_	_	_	O
위력	위력	NNG	O
을	을	JKO	O
_	_	_	O
발휘하	발휘하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
카오스	카오스	NNG	B-POH
이론	이론	NNG	I-POH
.	.	SF	O

## 5
## 문제는 살이 아니라 셀룰라이트였어!
## 문제는 살이 아니라 <셀룰라이트:POH>였어!
문제	문제	NNG	O
는	는	JX	O
_	_	_	O
살	살	NNG	O
이	이	JKC	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
셀	셀	NNG	B-POH
룰	룰	NNG	I-POH
라이트	라이트+이	NNG+VCP	I-POH
였	었	EP	O
어	어	EF	O
!	!	SF	O

## 6
## 그런데 원장이 보호자 카드를 소지한 경우라면 출석일수를 11일 이상으로 조작한 뒤 카드로 보육료를 결제하면 그만이다.
## 그런데 원장이 보호자 카드를 소지한 경우라면 출석일수를 <11일:NOH> 이상으로 조작한 뒤 카드로 보육료를 결제하면 그만이다.
그런데	그런데	MAJ	O
_	_	_	O
원장	원장	NNG	O
이	이	JKS	O
_	_	_	O
보호자	보호자	NNG	O
_	_	_	O
카드	카드	NNG	O
를	를	JKO	O
_	_	_	O
소지한	소지하+ㄴ	VV+ETM	O
_	_	_	O
경우	경우+이	NNG+VCP	O
라면	라면	EC	O
_	_	_	O
출석	출석	NNG	O
일수	일수	NNG	O
를	를	JKO	O
_	_	_	O
11	11	SN	B-NOH
일	일	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
으로	으로	JKB	O
_	_	_	O
조작한	조작하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
카드	카드	NNG	O
로	로	JKB	O
_	_	_	O
보육	보육	NNG	O
료	료	XSN	O
를	를	JKO	O
_	_	_	O
결제하	결제하	VV	O
면	면	EC	O
_	_	_	O
그만	그만	MAG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 고양에 타이머 설치한 북한전단 풍선 떨어져
## <고양:LOC>에 타이머 설치한 <북한:ORG>전단 풍선 떨어져
고양	고양	NNG	B-LOC
에	에	JKB	O
_	_	_	O
타이머	타이머	NNG	O
_	_	_	O
설치한	설치하+ㄴ	VV+ETM	O
_	_	_	O
북한	북한	NNP	B-ORG
전단	전단	NNG	O
_	_	_	O
풍선	풍선	NNG	O
_	_	_	O
떨어져	떨어지+어	VV+EC	O

## 8
## 우리와 중국 해안에 밀집한 막대한 화력과 핵발전 시설은 초당 수백t의 온배수를 바다로 거침없이 쏟아낸다.
## 우리와 <중국:ORG> 해안에 밀집한 막대한 화력과 핵발전 시설은 초당 수백t의 온배수를 바다로 거침없이 쏟아낸다.
우리	우리	NP	O
와	와	JC	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
해안	해안	NNG	O
에	에	JKB	O
_	_	_	O
밀집한	밀집하+ㄴ	VV+ETM	O
_	_	_	O
막대한	막대하+ㄴ	VA+ETM	O
_	_	_	O
화력	화력	NNG	O
과	과	JC	O
_	_	_	O
핵	핵	NNG	O
발전	발전	NNG	O
_	_	_	O
시설	시설	NNG	O
은	은	JX	O
_	_	_	O
초	초	NNB	O
당	당	XSN	O
_	_	_	O
수백	수백	NR	O
t	t	SL	O
의	의	JKG	O
_	_	_	O
온배수	온배수	NNG	O
를	를	JKO	O
_	_	_	O
바다	바다	NNG	O
로	로	JKB	O
_	_	_	O
거침없이	거침없이	MAG	O
_	_	_	O
쏟	쏟	VV	O
아	아	EC	O
낸다	내+ㄴ다	VX+EF	O
.	.	SF	O

## 9
## 마세라티의 판매량을 혁신적으로 끌어올린 기블리 디젤 모델이 베이스지만, S Q4는 차원이 다른 성능을 발휘한다.
## <마세라티:POH>의 판매량을 혁신적으로 끌어올린 <기블리 디젤 모델:POH>이 베이스지만, <S Q4:POH>는 차원이 다른 성능을 발휘한다.
마세라티	마세라티	NNP	B-POH
의	의	JKG	O
_	_	_	O
판매량	판매량	NNG	O
을	을	JKO	O
_	_	_	O
혁신적	혁신적	NNG	O
으로	으로	JKB	O
_	_	_	O
끌어올린	끌어올리+ㄴ	VV+ETM	O
_	_	_	O
기블리	기블리	NNP	B-POH
_	_	_	I-POH
디젤	디젤	NNP	I-POH
_	_	_	I-POH
모델	모델	NNG	I-POH
이	이	JKS	O
_	_	_	O
베이스	베이스+이	NNG+VCP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
S	S	SL	B-POH
_	_	_	I-POH
Q	Q	SL	I-POH
4	4	SN	I-POH
는	는	JX	O
_	_	_	O
차원	차원	NNG	O
이	이	JKS	O
_	_	_	O
다른	다르+ㄴ	VA+ETM	O
_	_	_	O
성능	성능	NNG	O
을	을	JKO	O
_	_	_	O
발휘한다	발휘하+ㄴ다	VV+EF	O
.	.	SF	O

## 10
## 정씨라고 그걸 모를 리 없었다.
## <정:PER>씨라고 그걸 모를 리 없었다.
정	정	NNP	B-PER
씨	씨+이	NNB+VCP	O
라고	라고	EC	O
_	_	_	O
그걸	그것+ㄹ	NP+JKO	O
_	_	_	O
모를	모르+ㄹ	VV+ETM	O
_	_	_	O
리	리	NNB	O
_	_	_	O
없	없	VA	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## CBS는 “가정파괴와 학업 포기, 가출 등 반사회적 행위를 조장하는 신천지의 실체를 사실적으로 폭로하기 위해 지난 1년간 2000시간에 걸쳐 관찰한 특집방송 ‘신천지에 빠진 사람들’을 방송할 계획”이라고 밝혔고 지난 16일 1부 ‘계시록’을 방송했다.
## <CBS:POH>는 “가정파괴와 학업 포기, 가출 등 반사회적 행위를 조장하는 <신천지:ORG>의 실체를 사실적으로 폭로하기 위해 지난 <1년간:DUR> <2000시간:NOH>에 걸쳐 관찰한 특집방송 ‘<신천지에 빠진 사람들:POH>’을 방송할 계획”이라고 밝혔고 지난 <16일:DAT> <1부:NOH> ‘<계시록:POH>’을 방송했다.
CBS	CBS	SL	B-POH
는	는	JX	O
_	_	_	O
“	“	SS	O
가정	가정	NNG	O
파괴	파괴	NNG	O
와	와	JC	O
_	_	_	O
학업	학업	NNG	O
_	_	_	O
포기	포기	NNG	O
,	,	SP	O
_	_	_	O
가출	가출	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
반	반	XPN	O
사회적	사회적	NNG	O
_	_	_	O
행위	행위	NNG	O
를	를	JKO	O
_	_	_	O
조장하	조장하	VV	O
는	는	ETM	O
_	_	_	O
신천지	신천지	NNG	B-ORG
의	의	JKG	O
_	_	_	O
실체	실체	NNG	O
를	를	JKO	O
_	_	_	O
사실적	사실적	NNG	O
으로	으로	JKB	O
_	_	_	O
폭로하	폭로하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
1	1	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
2000	2000	SN	B-NOH
시간	시간	NNB	I-NOH
에	에	JKB	O
_	_	_	O
걸쳐	걸치+어	VV+EC	O
_	_	_	O
관찰한	관찰하+ㄴ	VV+ETM	O
_	_	_	O
특집	특집	NNG	O
방송	방송	NNG	O
_	_	_	O
‘	‘	SS	O
신천지	신천지	NNG	B-POH
에	에	JKB	I-POH
_	_	_	I-POH
빠진	빠지+ㄴ	VV+ETM	I-POH
_	_	_	I-POH
사람	사람	NNG	I-POH
들	들	XSN	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
방송할	방송하+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
고	고	EC	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
16	16	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
1	1	SN	B-NOH
부	부	NNB	I-NOH
_	_	_	O
‘	‘	SS	O
계시록	계시록	NNG	B-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
방송	방송하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 유재석은 다른 출연자들이 녹화가 끝나고 아내 나경은에게 연락을 하는지 궁금해 하자 "저는 절대 안 한다"고 단호하게 말해 웃음을 터뜨렸다.
## <유재석:PER>은 다른 출연자들이 녹화가 끝나고 아내 <나경은:PER>에게 연락을 하는지 궁금해 하자 "저는 절대 안 한다"고 단호하게 말해 웃음을 터뜨렸다.
유재석	유재석	NNP	B-PER
은	은	JX	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
출연자	출연자	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
녹화	녹화	NNG	O
가	가	JKS	O
_	_	_	O
끝나	끝나	VV	O
고	고	EC	O
_	_	_	O
아내	아내	NNG	O
_	_	_	O
나경은	나경은	NNP	B-PER
에게	에게	JKB	O
_	_	_	O
연락	연락	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
는지	는지	EC	O
_	_	_	O
궁금해	궁금하+여	VA+EC	O
_	_	_	O
하	하	VV	O
자	자	EC	O
_	_	_	O
"	"	SS	O
저	저	NP	O
는	는	JX	O
_	_	_	O
절대	절대	MAG	O
_	_	_	O
안	안	MAG	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
단호하	단호하	VA	O
게	게	EC	O
_	_	_	O
말해	말하+여	VV+EC	O
_	_	_	O
웃음	웃음	NNG	O
을	을	JKO	O
_	_	_	O
터뜨	터뜨리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 갖가지 상기돼야 할 사실은 처칠이 장개석총통의 국민당정부를 아주 낮춰 보았다는 사실이다.
## 갖가지 상기돼야 할 사실은 처칠이 <장개석:PER>총통의 <국민당:ORG>정부를 아주 낮춰 보았다는 사실이다.
갖가지	갖가지	NNG	O
_	_	_	O
상기돼야	상기되+어야	VV+EC	O
_	_	_	O
할	하+ㄹ	VX+ETM	O
_	_	_	O
사실	사실	NNG	O
은	은	JX	O
_	_	_	O
처칠	처칠	NNP	O
이	이	JKS	O
_	_	_	O
장개석	장개석	NNP	B-PER
총통	총통	NNG	O
의	의	JKG	O
_	_	_	O
국민당	국민당	NNP	B-ORG
정부	정부	NNG	O
를	를	JKO	O
_	_	_	O
아주	아주	MAG	O
_	_	_	O
낮춰	낮추+어	VV+EC	O
_	_	_	O
보	보	VV	O
았	았	EP	O
다는	다는	ETM	O
_	_	_	O
사실	사실	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 14
## 갤럭시 노트7 기내사용 금지…전원끄고 충전금지, 위탁수하물도 안돼
## <갤럭시 노트7:POH> 기내사용 금지…전원끄고 충전금지, 위탁수하물도 안돼
갤럭시	갤럭시	NNP	B-POH
_	_	_	I-POH
노트	노트	NNG	I-POH
7	7	SN	I-POH
_	_	_	O
기내	기내	NNG	O
사용	사용	NNG	O
_	_	_	O
금지	금지	NNG	O
…	…	SE	O
전원	전원	NNG	O
끄	끄	VV	O
고	고	EC	O
_	_	_	O
충전	충전	NNG	O
금지	금지	NNG	O
,	,	SP	O
_	_	_	O
위탁	위탁	NNG	O
수하물	수하물	NNG	O
도	도	JX	O
_	_	_	O
안돼	안되+어	VV+EC	O

## 15
## 검찰 특별수사본부(본부장 이영렬 서울중앙지검장)는 이날 오전 서울구치소에 수감된 박 전 대통령에 대한 조사를 진행한다고 9일 밝혔다.
## 검찰 특별수사본부(본부장 <이영렬:PER> <서울중앙지검장:ORG>)는 이날 오전 <서울구치소:LOC>에 수감된 <박:PER> 전 대통령에 대한 조사를 진행한다고 <9일:DAT> 밝혔다.
검찰	검찰	NNG	O
_	_	_	O
특별	특별	NNG	O
수사본부	수사본부	NNG	O
(	(	SS	O
본부	본부	NNG	O
장	장	XSN	O
_	_	_	O
이영렬	이영렬	NNP	B-PER
_	_	_	O
서울중앙지검	서울중앙지검	NNP	B-ORG
장	장	XPN	I-ORG
)	)	SS	O
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
오전	오전	NNG	O
_	_	_	O
서울구치소	서울구치소	NNP	B-LOC
에	에	JKB	O
_	_	_	O
수감된	수감되+ㄴ	VV+ETM	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
조사	조사	NNG	O
를	를	JKO	O
_	_	_	O
진행한다고	진행하+ㄴ다고	VV+EC	O
_	_	_	O
9	9	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

