## 1
## 4·13 총선 결과에 담긴 국민의 뜻이 뭐라고 보나.“젊은이들의 분노, 새누리당 지지자들의 외면. 이 게 합쳐서 나온 결과다.
## <4·13:DAT> 총선 결과에 담긴 국민의 뜻이 뭐라고 보나.“젊은이들의 분노, <새누리당:ORG> 지지자들의 외면. 이 게 합쳐서 나온 결과다.
4	4	SN	B-DAT
·	·	SP	I-DAT
13	13	SN	I-DAT
_	_	_	O
총선	총선	NNG	O
_	_	_	O
결과	결과	NNG	O
에	에	JKB	O
_	_	_	O
담긴	담기+ㄴ	VV+ETM	O
_	_	_	O
국민	국민	NNG	O
의	의	JKG	O
_	_	_	O
뜻	뜻	NNG	O
이	이	JKS	O
_	_	_	O
뭐	뭐+이	NP+VCP	O
라고	라고	EC	O
_	_	_	O
보	보	VV	O
나	나	EF	O
.	.	SF	O
“	“	SS	O
젊은이	젊은이	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
분노	분노	NNG	O
,	,	SP	O
_	_	_	O
새누리당	새누리당	NNP	B-ORG
_	_	_	O
지지자	지지자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
외면	외면	NNG	O
.	.	SF	O
_	_	_	O
이	이	MM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
합쳐서	합치+어서	VV+EC	O
_	_	_	O
나온	나오+ㄴ	VV+ETM	O
_	_	_	O
결과	결과+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 고용 창출을 위해 동독 기업들을 사들였더니 오히려 돈만 받은 뒤 문을 닫고 서독으로 가버리기도 했다”며 “하지만 통일은 결국 정치적으로 많은 이들이 염원했던 것, 역사적으로 이뤄져야 했던 것이 이뤄진 것”이라고 평가했다.
## 고용 창출을 위해 <동독:ORG> 기업들을 사들였더니 오히려 돈만 받은 뒤 문을 닫고 <서독:ORG>으로 가버리기도 했다”며 “하지만 통일은 결국 정치적으로 많은 이들이 염원했던 것, 역사적으로 이뤄져야 했던 것이 이뤄진 것”이라고 평가했다.
고용	고용	NNG	O
_	_	_	O
창출	창출	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
동독	동독	NNP	B-ORG
_	_	_	O
기업	기업	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
사들	사들이	VV	O
였	었	EP	O
더니	더니	EC	O
_	_	_	O
오히려	오히려	MAG	O
_	_	_	O
돈	돈	NNG	O
만	만	JX	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
문	문	NNG	O
을	을	JKO	O
_	_	_	O
닫	닫	VV	O
고	고	EC	O
_	_	_	O
서독	서독	NNP	B-ORG
으로	으로	JKB	O
_	_	_	O
가	가+아	VV+EC	O
버리	버리	VX	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
하지만	하지만	MAJ	O
_	_	_	O
통일	통일	NNG	O
은	은	JX	O
_	_	_	O
결국	결국	NNG	O
_	_	_	O
정치적	정치적	NNG	O
으로	으로	JKB	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
염원	염원하	VV	O
했	었	EP	O
던	던	ETM	O
_	_	_	O
것	것	NNB	O
,	,	SP	O
_	_	_	O
역사적	역사적	NNG	O
으로	으로	JKB	O
_	_	_	O
이뤄져야	이루어지+어야	VV+EC	O
_	_	_	O
했	+였	+EP	O
던	던	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
이뤄진	이루어지+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
평가	평가하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 8이닝 1실점 역투에도 패배…팀에 쓴소리이후 14경기에서 12승…자이언츠 따돌려 시즌 내내 팽팽하게 이어졌던 내셔널리그 서부지구 선두 다툼이 종착역을 향해 가고 있다.
## <8이닝:NOH> <1실점:NOH> 역투에도 패배…팀에 쓴소리이후 <14경기:NOH>에서 <12승:NOH>…<자이언츠:ORG> 따돌려 시즌 내내 팽팽하게 이어졌던 <내셔널리그 서부지구:ORG> 선두 다툼이 종착역을 향해 가고 있다.
8	8	SN	B-NOH
이닝	이닝	NNG	I-NOH
_	_	_	O
1	1	SN	B-NOH
실점	실점	NNG	I-NOH
_	_	_	O
역투	역투	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
패배	패배	NNG	O
…	…	SE	O
팀	팀	NNG	O
에	에	JKB	O
_	_	_	O
쓴소리	쓴소리	NNG	O
이후	이후	NNG	O
_	_	_	O
14	14	SN	B-NOH
경기	경기	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
12	12	SN	B-NOH
승	승	NNB	I-NOH
…	…	SE	O
자이언츠	자이언츠	NNP	B-ORG
_	_	_	O
따돌려	따돌리+어	VV+EC	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
내내	내내	MAG	O
_	_	_	O
팽팽하	팽팽하	VA	O
게	게	EC	O
_	_	_	O
이어	이어지	VV	O
졌	었	EP	O
던	던	ETM	O
_	_	_	O
내셔널리그	내셔널리그	NNG	B-ORG
_	_	_	I-ORG
서부	서부	NNG	I-ORG
지구	지구	NNG	I-ORG
_	_	_	O
선두	선두	NNG	O
_	_	_	O
다툼	다툼	NNG	O
이	이	JKS	O
_	_	_	O
종착역	종착역	NNG	O
을	을	JKO	O
_	_	_	O
향해	향하+여	VV+EC	O
_	_	_	O
가	가	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 황 감독은 5일 열린 개막 미디어데이에서 ‘꼭 이기고 싶은 상대’를 묻는 질문에 “물어볼 게 뭐 있나. 무조건 FC서울이다.
