## 1
## 자율주행 차량은 고성능 센서망, 강력한 탐지 및 센서 융합 시스템과 클라우드 연결, 선도 업체와의 효율적인 시스템 제휴가 필요하다.
## 자율주행 차량은 <고성:LOC>능 센서망, 강력한 탐지 및 센서 융합 시스템과 클라우드 연결, 선도 업체와의 효율적인 시스템 제휴가 필요하다.
자율	자율	NNG	O
주행	주행	NNG	O
_	_	_	O
차량	차량	NNG	O
은	은	JX	O
_	_	_	O
고성능	고성능	NNG	O
_	_	_	O
센서	센서	NNG	O
망	망	NNG	O
,	,	SP	O
_	_	_	O
강력한	강력하+ㄴ	VA+ETM	O
_	_	_	O
탐지	탐지	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
센서	센서	NNG	O
_	_	_	O
융합	융합	NNG	O
_	_	_	O
시스템	시스템	NNG	O
과	과	JC	O
_	_	_	O
클라우드	클라우드	NNG	O
_	_	_	O
연결	연결	NNG	O
,	,	SP	O
_	_	_	O
선도	선도	NNG	O
_	_	_	O
업체	업체	NNG	O
와	와	JKB	O
의	의	JKG	O
_	_	_	O
효율적	효율적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
시스템	시스템	NNG	O
_	_	_	O
제휴	제휴	NNG	O
가	가	JKS	O
_	_	_	O
필요하	필요하	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 이내영 고려대 정치외교학과 교수
## <이내영:PER> <고려대 정치외교학과:ORG> 교수
이내영	이내영	NNP	B-PER
_	_	_	O
고려대	고려대	NNP	B-ORG
_	_	_	I-ORG
정치	정치	NNG	I-ORG
외교	외교	NNG	I-ORG
학과	학과	NNG	I-ORG
_	_	_	O
교수	교수	NNG	O

## 3
## 16일 오후 3시에 생방송되는 중앙일보 인터넷 방송 ‘명의가 본 기적’ (이하 ‘명의’) 14회엔 한미약품 강자훈 상무가 출연했다.
## <16일:DAT> <오후 3시:TIM>에 생방송되는 <중앙일보:ORG> 인터넷 방송 ‘<명의가 본 기적:POH>’ (이하 ‘<명의:POH>’) <14회:NOH>엔 <한미약품:ORG> <강자훈:PER> 상무가 출연했다.
16	16	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
3	3	SN	I-TIM
시	시	NNB	I-TIM
에	에	JKB	O
_	_	_	O
생방송	생방송	NNG	O
되	되	XSV	O
는	는	ETM	O
_	_	_	O
중앙일보	중앙일보	NNP	B-ORG
_	_	_	O
인터넷	인터넷	NNG	O
_	_	_	O
방송	방송	NNG	O
_	_	_	O
‘	‘	SS	O
명의	명의	NNG	B-POH
가	가	JKS	I-POH
_	_	_	I-POH
본	보+ㄴ	VV+ETM	I-POH
_	_	_	I-POH
기적	기적	NNG	I-POH
’	’	SS	O
_	_	_	O
(	(	SS	O
이하	이하	NNG	O
_	_	_	O
‘	‘	SS	O
명의	명의	NNG	B-POH
’	’	SS	O
)	)	SS	O
_	_	_	O
14	14	SN	B-NOH
회	회	NNB	I-NOH
엔	에+ㄴ	JKB+JX	O
_	_	_	O
한미약품	한미약품	NNP	B-ORG
_	_	_	O
강자훈	강자훈	NNP	B-PER
_	_	_	O
상무	상무	NNG	O
가	가	JKS	O
_	_	_	O
출연	출연하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## IT 전문가인 박용후 피와이에이치 대표는 “스마트폰은 하드웨어와 소프트웨어 경쟁을 동시에 벌이는 분야인데 플렉시블만큼 강력한 하드웨어 혁신은 없다”며 “경쟁사에 폴더블·롤러블을 먼저 내주는 결정은 쉽게 내리지 못할 것”이라고 말했다.
## IT 전문가인 <박용후:PER> <피와이에이치:ORG> 대표는 “스마트폰은 하드웨어와 소프트웨어 경쟁을 동시에 벌이는 분야인데 플렉시블만큼 강력한 하드웨어 혁신은 없다”며 “경쟁사에 폴더블·롤러블을 먼저 내주는 결정은 쉽게 내리지 못할 것”이라고 말했다.
IT	IT	SL	O
_	_	_	O
전문가	전문가	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
박용후	박용후	NNP	B-PER
_	_	_	O
피와	피와	NNP	B-ORG
이	이	NNG	I-ORG
에이치	에이치	NNG	I-ORG
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
스마트	스마트	NNG	O
폰	폰	NNG	O
은	은	JX	O
_	_	_	O
하드웨어	하드웨어	NNG	O
와	와	JC	O
_	_	_	O
소프트웨어	소프트웨어	NNG	O
_	_	_	O
경쟁	경쟁	NNG	O
을	을	JKO	O
_	_	_	O
동시	동시	NNG	O
에	에	JKB	O
_	_	_	O
벌이	벌이	VV	O
는	는	ETM	O
_	_	_	O
분야	분야	NNG	O
인	이+ㄴ	VCP+ETM	O
데	데	NNB	O
_	_	_	O
플렉시블	플렉시블	NNG	O
만큼	만큼	JX	O
_	_	_	O
강력한	강력하+ㄴ	VA+ETM	O
_	_	_	O
하드웨어	하드웨어	NNG	O
_	_	_	O
혁신	혁신	NNG	O
은	은	JX	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
경쟁사	경쟁사	NNG	O
에	에	JKB	O
_	_	_	O
폴더	폴더	NNG	O
블	을	JKO	O
·	·	SP	O
롤러	롤러	NNG	O
블	블	NNG	O
을	을	JKO	O
_	_	_	O
먼저	먼저	MAG	O
_	_	_	O
내주	내주	VV	O
는	는	ETM	O
_	_	_	O
결정	결정	NNG	O
은	은	JX	O
_	_	_	O
쉽	쉽	VA	O
게	게	EC	O
_	_	_	O
내리	내리	VV	O
지	지	EC	O
_	_	_	O
못할	못하+ㄹ	VX+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## ‘이동휘와 열애’ 정호연, ‘매끈’ 비키니 뒤태 보니… 男心 초토화배우 이동휘(30)와 열애 중인 모델 정호연(21)의 무보정 뒤태 사진이 재조명 받고 있다.
## ‘<이동휘:PER>와 열애’ <정호연:PER>, ‘매끈’ 비키니 뒤태 보니… 男心 초토화배우 <이동휘:PER>(<30:NOH>)와 열애 중인 모델 <정호연:PER>(<21:NOH>)의 무보정 뒤태 사진이 재조명 받고 있다.
‘	‘	SS	O
이동휘	이동휘	NNP	B-PER
와	와	JKB	O
_	_	_	O
열애	열애	NNG	O
’	’	SS	O
_	_	_	O
정호연	정호연	NNP	B-PER
,	,	SP	O
_	_	_	O
‘	‘	SS	O
매끈	매끈	XR	O
’	’	SS	O
_	_	_	O
비키니	비키니	NNG	O
_	_	_	O
뒤태	뒤태	NNG	O
_	_	_	O
보	보	VV	O
니	니	EC	O
…	…	SE	O
_	_	_	O
男心	男心	SH	O
_	_	_	O
초토화	초토화	NNG	O
배우	배우	NNG	O
_	_	_	O
이동휘	이동휘	NNP	B-PER
(	(	SS	O
30	30	SN	B-NOH
)	)	SS	O
와	와	JKB	O
_	_	_	O
열애	열애	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
모델	모델	NNG	O
_	_	_	O
정호연	정호연	NNP	B-PER
(	(	SS	O
21	21	SN	B-NOH
)	)	SS	O
의	의	JKG	O
_	_	_	O
무보	무보	NNG	O
정	정	NNB	O
_	_	_	O
뒤태	뒤태	NNG	O
_	_	_	O
사진	사진	NNG	O
이	이	JKS	O
_	_	_	O
재조명	재조명	NNG	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 6
## 정호연은 과거 자신의 소셜미디어에 비키니 자태가 담긴 사진 한 장을 공개했다.
## <정호연:PER>은 과거 자신의 소셜미디어에 비키니 자태가 담긴 사진 <한 장:NOH>을 공개했다.
정호연	정호연	NNP	B-PER
은	은	JX	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
소셜	소셜	NNG	O
미디어	미디어	NNG	O
에	에	JKB	O
_	_	_	O
비키니	비키니	NNG	O
_	_	_	O
자태	자태	NNG	O
가	가	JKS	O
_	_	_	O
담긴	담기+ㄴ	VV+ETM	O
_	_	_	O
사진	사진	NNG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
장	장	NNB	I-NOH
을	을	JKO	O
_	_	_	O
공개	공개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 사진 속 정호연은 해변가를 배경으로 하늘을 향해 포즈를 취하고 있다.
## 사진 속 <정호연:PER>은 해변가를 배경으로 하늘을 향해 포즈를 취하고 있다.
사진	사진	NNG	O
_	_	_	O
속	속	NNG	O
_	_	_	O
정호연	정호연	NNP	B-PER
은	은	JX	O
_	_	_	O
해변	해변	NNG	O
가	가	NNG	O
를	를	JKO	O
_	_	_	O
배경	배경	NNG	O
으로	으로	JKB	O
_	_	_	O
하늘	하늘	NNG	O
을	을	JKO	O
_	_	_	O
향해	향하+여	VV+EC	O
_	_	_	O
포즈	포즈	NNG	O
를	를	JKO	O
_	_	_	O
취하	취하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 8
## 7월 MVP인 양현종에게는 상금 200만원이 수여되며, KBO는 3일 광주-기아 챔피언스필드에서 열리는 한화와의 경기에 앞서 시상식을 가질 예정이다.
## <7월:DAT> MVP인 <양현종:PER>에게는 상금 <200만원:MNY>이 수여되며, <KBO:ORG>는 <3일:DAT> <광주-기아 챔피언스필드:POH>에서 열리는 <한화:ORG>와의 경기에 앞서 시상식을 가질 예정이다.
7	7	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
MVP	MVP	SL	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
양현종	양현종	NNP	B-PER
에게	에게	JKB	O
는	는	JX	O
_	_	_	O
상금	상금	NNG	O
_	_	_	O
200	200	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
이	이	JKS	O
_	_	_	O
수여되	수여되	VV	O
며	며	EC	O
,	,	SP	O
_	_	_	O
KBO	KBO	SL	B-ORG
는	는	JX	O
_	_	_	O
3	3	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
광주	광주	NNP	B-POH
-	-	SO	I-POH
기아	기아	NNP	I-POH
_	_	_	I-POH
챔피언스필드	챔피언스필드	NNP	I-POH
에서	에서	JKB	O
_	_	_	O
열리	열리	VV	O
는	는	ETM	O
_	_	_	O
한화	한화	NNP	B-ORG
와	와	JKB	O
의	의	JKG	O
_	_	_	O
경기	경기	NNG	O
에	에	JKB	O
_	_	_	O
앞서	앞서+어	VV+EC	O
_	_	_	O
시상식	시상식	NNG	O
을	을	JKO	O
_	_	_	O
가질	가지+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 동아닷컴 디지털뉴스팀 기사제보 dnews@donga.com
## <동아닷컴 디지털뉴스팀:ORG> 기사제보 <dnews@donga.c:POH>om
동아닷컴	동아닷컴	NNP	B-ORG
_	_	_	I-ORG
디지털	디지털	NNG	I-ORG
뉴스	뉴스	NNG	I-ORG
팀	팀	NNG	I-ORG
_	_	_	O
기사	기사	NNG	O
제보	제보	NNG	O
_	_	_	O
dnews	dnews	SL	B-POH
@	@	SW	I-POH
donga	donga	SL	I-POH
.	.	SF	I-POH
com	com	SL	O

## 10
## 청와대에서 합병과 관련해 모종의 신호를 주는 것 아니냐는 오해를 불식하기 위해서라도 M&A 심사 기준부터 먼저 밝혀야 한다.
## <청와대:ORG>에서 합병과 관련해 모종의 신호를 주는 것 아니냐는 오해를 불식하기 위해서라도 M&A 심사 기준부터 먼저 밝혀야 한다.
청와대	청와대	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
합병	합병	NNG	O
과	과	JKB	O
_	_	_	O
관련해	관련하+여	VV+EC	O
_	_	_	O
모종	모종	NNG	O
의	의	JKG	O
_	_	_	O
신호	신호	NNG	O
를	를	JKO	O
_	_	_	O
주	주	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
아니	아니	VCN	O
냐는	냐는	ETM	O
_	_	_	O
오해	오해	NNG	O
를	를	JKO	O
_	_	_	O
불식하	불식하	VV	O
기	기	ETN	O
_	_	_	O
위해서	위하+여서	VV+EC	O
라도	라도	JX	O
_	_	_	O
M	M	SL	O
&	&	SW	O
A	A	SL	O
_	_	_	O
심사	심사	NNG	O
_	_	_	O
기준	기준	NNG	O
부터	부터	JX	O
_	_	_	O
먼저	먼저	MAG	O
_	_	_	O
밝혀야	밝히+어야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 11
## 4년 뒤인 2005년 쌍둥이를 임신했는데, 성별 검사 결과 또 여아로 밝혀지자 B 씨와 시아버지는 A 씨에게 임신중절수술을 요구했고, A 씨는 이를 받아들여 낙태했다.
## <4년:NOH> 뒤인 <2005년:DAT> 쌍둥이를 임신했는데, 성별 검사 결과 또 여아로 밝혀지자 <B:PER> 씨와 시아버지는 <A:PER> 씨에게 임신중절수술을 요구했고, <A:PER> 씨는 이를 받아들여 낙태했다.
4	4	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
뒤	뒤	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
2005	2005	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
쌍둥이	쌍둥이	NNG	O
를	를	JKO	O
_	_	_	O
임신	임신하	VV	O
했	였	EP	O
는데	는데	EC	O
,	,	SP	O
_	_	_	O
성별	성별	NNG	O
_	_	_	O
검사	검사	NNG	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
또	또	MAG	O
_	_	_	O
여아	여아	NNG	O
로	로	JKB	O
_	_	_	O
밝혀지	밝혀지	VV	O
자	자	EC	O
_	_	_	O
B	B	SL	B-PER
_	_	_	O
씨	씨	NNB	O
와	와	JC	O
_	_	_	O
시아버지	시아버지	NNG	O
는	는	JX	O
_	_	_	O
A	A	SL	B-PER
_	_	_	O
씨	씨	NNB	O
에게	에게	JKB	O
_	_	_	O
임신	임신	NNG	O
중절	중절	NNG	O
수술	수술	NNG	O
을	을	JKO	O
_	_	_	O
요구	요구하	VV	O
했	였	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
A	A	SL	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
받아들	받아들이	VV	O
여	어	EC	O
_	_	_	O
낙태	낙태하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 중동 등에 의료서비스 수출 본격화… 신약개발 유전체연구 360억 투입
## <중동:LOC> 등에 의료서비스 수출 본격화… 신약개발 유전체연구 <360억:MNY> 투입
중동	중동	NNP	B-LOC
_	_	_	O
등	등	NNB	O
에	에	JKB	O
_	_	_	O
의료	의료	NNG	O
서비스	서비스	NNG	O
_	_	_	O
수출	수출	NNG	O
_	_	_	O
본격화	본격화	NNG	O
