## 1
## 이후 오후 7시30분 롯데월드몰 1층 아트리움에서 진행되는 레드카펫 행사에 참석해 한국 팬들과 만날 예정이다.
## 이후 <오후 7시30분:TIM> <롯데월드몰:LOC> 1층 아트리움에서 진행되는 레드카펫 행사에 참석해 <한국:ORG> 팬들과 만날 예정이다.
이후	이후	NNG	O
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
7	7	SN	I-TIM
시	시	NNB	I-TIM
30	30	SN	I-TIM
분	분	NNB	I-TIM
_	_	_	O
롯데월드	롯데월드	NNP	B-LOC
몰	몰	NNG	I-LOC
_	_	_	O
1	1	SN	O
층	층	NNG	O
_	_	_	O
아트리움	아트리움	NNG	O
에서	에서	JKB	O
_	_	_	O
진행되	진행되	VV	O
는	는	ETM	O
_	_	_	O
레드	레드	NNG	O
카펫	카펫	NNG	O
_	_	_	O
행사	행사	NNG	O
에	에	JKB	O
_	_	_	O
참석해	참석하+여	VV+EC	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
팬	팬	NNG	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
만날	만나+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 주 후보는 “민진당이 집권하면 양안관계가 흔들린다.
## <주:PER> 후보는 “<민진당:ORG>이 집권하면 양안관계가 흔들린다.
주	주	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
민진당	민진당	NNP	B-ORG
이	이	JKS	O
_	_	_	O
집권하	집권하	VV	O
면	면	EC	O
_	_	_	O
양안	양안	NNG	O
관계	관계	NNG	O
가	가	JKS	O
_	_	_	O
흔들린다	흔들리+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 독일 물류연맹 비서장은 “향후 롱어우철도가 독일에 닿기를 희망한다”고 밝혔다.
## <독일:ORG> 물류연맹 비서장은 “향후 <롱어우철도:POH>가 <독일:LOC>에 닿기를 희망한다”고 밝혔다.
독일	독일	NNP	B-ORG
_	_	_	O
물류	물류	NNG	O
연맹	연맹	NNG	O
_	_	_	O
비서장	비서장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
향후	향후	NNG	O
_	_	_	O
롱	롱	NNP	B-POH
어	어	XSN	I-POH
우철	우철	NNP	I-POH
도	도	JX	I-POH
가	가	JKS	O
_	_	_	O
독일	독일	NNP	B-LOC
에	에	JKB	O
_	_	_	O
닿	닿	VV	O
기	기	ETN	O
를	를	JKO	O
_	_	_	O
희망한다	희망하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 경기 여주시 연라동 성남~여주간 복선전철(예정) 역세권에서 단독주택 용지 ‘여내울 카운티’가 분양되고 있다.
## <경기:LOC> <여주시:LOC> <연라동:LOC> <성남:LOC>~<여주:LOC>간 복선전철(예정) 역세권에서 단독주택 용지 ‘<여내울 카운티:LOC>’가 분양되고 있다.
경기	경기	NNP	B-LOC
_	_	_	O
여주시	여주시	NNP	B-LOC
_	_	_	O
연	연	NNG	B-LOC
라	라	NNG	I-LOC
동	동	NNG	I-LOC
_	_	_	O
성남	성남	NNP	B-LOC
~	~	SO	O
여주	여주	NNP	B-LOC
간	간	NNB	O
_	_	_	O
복선	복선	NNG	O
전철	전철	NNG	O
(	(	SS	O
예정	예정	NNG	O
)	)	SS	O
_	_	_	O
역세권	역세권	NNG	O
에서	에서	JKB	O
_	_	_	O
단독	단독	NNG	O
주택	주택	NNG	O
_	_	_	O
용지	용지	NNG	O
_	_	_	O
‘	‘	SS	O
여내	여내	MAG	B-LOC
울	울	VV	I-LOC
_	_	_	I-LOC
카운티	카운티	NNG	I-LOC
’	’	SS	O
가	가	JKS	O
_	_	_	O
분양	분양	NNG	O
되	되	XSV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 김 소장은 “당과 외교부 등에서 싱크탱크를 비롯한 학계의 의견을 직접 묻고 있다”며 당 중앙위원회 직속의 사무기관인 중앙판공청 등이 의견 청취를 담당한다고도 전했다.
## <김:PER> 소장은 “당과 <외교부:ORG> 등에서 싱크탱크를 비롯한 학계의 의견을 직접 묻고 있다”며 <당 중앙위원회:ORG> 직속의 사무기관인 <중앙판공청:ORG> 등이 의견 청취를 담당한다고도 전했다.
김	김	NNP	B-PER
_	_	_	O
소장	소장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
당	당	NNG	O
과	과	JC	O
_	_	_	O
외교	외교	NNG	B-ORG
부	부	XSN	I-ORG
_	_	_	O
등	등	NNB	O
에서	에서	JKB	O
_	_	_	O
싱크탱크	싱크탱크	NNG	O
를	를	JKO	O
_	_	_	O
비롯한	비롯하+ㄴ	VV+ETM	O
_	_	_	O
학계	학계	NNG	O
의	의	JKG	O
_	_	_	O
의견	의견	NNG	O
을	을	JKO	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
묻	묻	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
당	당	NNG	B-ORG
_	_	_	I-ORG
중앙	중앙	NNG	I-ORG
위원회	위원회	NNG	I-ORG
_	_	_	O
직속	직속	NNG	O
의	의	JKG	O
_	_	_	O
사무	사무	NNG	O
기관	기관	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
중앙	중앙	NNG	B-ORG
판공	판공	NNG	I-ORG
청	청	XSN	I-ORG
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
의견	의견	NNG	O
_	_	_	O
청취	청취	NNG	O
를	를	JKO	O
_	_	_	O
담당한다고	담당하+ㄴ다고	VV+EC	O
도	도	JX	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 문제는 중국 학계에서 북한을 보는 눈들이 다양하다는 점이다.
## 문제는 <중국:ORG> 학계에서 <북한:ORG>을 보는 눈들이 다양하다는 점이다.
문제	문제	NNG	O
는	는	JX	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
학계	학계	NNG	O
에서	에서	JKB	O
_	_	_	O
북한	북한	NNP	B-ORG
을	을	JKO	O
_	_	_	O
보	보	VV	O
는	는	ETM	O
_	_	_	O
눈	눈	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
다양하	다양하	VA	O
다는	다는	ETM	O
_	_	_	O
점	점	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 다행히 부상 회복세가 좋아 이승현은 지난 3일 예상보다 좀 일찍 코트에 복귀했다.
## 다행히 부상 회복세가 좋아 <이승현:PER>은 지난 <3일:DAT> 예상보다 좀 일찍 코트에 복귀했다.
다행히	다행히	MAG	O
_	_	_	O
부상	부상	NNG	O
_	_	_	O
회복세	회복세	NNG	O
가	가	JKS	O
_	_	_	O
좋	좋	VA	O
아	아	EC	O
_	_	_	O
이승현	이승현	NNP	B-PER
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
3	3	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
예상	예상	NNG	O
보다	보다	JKB	O
_	_	_	O
좀	좀	MAG	O
_	_	_	O
일찍	일찍	MAG	O
_	_	_	O
코트	코트	NNG	O
에	에	JKB	O
_	_	_	O
복귀	복귀하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 조지 W 부시 대통령이 재선된 2004년 11월 미국 대선에 앞서 노무현 대통령이 탄핵됐지만 탄핵이 기각되며 한국의 국정 붕괴 사태는 일찌감치 해결됐다.
## <조지 W 부시:PER> 대통령이 재선된 <2004년 11월:DAT> <미국:ORG> 대선에 앞서 <노무현:PER> 대통령이 탄핵됐지만 탄핵이 기각되며 <한국:ORG>의 국정 붕괴 사태는 일찌감치 해결됐다.
조지	조지	NNP	B-PER
_	_	_	I-PER
W	W	SL	I-PER
_	_	_	I-PER
부시	부시	NNP	I-PER
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
재선된	재선되+ㄴ	VV+ETM	O
_	_	_	O
2004	2004	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
11	11	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	O
대선	대선	NNG	O
에	에	JKB	O
_	_	_	O
앞서	앞서+어	VV+EC	O
_	_	_	O
노무현	노무현	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
탄핵	탄핵되	VV	O
됐	었	EP	O
지만	지만	EC	O
_	_	_	O
탄핵	탄핵	NNG	O
이	이	JKS	O
_	_	_	O
기각되	기각되	VV	O
며	며	EC	O
_	_	_	O
한국	한국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
국정	국정	NNG	O
_	_	_	O
붕괴	붕괴	NNG	O
_	_	_	O
사태	사태	NNG	O
는	는	JX	O
_	_	_	O
일찌감치	일찌감치	MAG	O
_	_	_	O
해결	해결되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 노영민 의원은 지난 대선에서 문재인 후보 비서실장을 지낸 문 대표의 최측근이다.
## <노영민:PER> 의원은 지난 대선에서 <문재인:PER> 후보 비서실장을 지낸 <문:PER> 대표의 최측근이다.
노영민	노영민	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
대선	대선	NNG	O
에서	에서	JKB	O
_	_	_	O
문재인	문재인	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
_	_	_	O
비서실	비서실	NNG	O
장	장	XSN	O
을	을	JKO	O
_	_	_	O
