## 1
## 타지키스탄 등의 신생아들에게 전달될 예정이다.
## <타지키스탄:LOC> 등의 신생아들에게 전달될 예정이다.
타지키스탄	타지키스탄	NNP	B-LOC
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
신생아	신생아	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
전달될	전달되+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 앞으로도 한국 축구의 힘인 K리그 많이 사랑해주셨으면 좋겠다"고 소감을 밝혔다.
## 앞으로도 <한국:ORG> 축구의 힘인 <K리그:ORG> 많이 사랑해주셨으면 좋겠다"고 소감을 밝혔다.
앞	앞	NNG	O
으로	으로	JKB	O
도	도	JX	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
축구	축구	NNG	O
의	의	JKG	O
_	_	_	O
힘	힘	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
K	K	SL	B-ORG
리그	리그	NNG	I-ORG
_	_	_	O
많이	많이	MAG	O
_	_	_	O
사랑해	사랑하+여	VV+EC	O
주	주+시	VX+EP	O
셨	었	EP	O
으면	으면	EC	O
_	_	_	O
좋	좋	VA	O
겠	겠	EP	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
소감	소감	NNG	O
을	을	JKO	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 남녀프로농구 양동근(모비스)과 박혜진(우리은행), 남녀프로배구 문성민(현대캐피탈)과 김희진(IBK기업은행), 남녀프로골프 최진호(현대제철)와 박성현(넵스)도 종목별 올해의 선수로 뽑혔다.
## 남녀프로농구 <양동근:PER>(<모비스:ORG>)과 <박혜진:PER>(<우리은행:ORG>), 남녀프로배구 <문성민:PER>(<현대캐피탈:ORG>)과 <김희진:PER>(<IBK기업은행:ORG>), 남녀프로골프 <최진호:PER>(<현대제철:ORG>)와 <박성현:PER>(<넵스:ORG>)도 종목별 올해의 선수로 뽑혔다.
남녀	남녀	NNG	O
프로	프로	NNG	O
농구	농구	NNG	O
_	_	_	O
양동근	양동근	NNP	B-PER
(	(	SS	O
모비스	모비스	NNP	B-ORG
)	)	SS	O
과	과	JKB	O
_	_	_	O
박혜진	박혜진	NNP	B-PER
(	(	SS	O
우리은행	우리은행	NNP	B-ORG
)	)	SS	O
,	,	SP	O
_	_	_	O
남녀	남녀	NNG	O
프로	프로	NNG	O
배구	배구	NNG	O
_	_	_	O
문성민	문성민	NNP	B-PER
(	(	SS	O
현대캐피탈	현대캐피탈	NNP	B-ORG
)	)	SS	O
과	과	JKB	O
_	_	_	O
김희진	김희진	NNP	B-PER
(	(	SS	O
IBK	IBK	SL	B-ORG
기업은행	기업은행	NNP	I-ORG
)	)	SS	O
,	,	SP	O
_	_	_	O
남녀	남녀	NNG	O
프로	프로	NNG	O
골프	골프	NNG	O
_	_	_	O
최진호	최진호	NNP	B-PER
(	(	SS	O
현대제철	현대제철	NNP	B-ORG
)	)	SS	O
와	와	JKB	O
_	_	_	O
박성현	박성현	NNP	B-PER
(	(	SS	O
넵스	넵스	NNP	B-ORG
)	)	SS	O
도	도	JX	O
_	_	_	O
종목별	종목별	NNG	O
_	_	_	O
올해	올해	NNG	O
의	의	JKG	O
_	_	_	O
선수	선수	NNG	O
로	로	JKB	O
_	_	_	O
뽑	뽑히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 영화 ‘더폰’ 손현주, 팬을 위해 ‘전화번호’ 즉석공개…‘깜짝’더폰 손현주영화 ‘더폰’에 출연하는 손현주가 즉석에서 휴대전화 번호를 공개해 팬들을 설레게 했다.
## 영화 ‘<더폰:POH>’ <손현주:PER>, 팬을 위해 ‘전화번호’ 즉석공개…‘깜짝’<더폰:POH> <손현주:PER>영화 ‘<더폰:POH>’에 출연하는 <손현주:PER>가 즉석에서 휴대전화 번호를 공개해 팬들을 설레게 했다.
영화	영화	NNG	O
_	_	_	O
‘	‘	SS	O
더	더	MAG	B-POH
폰	폰	NNG	I-POH
’	’	SS	O
_	_	_	O
손현주	손현주	NNP	B-PER
,	,	SP	O
_	_	_	O
팬	팬	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
‘	‘	SS	O
전화번호	전화번호	NNG	O
’	’	SS	O
_	_	_	O
즉석	즉석	NNG	O
공개	공개	NNG	O
…	…	SE	O
‘	‘	SS	O
깜짝	깜짝	MAG	O
’	’	SS	O
더	더	MAG	B-POH
폰	폰	NNG	I-POH
_	_	_	O
손현주	손현주	NNP	B-PER
영화	영화	NNG	O
_	_	_	O
‘	‘	SS	O
더	더	MAG	B-POH
폰	폰	NNG	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
출연하	출연하	VV	O
는	는	ETM	O
_	_	_	O
손현주	손현주	NNP	B-PER
가	가	JKS	O
_	_	_	O
즉석	즉석	NNG	O
에서	에서	JKB	O
_	_	_	O
휴대	휴대	NNG	O
전화	전화	NNG	O
_	_	_	O
번호	번호	NNG	O
를	를	JKO	O
_	_	_	O
공개해	공개하+여	VV+EC	O
_	_	_	O
팬	팬	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
설레	설레	VV	O
게	게	EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 5
## 손현주는 14일 서울 압구정의 한 영화관에서 열린 영화 ‘더폰’(감독 김봉주/제작 미스터로맨스) 제작보고회에서 관객과 직접 소통할 수 있는 휴대전화 번호를 공개했다.
## <손현주:PER>는 <14일:DAT> <서울:LOC> <압구정:LOC>의 한 영화관에서 열린 영화 ‘<더폰:POH>’(감독 <김봉주:PER>/제작 <미스터로맨스:ORG>) 제작보고회에서 관객과 직접 소통할 수 있는 휴대전화 번호를 공개했다.
손현주	손현주	NNP	B-PER
는	는	JX	O
_	_	_	O
14	14	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
압구정	압구정	NNP	B-LOC
의	의	JKG	O
_	_	_	O
한	한	MM	O
_	_	_	O
영화관	영화관	NNG	O
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
영화	영화	NNG	O
_	_	_	O
‘	‘	SS	O
더	더	MAG	B-POH
폰	폰	NNG	I-POH
’	’	SS	O
(	(	SS	O
감독	감독	NNG	O
_	_	_	O
김봉주	김봉주	NNP	B-PER
/	/	SP	O
제작	제작	NNG	O
_	_	_	O
미스터	미스터	NNG	B-ORG
로맨스	로맨스	NNG	I-ORG
)	)	SS	O
_	_	_	O
제작	제작	NNG	O
보고회	보고회	NNG	O
에서	에서	JKB	O
_	_	_	O
관객	관객	NNG	O
과	과	JKB	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
소통할	소통하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
휴대	휴대	NNG	O
전화	전화	NNG	O
_	_	_	O
번호	번호	NNG	O
를	를	JKO	O
_	_	_	O
공개	공개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 이날 행사에서 손현주는 ‘더 폰’ 배우들과 직접 소통할 수 있는 휴대전화 번호를 즉석에서 깜짝 공개했다.
## 이날 행사에서 <손현주:PER>는 ‘<더 폰:POH>’ 배우들과 직접 소통할 수 있는 휴대전화 번호를 즉석에서 깜짝 공개했다.
이날	이날	NNG	O
_	_	_	O
행사	행사	NNG	O
에서	에서	JKB	O
_	_	_	O
손현주	손현주	NNP	B-PER
는	는	JX	O
_	_	_	O
‘	‘	SS	O
더	더	MAG	B-POH
_	_	_	I-POH
