## 1
## 재판부는 혐의를 인정한 윤 전 부사장에 대해 “자신의 잘못을 반성하며 사건의 실체를 밝히는 데 기여한 점을 양형에 반영했다”며 집행유예를 선고했다.
## 재판부는 혐의를 인정한 <윤:PER> 전 부사장에 대해 “자신의 잘못을 반성하며 사건의 실체를 밝히는 데 기여한 점을 양형에 반영했다”며 집행유예를 선고했다.
재판부	재판부	NNG	O
는	는	JX	O
_	_	_	O
혐의	혐의	NNG	O
를	를	JKO	O
_	_	_	O
인정한	인정하+ㄴ	VV+ETM	O
_	_	_	O
윤	윤	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
부사장	부사장	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
“	“	SS	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
잘못	잘못	NNG	O
을	을	JKO	O
_	_	_	O
반성하	반성하	VV	O
며	며	EC	O
_	_	_	O
사건	사건	NNG	O
의	의	JKG	O
_	_	_	O
실체	실체	NNG	O
를	를	JKO	O
_	_	_	O
밝히	밝히	VV	O
는	는	ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
기여한	기여하+ㄴ	VV+ETM	O
_	_	_	O
점	점	NNG	O
을	을	JKO	O
_	_	_	O
양형	양형	NNG	O
에	에	JKB	O
_	_	_	O
반영	반영하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
집행	집행	NNG	O
유예	유예	NNG	O
를	를	JKO	O
_	_	_	O
선고	선고하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 김 화백의 1972년작 ‘무제 27-VII-72 #228‘는 지난 6월 K옥션(대표 이상규) 여름경매에서 54억원에 낙찰됐다.
## <김:PER> 화백의 <1972년:DAT>작 ‘<무제 27-VII-72 #228:POH>‘는 지난 <6월:DAT> <K옥션:ORG>(대표 <이상규:PER>) 여름경매에서 <54억원:MNY>에 낙찰됐다.
김	김	NNP	B-PER
_	_	_	O
화백	화백	NNG	O
의	의	JKG	O
_	_	_	O
1972	1972	SN	B-DAT
년	년	NNB	I-DAT
작	작	NNG	O
_	_	_	O
‘	‘	SS	O
무제	무제	NNP	B-POH
_	_	_	I-POH
27	27	SN	I-POH
-	-	SO	I-POH
VII	VII	SL	I-POH
-	-	SO	I-POH
72	72	SN	I-POH
_	_	_	I-POH
#	#	SW	I-POH
228	228	SN	I-POH
‘	‘	SS	O
는	는	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
6	6	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
K	K	SL	B-ORG
옥션	옥션	NNP	I-ORG
(	(	SS	O
대표	대표	NNG	O
_	_	_	O
이상규	이상규	NNP	B-PER
)	)	SS	O
_	_	_	O
여름	여름	NNG	O
경매	경매	NNG	O
에서	에서	JKB	O
_	_	_	O
54	54	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
에	에	JKB	O
_	_	_	O
낙찰	낙찰되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이로써 김 화백은 국내외 경매를 통틀어 한국 근현대 미술품 최고가 ’톱5‘를 모두 자신의 이름으로 채우게 됐다.
## 이로써 <김:PER> 화백은 국내외 경매를 통틀어 <한국:LOC> 근현대 미술품 최고가 ’<톱5:NOH>‘를 모두 자신의 이름으로 채우게 됐다.
이	이	NP	O
