## 1
## 또한 임 감독은 대한핸드볼협회의 도움으로 본선에서 만날 상대국들의 전력 정보를 다각적으로 받아 세밀하게 맞춤 전술을 세울 수 있었다.
## 또한 <임:PER> 감독은 <대한핸드볼협회:ORG>의 도움으로 본선에서 만날 상대국들의 전력 정보를 다각적으로 받아 세밀하게 맞춤 전술을 세울 수 있었다.
또한	또한	MAG	O
_	_	_	O
임	임	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
은	은	JX	O
_	_	_	O
대한	대한	NNP	B-ORG
핸드볼	핸드볼	NNG	I-ORG
협회	협회	NNG	I-ORG
의	의	JKG	O
_	_	_	O
도움	도움	NNG	O
으로	으로	JKB	O
_	_	_	O
본선	본선	NNG	O
에서	에서	JKB	O
_	_	_	O
만날	만나+ㄹ	VV+ETM	O
_	_	_	O
상대국	상대국	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
전력	전력	NNG	O
_	_	_	O
정보	정보	NNG	O
를	를	JKO	O
_	_	_	O
다각적	다각적	NNG	O
으로	으로	JKB	O
_	_	_	O
받	받	VV	O
아	아	EC	O
_	_	_	O
세밀하	세밀하	VA	O
게	게	EC	O
_	_	_	O
맞춤	맞추+ㅁ	VV+ETN	O
_	_	_	O
전술	전술	NNG	O
을	을	JKO	O
_	_	_	O
세울	세우+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 판매를 기록했고, 모하비더 출시된 지 두 달만이었던 2008년 3월(1159대) 이후 최대 판매실적인 1198대가 판매돼 신차효과에 버금가는 인기를 이어가고 있다.
## 판매를 기록했고, 모하비더 출시된 지 두 달만이었던 <2008년 3월:DAT>(<1159대:NOH>) 이후 최대 판매실적인 <1198대:NOH>가 판매돼 신차효과에 버금가는 인기를 이어가고 있다.
판매	판매	NNG	O
를	를	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
모하비	모하비	NNP	O
더	더	MAG	O
_	_	_	O
출시된	출시되+ㄴ	VV+ETM	O
_	_	_	O
지	지	NNB	O
_	_	_	O
두	두	MM	O
_	_	_	O
달	달	NNB	O
만	만	NNB	O
이	이	VCP	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
2008	2008	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
3	3	SN	I-DAT
월	월	NNB	I-DAT
(	(	SS	O
1159	1159	SN	B-NOH
대	대	NNB	I-NOH
)	)	SS	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
판매	판매	NNG	O
실적	실적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
1198	1198	SN	B-NOH
대	대	NNB	I-NOH
가	가	JKS	O
_	_	_	O
판매돼	판매되+어	VV+EC	O
_	_	_	O
신차	신차	NNG	O
효과	효과	NNG	O
에	에	JKB	O
_	_	_	O
버금가	버금가	VV	O
는	는	ETM	O
_	_	_	O
인기	인기	NNG	O
를	를	JKO	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
가	가	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## ‘파주 LG디스플레이’LG디스플레이 파주 공장에서 누출된 질소가스에 질식된 협력업체 직원 문모 씨(33) 등 2명이 사망했다.
## ‘<파주:LOC> <LG디스플레이:ORG>’<LG디스플레이:ORG> <파주:LOC> 공장에서 누출된 질소가스에 질식된 협력업체 직원 <문모:PER> 씨(<33:NOH>) 등 <2명:NOH>이 사망했다.
‘	‘	SS	O
파주	파주	NNP	B-LOC
_	_	_	O
LG	LG	SL	B-ORG
디스플레이	디스플레이	NNG	I-ORG
’	’	SS	O
LG	LG	SL	B-ORG
디스플레이	디스플레이	NNG	I-ORG
_	_	_	O
파주	파주	NNP	B-LOC
_	_	_	O
공장	공장	NNG	O
에서	에서	JKB	O
_	_	_	O
누출된	누출되+ㄴ	VV+ETM	O
_	_	_	O
질소	질소	NNG	O
가스	가스	NNG	O
에	에	JKB	O
_	_	_	O
질식된	질식되+ㄴ	VV+ETM	O
_	_	_	O
협력	협력	NNG	O
업체	업체	NNG	O
_	_	_	O
직원	직원	NNG	O
_	_	_	O
문	문	NNP	B-PER
모	모	NP	I-PER
_	_	_	O
씨	씨	NNB	O
(	(	SS	O
33	33	SN	B-NOH
)	)	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
2	2	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
사망	사망하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 오늘 모로코 마라케시에서는 7년을 넘게 끌어온 우루과이 라운드 협상이 공식 마무리된다.
## 오늘 <모로코 마라케시:LOC>에서는 <7년:DUR>을 넘게 끌어온 <우루과이 라운드 협상:POH>이 공식 마무리된다.
오늘	오늘	NNG	O
_	_	_	O
모로코	모로코	NNP	B-LOC
_	_	_	I-LOC
마라케시	마라케시	NNP	I-LOC
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
7	7	SN	B-DUR
년	년	NNB	I-DUR
을	을	JKO	O
_	_	_	O
넘	넘	VV	O
게	게	EC	O
_	_	_	O
끌어온	끌어오+ㄴ	VV+ETM	O
_	_	_	O
우루과이	우루과이	NNP	B-POH
_	_	_	I-POH
라운드	라운드	NNG	I-POH
_	_	_	I-POH
협상	협상	NNG	I-POH
이	이	JKS	O
_	_	_	O
공식	공식	NNG	O
_	_	_	O
마무리된다	마무리되+ㄴ다	VV+EF	O
.	.	SF	O

## 5
