## 1
## 개리 결혼 소식에, 누리꾼 “이래서 런닝맨 하차했네” “멘붕이다”
## <개리:PER> 결혼 소식에, 누리꾼 “이래서 <런닝맨:POH> 하차했네” “멘붕이다”
개리	개리	NNP	B-PER
_	_	_	O
결혼	결혼	NNG	O
_	_	_	O
소식	소식	NNG	O
에	에	JKB	O
,	,	SP	O
_	_	_	O
누리	누리	NNG	O
꾼	꾼	XSN	O
_	_	_	O
“	“	SS	O
이래서	이렇+어서	VA+EC	O
_	_	_	O
런닝맨	런닝맨	NNP	B-POH
_	_	_	O
하차	하차하	VV	O
했	였	EP	O
네	네	EF	O
”	”	SS	O
_	_	_	O
“	“	SS	O
멘붕	멘붕	NNG	O
이	이	VCP	O
다	다	EF	O
”	”	SS	O

## 2
## 롯데마트의 신선 명장 선발대회는 먹거리 진열 기법, 신메뉴 개발 능력 등을 평가해 신선 식품 부문의 최우수 사원을 가리는 행사이다.
## <롯데마트:ORG>의 <신선 명장 선발대회:POH>는 먹거리 진열 기법, 신메뉴 개발 능력 등을 평가해 신선 식품 부문의 최우수 사원을 가리는 행사이다.
롯데마트	롯데마트	NNP	B-ORG
의	의	JKG	O
_	_	_	O
신선	신선	NNG	B-POH
_	_	_	I-POH
명장	명장	NNG	I-POH
_	_	_	I-POH
선발	선발	NNG	I-POH
대회	대회	NNG	I-POH
는	는	JX	O
_	_	_	O
먹거리	먹거리	NNG	O
_	_	_	O
진열	진열	NNG	O
_	_	_	O
기법	기법	NNG	O
,	,	SP	O
_	_	_	O
신	신	XPN	O
메뉴	메뉴	NNG	O
_	_	_	O
개발	개발	NNG	O
_	_	_	O
능력	능력	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
평가해	평가하+여	VV+EC	O
_	_	_	O
신선	신선	NNG	O
_	_	_	O
식품	식품	NNG	O
_	_	_	O
부문	부문	NNG	O
의	의	JKG	O
_	_	_	O
최우수	최우수	NNG	O
_	_	_	O
사원	사원	NNG	O
을	을	JKO	O
_	_	_	O
가리	가리	VV	O
는	는	ETM	O
_	_	_	O
행사	행사	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 레오나르도 울로아(아르헨티나)가 11골을 터트렸을 뿐 나머지는 고만고만했다.
