## 1
## 이같이 남북 정상이 모두 대화에 적극 나서겠다는 뜻을 피력했지만 현실의 벽은 여전히 높다.
## 이같이 <남북:ORG> 정상이 모두 대화에 적극 나서겠다는 뜻을 피력했지만 현실의 벽은 여전히 높다.
이같이	이같이	MAG	O
_	_	_	O
남북	남북	NNP	B-ORG
_	_	_	O
정상	정상	NNG	O
이	이	JKS	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
대화	대화	NNG	O
에	에	JKB	O
_	_	_	O
적극	적극	NNG	O
_	_	_	O
나서	나서	VV	O
겠	겠	EP	O
다는	다는	ETM	O
_	_	_	O
뜻	뜻	NNG	O
을	을	JKO	O
_	_	_	O
피력	피력하	VV	O
했	였	EP	O
지만	지만	EC	O
_	_	_	O
현실	현실	NNG	O
의	의	JKG	O
_	_	_	O
벽	벽	NNG	O
은	은	JX	O
_	_	_	O
여전히	여전히	MAG	O
_	_	_	O
높	높	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 일각에서는 오는 5월 치러지는 조기 대선에 미치는 영향을 최소화하고 수사 결과에 대한 논란을 피하고자 검찰이 속도를 낼 것이라는 관측도 내놓고 있다.
## 일각에서는 오는 <5월:DAT> 치러지는 조기 대선에 미치는 영향을 최소화하고 수사 결과에 대한 논란을 피하고자 검찰이 속도를 낼 것이라는 관측도 내놓고 있다.
일각	일각	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
5	5	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
치	치르	VV	O
러	어	EC	O
지	지	VX	O
는	는	ETM	O
_	_	_	O
조기	조기	NNG	O
_	_	_	O
대선	대선	NNG	O
에	에	JKB	O
_	_	_	O
미치	미치	VV	O
는	는	ETM	O
_	_	_	O
영향	영향	NNG	O
을	을	JKO	O
_	_	_	O
최소화하	최소화하	VV	O
고	고	EC	O
_	_	_	O
수사	수사	NNG	O
_	_	_	O
결과	결과	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
논란	논란	NNG	O
을	을	JKO	O
_	_	_	O
피하	피하	VV	O
고자	고자	EC	O
_	_	_	O
검찰	검찰	NNG	O
이	이	JKS	O
_	_	_	O
속도	속도	NNG	O
를	를	JKO	O
_	_	_	O
낼	내+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
관측	관측	NNG	O
도	도	JX	O
_	_	_	O
내놓	내놓	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 인근 주민이 당구선수 김경률을 발견해 경찰에 신고했다.
## 인근 주민이 당구선수 <김경률:PER>을 발견해 경찰에 신고했다.
인근	인근	NNG	O
_	_	_	O
주민	주민	NNG	O
이	이	JKS	O
_	_	_	O
당구	당구	NNG	O
선수	선수	NNG	O
_	_	_	O
김경률	김경률	NNP	B-PER
을	을	JKO	O
_	_	_	O
발견해	발견하+여	VV+EC	O
_	_	_	O
경찰	경찰	NNG	O
에	에	JKB	O
_	_	_	O
신고	신고하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 신기성 감독 “하은주와 이야기 나눌 것” 신한은행은 1일 신기성(41) 전 KEB하나은행 코치를 신임 감독으로 임명했다.
## <신기성:PER> 감독 “<하은주:PER>와 이야기 나눌 것” <신한은행:ORG>은 <1일:DAT> <신기성:PER>(<41:NOH>) 전 <KEB하나은행:ORG> 코치를 신임 감독으로 임명했다.
신기성	신기성	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
_	_	_	O
“	“	SS	O
하은주	하은주	NNP	B-PER
와	와	JKB	O
_	_	_	O
이야기	이야기	NNG	O
_	_	_	O
나눌	나누+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
_	_	_	O
신한은행	신한은행	NNP	B-ORG
은	은	JX	O
_	_	_	O
1	1	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
신기성	신기성	NNP	B-PER
(	(	SS	O
41	41	SN	B-NOH
)	)	SS	O
_	_	_	O
전	전	MM	O
_	_	_	O
KEB	KEB	SL	B-ORG
하나은행	하나은행	NNP	I-ORG
_	_	_	O
코치	코치	NNG	O
를	를	JKO	O
_	_	_	O
신임	신임	NNG	O
_	_	_	O
감독	감독	NNG	O
으로	으로	JKB	O
_	_	_	O
임명	임명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
