## 1
## 박 대통령은 “최근에는 5차 핵실험을 준비하고 있는 상황이 포착이 되고 있다”며 “북한이 고립 회피와 체제 결속을 위해 어떤 돌발적 도발을 감행할지 알 수 없는 상황”이라고 우려했다.
## <박:PER> 대통령은 “최근에는 <5차:NOH> 핵실험을 준비하고 있는 상황이 포착이 되고 있다”며 “<북한:ORG>이 고립 회피와 체제 결속을 위해 어떤 돌발적 도발을 감행할지 알 수 없는 상황”이라고 우려했다.
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
최근	최근	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
5	5	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
핵	핵	NNG	O
실험	실험	NNG	O
을	을	JKO	O
_	_	_	O
준비하	준비하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
상황	상황	NNG	O
이	이	JKS	O
_	_	_	O
포착	포착	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
북한	북한	NNP	B-ORG
이	이	JKS	O
_	_	_	O
고립	고립	NNG	O
_	_	_	O
회피	회피	NNG	O
와	와	JC	O
_	_	_	O
체제	체제	NNG	O
_	_	_	O
결속	결속	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
어떤	어떤	MM	O
_	_	_	O
돌발적	돌발적	NNG	O
_	_	_	O
도발	도발	NNG	O
을	을	JKO	O
_	_	_	O
감행할지	감행하+ㄹ지	VV+EC	O
_	_	_	O
알	알+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
상황	상황	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
우려	우려하	VV	O
했	였	EP	O
