## 1
## 하지만 성적표에 분명히 적혀 있지 않은가. ‘다음 시험에도 1등을 해야 진짠데…’. 걱정이 스쳐 간다.
## 하지만 성적표에 분명히 적혀 있지 않은가. ‘다음 시험에도 <1등:NOH>을 해야 진짠데…’. 걱정이 스쳐 간다.
하지만	하지만	MAJ	O
_	_	_	O
성적표	성적표	NNG	O
에	에	JKB	O
_	_	_	O
분명히	분명히	MAG	O
_	_	_	O
적혀	적히+어	VV+EC	O
_	_	_	O
있	있	VX	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은가	은가	EF	O
.	.	SF	O
_	_	_	O
‘	‘	SS	O
다음	다음	NNG	O
_	_	_	O
시험	시험	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
1	1	SN	B-NOH
등	등	NNB	I-NOH
을	을	JKO	O
_	_	_	O
해야	하+여야	VV+EC	O
_	_	_	O
진짠데	진짜+이+ㄴ데	NNG+VCP+EC	O
…	…	SE	O
’	’	SS	O
.	.	SF	O
_	_	_	O
걱정	걱정	NNG	O
이	이	JKS	O
_	_	_	O
스쳐	스치+어	VV+EC	O
_	_	_	O
간다	가+ㄴ다	VX+EF	O
.	.	SF	O

## 2
## 전학 온 국민이는 첫 시험에서 3등이다.
## 전학 온 <국민이:PER>는 첫 시험에서 <3등:NOH>이다.
전학	전학	NNG	O
_	_	_	O
온	오+ㄴ	VV+ETM	O
_	_	_	O
국민	국민	NNG	B-PER
이	이	VCP	I-PER
는	는	ETM	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
시험	시험	NNG	O
에서	에서	JKB	O
_	_	_	O
3	3	SN	B-NOH
등	등	NNB	I-NOH
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 현재 새누리당에선 ‘반기문 대세론’이, 더민주당에선 ‘문재인 대세론’이 나온다.
## 현재 <새누리당:ORG>에선 ‘<반기문:PER> 대세론’이, <더민주당:ORG>에선 ‘<문재인:PER> 대세론’이 나온다.
현재	현재	MAG	O
_	_	_	O
새누리당	새누리당	NNP	B-ORG
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
‘	‘	SS	O
반기문	반기문	NNP	B-PER
_	_	_	O
대세	대세	NNG	O
론	론	XSN	O
’	’	SS	O
이	이	JKS	O
,	,	SP	O
_	_	_	O
더	더	MAG	B-ORG
민주당	민주당	NNP	I-ORG
에선	에서+ㄴ	JKB+JX	O
