## 1
## 이날 이원종 대통령비서실장 주재로 열린 참모진 회의에서도 긴장감을 갖고 예의주시하되 시장의 과잉 반응은 상황을 오히려 악화시킨다는 의견이 나온 것으로 알려졌다.
## 이날 <이원종:PER> 대통령비서실장 주재로 열린 참모진 회의에서도 긴장감을 갖고 예의주시하되 시장의 과잉 반응은 상황을 오히려 악화시킨다는 의견이 나온 것으로 알려졌다.
이날	이날	NNG	O
_	_	_	O
이원종	이원종	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
비서실	비서실	NNG	O
장	장	XSN	O
_	_	_	O
주재	주재	NNG	O
로	로	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
참모	참모	NNG	O
진	진	XSN	O
_	_	_	O
회의	회의	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
긴장감	긴장감	NNG	O
을	을	JKO	O
_	_	_	O
갖	갖	VV	O
고	고	EC	O
_	_	_	O
예의	예의	NNG	O
주시하	주시하	VV	O
되	되	EC	O
_	_	_	O
시장	시장	NNG	O
의	의	JKG	O
_	_	_	O
과잉	과잉	NNG	O
_	_	_	O
반응	반응	NNG	O
은	은	JX	O
_	_	_	O
상황	상황	NNG	O
을	을	JKO	O
_	_	_	O
오히려	오히려	MAG	O
_	_	_	O
악화	악화	NNG	O
시킨다는	시키+ㄴ다는	XSV+ETM	O
_	_	_	O
의견	의견	NNG	O
이	이	JKS	O
_	_	_	O
나온	나오+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 한국은행에서 근무하다 영국 맨체스터대로 유학 가면서 카를 마르크스주의를 공부했다.
## <한국은행:ORG>에서 근무하다 <영국 맨체스터대:LOC>로 유학 가면서 <카를 마르크스주의:POH>를 공부했다.
한국은행	한국은행	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
근무하	근무하	VV	O
다	다	EC	O
_	_	_	O
영국	영국	NNP	B-LOC
_	_	_	I-LOC
맨체스터	맨체스터	NNP	I-LOC
대	대	NNG	I-LOC
로	로	JKB	O
_	_	_	O
유학	유학	NNG	O
_	_	_	O
가	가	VV	O
면서	면서	EC	O
_	_	_	O
카를	카를	NNP	B-POH
_	_	_	I-POH
마르크스주의	마르크스주의	NNG	I-POH
를	를	JKO	O
_	_	_	O
공부	공부하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 지난 2016년 국내 51회와 해외 59회의 DDA를 실시, 총 740명의 치과의사들에게 디지털임플란트디오나비의 우수성을 알린 디오는 올해 본격적으로 DDA를 확충하고 양질의 교육, 실습 프로그램을 운영할 계획이다.
## 지난 <2016년:DAT> 국내 <51회:NOH>와 해외 <59회:PNT>의 <DDA:POH>를 실시, 총 <740명:PNT>의 치과의사들에게 <디지털임플란트디오나비:ORG>의 우수성을 알린 <디오:ORG>는 올해 본격적으로 <DDA:POH>를 확충하고 양질의 교육, 실습 프로그램을 운영할 계획이다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
2016	2016	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
국내	국내	NNG	O
_	_	_	O
51	51	SN	B-NOH
회	회	NNB	I-NOH
와	와	JC	O
_	_	_	O
해외	해외	NNG	O
_	_	_	O
59	59	SN	B-PNT
회	회	NNB	I-PNT
의	의	JKG	O
_	_	_	O
DDA	DDA	SL	B-POH
를	를	JKO	O
_	_	_	O
실시	실시	NNG	O
,	,	SP	O
_	_	_	O
총	총	MM	O
_	_	_	O
740	740	SN	B-PNT
명	명	NNB	I-PNT
의	의	JKG	O
_	_	_	O
치과	치과	NNG	O
의사	의사	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
디지털	디지털	NNG	B-ORG
임플란트	임플란트	NNG	I-ORG
디오	디오	NNP	I-ORG
나비	나비	NNG	I-ORG
의	의	JKG	O
_	_	_	O
우수성	우수성	NNG	O
을	을	JKO	O
_	_	_	O
알린	알리+ㄴ	VV+ETM	O
_	_	_	O
디오	디오	NNP	B-ORG
는	는	JX	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
본격적	본격적	NNG	O
으로	으로	JKB	O
_	_	_	O
DDA	DDA	SL	B-POH
를	를	JKO	O
_	_	_	O
확충하	확충하	VV	O
고	고	EC	O
_	_	_	O
양질	양질	NNG	O
의	의	JKG	O
_	_	_	O
교육	교육	NNG	O
,	,	SP	O
_	_	_	O
실습	실습	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
을	을	JKO	O
_	_	_	O
운영할	운영하+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 2017년 DDA는 국내 176회(서울ㆍ수도권 36회, 강원 12회, 중부ㆍ전라권 45회, 영남권 83회)와 해외 207회(중국48회, 미국28회, 일본24회, 멕시코22회, 호주23회, 대만 20회) 총 383회 실행될 계획이며, 국내 1,214명, 해외 1,901명 등 총 3,115명 치과의사들이 참여할 것으로 예상된다.
## <2017년:DAT> <DDA:POH>는 국내 <176회:NOH>(<서울ㆍ수도권:LOC> <36회:NOH>, <강원:LOC> <12회:NOH>, <중부ㆍ전라권:LOC> <45회:NOH>, <영남권:LOC> <83회:NOH>)와 해외 <207회:NOH>(<중국:LOC><48회:NOH>, <미국:LOC><28회:NOH>, <일본:LOC><24회:NOH>, <멕시코:LOC><22회:NOH>, <호주:LOC><23회:NOH>, <대만:LOC> <20회:NOH>) 총 <383회:NOH> 실행될 계획이며, 국내 <1,214명:NOH>, 해외 <1,901명:NOH> 등 총 <3,115명:NOH> 치과의사들이 참여할 것으로 예상된다.
2017	2017	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
DDA	DDA	SL	B-POH
는	는	JX	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
176	176	SN	B-NOH
회	회	NNB	I-NOH
(	(	SS	O
서울	서울	NNP	B-LOC
ㆍ	ㆍ	SP	I-LOC
수도권	수도권	NNG	I-LOC
_	_	_	O
36	36	SN	B-NOH
회	회	NNB	I-NOH
,	,	SP	O
_	_	_	O
강원	강원	NNG	B-LOC
_	_	_	O
12	12	SN	B-NOH
회	회	NNB	I-NOH
,	,	SP	O
_	_	_	O
중부	중부	NNG	B-LOC
ㆍ	ㆍ	SP	I-LOC
전라	전라	NNP	I-LOC
권	권	XSN	I-LOC
_	_	_	O
45	45	SN	B-NOH
회	회	NNB	I-NOH
,	,	SP	O
_	_	_	O
영남	영남	NNP	B-LOC
권	권	XSN	I-LOC
_	_	_	O
83	83	SN	B-NOH
회	회	NNB	I-NOH
)	)	SS	O
와	와	JKB	O
_	_	_	O
해외	해외	NNG	O
_	_	_	O
207	207	SN	B-NOH
회	회	NNB	I-NOH
(	(	SS	O
중국	중국	NNP	B-LOC
48	48	SN	B-NOH
회	회	NNB	I-NOH
,	,	SP	O
_	_	_	O
미국	미국	NNP	B-LOC
28	28	SN	B-NOH
회	회	NNB	I-NOH
,	,	SP	O
_	_	_	O
일본	일본	NNP	B-LOC
24	24	SN	B-NOH
회	회	NNB	I-NOH
,	,	SP	O
_	_	_	O
멕시코	멕시코	NNP	B-LOC
22	22	SN	B-NOH
회	회	NNB	I-NOH
,	,	SP	O
_	_	_	O
호주	호주	NNP	B-LOC
23	23	SN	B-NOH
회	회	NNB	I-NOH
,	,	SP	O
_	_	_	O
대만	대만	NNP	B-LOC
_	_	_	O
20	20	SN	B-NOH
회	회	NNB	I-NOH
)	)	SS	O
_	_	_	O
총	총	MM	O
_	_	_	O
383	383	SN	B-NOH
회	회	NNB	I-NOH
_	_	_	O
실행될	실행되+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
며	며	EC	O
,	,	SP	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
1,214	1,214	SN	B-NOH
명	명	NNB	I-NOH
,	,	SP	O
_	_	_	O
해외	해외	NNG	O
_	_	_	O
1,901	1,901	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
등	등	NNB	O
_	_	_	O
총	총	MM	O
_	_	_	O
3,115	3,115	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
치과	치과	NNG	O
의사	의사	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
참여할	참여하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
예상된다	예상되+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 지난 1월에만 국내에서 열 한 차례 DDA를 개최한 디오는 2월 11일 부산과 서울에서 동시에 DDA를 개최하며, 18일 (서울, 광주, 대구, 울산, 전주)과 25일(서울, 경남, 대전, 강원)까지 2월 한달 간 총 11회 DDA를 개최, 운영할 계획이다.
## 지난 <1월:DAT>에만 국내에서 <열 한 차례:NOH> <DDA:POH>를 개최한 <디오:ORG>는 <2월 11일:DAT> <부산:LOC>과 <서울:LOC>에서 동시에 <DDA:POH>를 개최하며, <18일:DAT> (<서울:LOC>, <광주:LOC>, <대구:LOC>, <울산:LOC>, <전주:LOC>)과 <25일:DAT>(<서울:LOC>, <경남:LOC>, <대전:LOC>, <강원:LOC>)까지 <2월:DAT> <한달 간:DUR> 총 <11회:NOH> <DDA:POH>를 개최, 운영할 계획이다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
1	1	SN	B-DAT
월	월	NNB	I-DAT
에	에	JKB	O
만	만	JX	O
_	_	_	O
국내	국내	NNG	O
에서	에서	JKB	O
_	_	_	O
열	열	NR	B-NOH
_	_	_	I-NOH
한	한	MM	I-NOH
_	_	_	I-NOH
차례	차례	NNG	I-NOH
_	_	_	O
DDA	DDA	SL	B-POH
를	를	JKO	O
_	_	_	O
개최한	개최하+ㄴ	VV+ETM	O
_	_	_	O
디오	디오	NNP	B-ORG
는	는	JX	O
_	_	_	O
2	2	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
11	11	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
부산	부산	NNP	B-LOC
과	과	JC	O
_	_	_	O
서울	서울	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
동시	동시	NNG	O
에	에	JKB	O
_	_	_	O
DDA	DDA	SL	B-POH
를	를	JKO	O
_	_	_	O
개최하	개최하	VV	O
며	며	EC	O
,	,	SP	O
_	_	_	O
18	18	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
(	(	SS	O
서울	서울	NNP	B-LOC
,	,	SP	O
_	_	_	O
광주	광주	NNP	B-LOC
,	,	SP	O
_	_	_	O
대구	대구	NNP	B-LOC
,	,	SP	O
_	_	_	O
울산	울산	NNP	B-LOC
,	,	SP	O
_	_	_	O
전주	전주	NNP	B-LOC
)	)	SS	O
과	과	JKB	O
_	_	_	O
25	25	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
서울	서울	NNP	B-LOC
,	,	SP	O
_	_	_	O
경남	경남	NNP	B-LOC
,	,	SP	O
_	_	_	O
대전	대전	NNG	B-LOC
,	,	SP	O
_	_	_	O
강원	강원	NNG	B-LOC
)	)	SS	O
까지	까지	JX	O
_	_	_	O
2	2	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
한	한	MM	B-DUR
달	달	NNB	I-DUR
_	_	_	I-DUR
간	간	XSN	I-DUR
_	_	_	O
총	총	MM	O
_	_	_	O
11	11	SN	B-NOH
