## 1
## 하지만 의대가 적성이 맞지 않아서 사법고시를 준비하려는 찰나에, 이대 영문과에 다니던 친누나가 같은 과 새내기 후배를 소개시켜 주었어요.
## 하지만 의대가 적성이 맞지 않아서 사법고시를 준비하려는 찰나에, <이대 영문과:ORG>에 다니던 친누나가 같은 과 새내기 후배를 소개시켜 주었어요.
하지만	하지만	MAJ	O
_	_	_	O
의대	의대	NNG	O
가	가	JKS	O
_	_	_	O
적성	적성	NNG	O
이	이	JKS	O
_	_	_	O
맞	맞	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
아서	아서	EC	O
_	_	_	O
사법	사법	NNG	O
고시	고시	NNG	O
를	를	JKO	O
_	_	_	O
준비하	준비하	VV	O
려는	려는	ETM	O
_	_	_	O
찰나	찰나	NNG	O
에	에	JKB	O
,	,	SP	O
_	_	_	O
이대	이대	NNP	B-ORG
_	_	_	I-ORG
영문	영문	NNG	I-ORG
과	과	NNG	I-ORG
에	에	JKB	O
_	_	_	O
다니	다니	VV	O
던	던	ETM	O
_	_	_	O
친	친	XPN	O
누나	누나	NNG	O
가	가	JKS	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
과	과	NNG	O
_	_	_	O
새내기	새내기	NNG	O
_	_	_	O
후배	후배	NNG	O
를	를	JKO	O
_	_	_	O
소개	소개	NNG	O
시켜	시키+어	XSV+EC	O
_	_	_	O
주	주	VX	O
었	었	EP	O
어요	어요	EF	O
.	.	SF	O

## 2
## 리더십과 조직 건강도 전문가인 패트릭 렌시오니는 일반적으로 신뢰에 대해 ‘서로 빨리 상대의 의도를 알아차릴 수 있는 예측가능성’으로 오해한다고 지적한다.
## 리더십과 조직 건강도 전문가인 <패트릭 렌시오니:PER>는 일반적으로 신뢰에 대해 ‘서로 빨리 상대의 의도를 알아차릴 수 있는 예측가능성’으로 오해한다고 지적한다.
리더십	리더십	NNG	O
과	과	JC	O
_	_	_	O
조직	조직	NNG	O
_	_	_	O
건강	건강	NNG	O
도	도	JX	O
_	_	_	O
전문가	전문가	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
패트릭	패트릭	NNP	B-PER
_	_	_	I-PER
렌	렌	NNG	I-PER
시오	시오	NNG	I-PER
니	니	NP	I-PER
는	는	JX	O
_	_	_	O
일반적	일반적	NNG	O
으로	으로	JKB	O
_	_	_	O
신뢰	신뢰	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
‘	‘	SS	O
서로	서로	MAG	O
_	_	_	O
빨리	빨리	MAG	O
_	_	_	O
상대	상대	NNG	O
의	의	JKG	O
_	_	_	O
의도	의도	NNG	O
를	를	JKO	O
_	_	_	O
알아차릴	알아차리+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
예측	예측	NNG	O
가능성	가능성	NNG	O
’	’	SS	O
으로	으로	JKB	O
_	_	_	O
오해한다고	오해하+ㄴ다고	VV+EC	O
_	_	_	O
지적한다	지적하+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 신 부장은 “수학·과학 성적에서 모두 A를 받았다고 해도 다른 교과 성적이 들쑥날쑥하면 과목 편애가 심하고 학교생활에 충실하지 못했다는 인상을 줄 수 있다”고 주의를 줬다.
## <신:PER> 부장은 “수학·과학 성적에서 모두 A를 받았다고 해도 다른 교과 성적이 들쑥날쑥하면 과목 편애가 심하고 학교생활에 충실하지 못했다는 인상을 줄 수 있다”고 주의를 줬다.
신	신	NNG	B-PER
_	_	_	O
부장	부장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
수학	수학	NNG	O
·	·	SP	O
