## 1
## 헌법재판소도 탄핵 심판에 속도를 내는 상황인 만큼 이달에 박 대통령의 운명이 걸려있는 셈이다.
## <헌법재판소:ORG>도 탄핵 심판에 속도를 내는 상황인 만큼 이달에 <박:PER> 대통령의 운명이 걸려있는 셈이다.
헌법	헌법	NNG	B-ORG
재판소	재판소	NNG	I-ORG
도	도	JX	O
_	_	_	O
탄핵	탄핵	NNG	O
_	_	_	O
심판	심판	NNG	O
에	에	JKB	O
_	_	_	O
속도	속도	NNG	O
를	를	JKO	O
_	_	_	O
내	내	VV	O
는	는	ETM	O
_	_	_	O
상황	상황	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
이달	이달	NNG	O
에	에	JKB	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
운명	운명	NNG	O
이	이	JKS	O
_	_	_	O
걸려	걸리+어	VV+EC	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
셈	셈	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 범인은 사망한 조카의 친모이자 로잘레스의 언니인 제이미였다.
## 범인은 사망한 조카의 친모이자 <로잘레스:PER>의 언니인 <제이미:PER>였다.
범인	범인	NNG	O
은	은	JX	O
_	_	_	O
사망한	사망하+ㄴ	VV+ETM	O
_	_	_	O
조카	조카	NNG	O
의	의	JKG	O
_	_	_	O
친모	친모	NNG	O
이	이	VCP	O
자	자	EC	O
_	_	_	O
로	로	XSN	B-PER
잘	잘	MAG	I-PER
레스	레스	NNP	I-PER
의	의	JKG	O
_	_	_	O
언니	언니	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
제이미	제이미+이	NNP+VCP	B-PER
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 하늘소리의 한 관계자는 9일 “이미자씨가 공연 출연료를 축소 신고하게 하고, 소득 관련 원천징수액 3.3%를 떼지 않고 지급하도록 (기획사에) 강요해왔다”며 “그간 이씨의 출연료를 축소 신고하는 바람에 하늘소리는 법인세를 더 내왔고, 공연 적자와 함께 큰 손해를 봤다”
## 하늘소리의 한 관계자는 <9일:DAT> “<이미자:PER>씨가 공연 출연료를 축소 신고하게 하고, 소득 관련 원천징수액 <3.3%:PNT>를 떼지 않고 지급하도록 (기획사에) 강요해왔다”며 “그간 <이:PER>씨의 출연료를 축소 신고하는 바람에 하늘소리는 법인세를 더 내왔고, 공연 적자와 함께 큰 손해를 봤다”
하늘	하늘	NNG	O
소리	소리	NNG	O
의	의	JKG	O
_	_	_	O
한	한	MM	O
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
9	9	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
이미자	이미자	NNP	B-PER
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
공연	공연	NNG	O
_	_	_	O
출연료	출연료	NNG	O
를	를	JKO	O
_	_	_	O
축소	축소	NNG	O
_	_	_	O
신고하	신고하	VV	O
게	게	EC	O
_	_	_	O
하	하	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
소득	소득	NNG	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
원천	원천	NNG	O
징수	징수	NNG	O
액	액	XSN	O
_	_	_	O
3.3	3.3	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
떼	떼	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
지급하	지급하	VV	O
도록	도록	EC	O
_	_	_	O
(	(	SS	O
기획	기획	NNG	O
사	사	XSN	O
에	에	JKB	O
)	)	SS	O
_	_	_	O
강요해	강요하+여+오	VV+EC+VX	O
왔	았	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
그간	그간	NNG	O
_	_	_	O
이	이	NNP	B-PER
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
출연료	출연료	NNG	O
를	를	JKO	O
_	_	_	O
축소	축소	NNG	O
_	_	_	O
신고하	신고하	VV	O
