## 1
## 힘들겠지만 한 단계 더 올라가기 위해서 필요한 일이었다.
## 힘들겠지만 <한 단계:NOH> 더 올라가기 위해서 필요한 일이었다.
힘들	힘들	VA	O
겠	겠	EP	O
지만	지만	EC	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
단계	단계	NNG	I-NOH
_	_	_	O
더	더	MAG	O
_	_	_	O
올라가	올라가	VV	O
기	기	ETN	O
_	_	_	O
위해서	위하+여서	VV+EC	O
_	_	_	O
필요한	필요하+ㄴ	VA+ETM	O
_	_	_	O
일	일	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## ▲UR비준 현황은=1백25개 협상참가국중 영국등 31개국이 비준했으며 미국등이 오는 12월중 비준절차를 마칠 예정이다.
## ▲<UR:POH>비준 현황은=<1백25개:NOH> 협상참가국중 <영국:ORG>등 <31개국:NOH>이 비준했으며 <미국:ORG>등이 오는 <12월:DAT>중 비준절차를 마칠 예정이다.
▲	▲	SW	O
UR	UR	SL	B-POH
비준	비준	NNG	O
_	_	_	O
현황	현황	NNG	O
은	은	JX	O
=	=	SW	O
1	1	SN	B-NOH
백	백	NR	I-NOH
25	25	SN	I-NOH
개	개	NNB	I-NOH
_	_	_	O
협상	협상	NNG	O
참가국	참가국	NNG	O
중	중	NNP	O
_	_	_	O
영국	영국	NNP	B-ORG
등	등	NNB	O
_	_	_	O
31	31	SN	B-NOH
개국	개국	NNB	I-NOH
이	이	JKS	O
_	_	_	O
비준	비준하	VV	O
했	였	EP	O
으며	으며	EC	O
_	_	_	O
미국	미국	NNP	B-ORG
등	등	NNB	O
이	이	JKS	O
_	_	_	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
12	12	SN	B-DAT
월	월	NNB	I-DAT
중	중	NNB	O
_	_	_	O
비준	비준	NNG	O
절차	절차	NNG	O
를	를	JKO	O
_	_	_	O
마칠	마치+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 20대 총선을 앞두고 국회의원들의 ‘막말 논란’이 불거지는 가운데 국회에서 지역감정 조장 등의 폭언을 하는 사람들을 처벌하는 내용의 법안이 발의된 것으로 17일 뒤늦게 확인됐다.
